,blst,flh,sup,cag,fag,age,inX,outY
746,0.0,0.0,0.0,1125.0,613.0,1,0.4,2.536866229
372,0.0,124.1,11.3,1078.7,794.9,56,0.72407492,3.618188485
588,124.1,0.0,0.0,1083.4,764.3,7,0.997314715,2.07944141
547,0.0,0.0,0.0,931.2,842.6,7,0.576576577,3.152735823
619,0.0,0.0,0.0,968.0,863.0,180,0.779527559,3.318901929
272,0.0,121.6,6.7,1056.4,778.5,56,0.75064711,3.754198683
936,91.7,71.5,6.0,852.9,695.4,28,1.042211904,3.354454907
633,0.0,0.0,0.0,1088.0,808.0,7,0.665454545,2.653241797
534,0.0,0.0,0.0,940.6,785.6,3,0.488549618,2.954910093
173,212.5,0.0,14.3,852.1,880.4,91,0.488393977,4.220976947
728,0.0,0.0,0.0,1025.0,821.0,28,0.580060423,3.457577497
473,24.0,79.0,11.6,967.0,712.0,28,0.3632287,3.932217465
148,0.0,0.0,28.2,852.1,893.7,56,0.266892528,4.074141598
55,132.4,0.0,0.0,978.4,825.5,7,0.966767372,2.683757339
755,0.0,0.0,0.0,1125.0,613.0,180,0.32037037,4.271374095
186,0.0,96.7,4.5,967.1,870.3,28,0.851169065,3.214465914
18,95.0,0.0,0.0,932.0,594.0,90,0.6,3.702782126
904,183.0,0.0,9.0,877.0,868.0,28,1.24516129,3.169265124
723,0.0,0.0,0.0,1012.0,830.0,28,0.619354839,3.326114366
562,0.0,0.0,0.0,1047.8,739.3,7,0.485490196,3.180966051
774,0.0,0.0,0.0,1111.0,784.0,7,0.486910995,2.439734777
1013,0.0,141.6,11.0,801.4,778.4,28,0.543130093,3.710396063
988,144.2,112.3,10.1,923.2,657.9,28,1.432942708,2.803360204
897,120.0,0.0,7.0,970.0,794.0,28,0.591549296,3.711863056
757,0.0,0.0,0.0,974.0,775.0,7,0.58,2.897567842
608,0.0,0.0,0.0,968.0,885.0,90,0.822033898,3.088766945
472,24.0,79.0,11.6,967.0,712.0,28,0.3632287,3.793689579
507,22.0,132.0,8.5,822.0,750.0,28,0.419811321,4.127940251
773,0.0,0.0,0.0,1047.0,739.0,28,0.486910995,3.622205092
840,143.0,0.0,10.0,914.0,804.0,28,0.541935484,3.813306792
676,250.2,0.0,0.0,975.6,692.6,7,1.220023981,2.756840191
950,0.0,137.9,10.8,801.1,792.5,28,0.60949464,3.654028946
785,0.0,0.0,0.0,978.0,825.0,7,0.580060423,2.788707928
743,0.0,0.0,0.0,1040.0,734.0,28,0.468513854,3.609294747
678,192.0,0.0,0.0,932.0,717.8,28,0.666666667,3.658420016
486,20.0,94.0,13.9,938.0,845.0,28,0.405684755,3.843315565
1020,121.0,0.0,7.0,907.9,829.5,28,0.615117892,3.740997172
