"","tau","estCoef","lowerCI","upperCI","CL"
"1",0.02,-1.35627965515362,-1.52854523390653,-1.08802833518582,0.015682538995033
"2",0.04,-1.41138516917617,-1.60551818776199,-1.21069995165228,0.0257952005075345
"3",0.06,-1.40033151985772,-1.636124418573,-1.14348700632185,0.0354191032756936
"4",0.08,-1.40796242885065,-1.62057639357404,-1.17695166161129,0.0436373702826109
"5",0.1,-1.39457267685181,-1.65888013168533,-1.1768482557067,0.0506349563911174
"6",0.12,-1.40080350312679,-1.54069807075529,-1.12746919631014,0.0567376430746989
"7",0.14,-1.31658904955274,-1.48791052759586,-1.13644899564895,0.0627184591666264
"8",0.16,-1.28864382490493,-1.48148667630681,-1.12653316341869,0.0676539875432048
"9",0.18,-1.20689995920611,-1.48474587510569,-1.11729650452582,0.0705451401530414
"10",0.2,-1.21130478411072,-1.43932912786736,-1.14690126816622,0.0744358919359544
"11",0.22,-1.21162803540849,-1.38130267580926,-1.13767617568312,0.0780932099267435
"12",0.24,-1.21503830913772,-1.3589144005239,-1.09993939116713,0.08157251476887
"13",0.26,-1.23760100967276,-1.32769260129933,-1.05173883430785,0.0844014988990214
"14",0.28,-1.17896468305577,-1.32662475770166,-1.07621348358268,0.0865083263638461
"15",0.3,-1.14702586534355,-1.34119976957096,-1.06941380631817,0.0904458576922151
"16",0.32,-1.13702256387951,-1.35972674099755,-1.03915171277718,0.09204286752814
"17",0.34,-1.16765565984341,-1.36235751120464,-1.01816096827552,0.0932820553972748
"18",0.36,-1.19447517015748,-1.35755560117799,-1.04587056665152,0.0950955100724711
"19",0.38,-1.21337411323215,-1.34077137438007,-1.01712208313065,0.0979653063181309
"20",0.4,-1.21716152763603,-1.34727547265727,-1.00822104337332,0.0996209348427361
"21",0.42,-1.21923247123,-1.37334174926112,-1.03898584081245,0.102972925139184
"22",0.44,-1.1470827827136,-1.33485568942953,-1.03077214201171,0.105430638144903
"23",0.46,-1.15287122502618,-1.33789308971169,-0.969369913504306,0.105623197066903
"24",0.48,-1.1564821189797,-1.31482703190657,-0.9730958580627,0.106864626982857
"25",0.5,-1.14374984256613,-1.28464034461746,-0.993483105548251,0.106325870225105
"26",0.52,-1.15477941391864,-1.2495946822536,-0.948622211408631,0.106121156209961
"27",0.54,-1.14810254517914,-1.25085862310653,-0.959120987695406,0.10568937028031
"28",0.56,-1.14129495388409,-1.22979059915875,-0.943624129453683,0.106769543669387
"29",0.58,-1.10530367659179,-1.23358239356787,-0.951703834923066,0.106642036798407
"30",0.6,-1.09695517518297,-1.25628702550933,-0.963462020446599,0.105513057712954
"31",0.62,-1.12423651182422,-1.23772801269622,-0.970426547938447,0.103938060572524
"32",0.64,-1.12423470815627,-1.24399931790814,-0.942890454713587,0.102608145703881
"33",0.66,-1.12952372469285,-1.24855940460113,-0.992904650709481,0.0995307072455286
"34",0.68,-1.13229247654004,-1.26259619918229,-0.971076520693809,0.0972867353806213
"35",0.7,-1.13993502073872,-1.24587336451288,-0.991733868655732,0.0942444035891139
"36",0.72,-1.16633763167347,-1.24270731349968,-0.968092161441822,0.0914631906645832
"37",0.74,-1.16404655204393,-1.22219824452266,-0.907780587416953,0.0879130877948623
"38",0.76,-1.14522373413685,-1.2559807397128,-0.951935591337804,0.0842753898652606
"39",0.78,-1.1071741071394,-1.27061279332915,-0.993298356805215,0.0803833932864608
"40",0.8,-1.13008792868852,-1.25665624149436,-0.928299978894691,0.076903954478062
"41",0.82,-1.12445879512747,-1.24557603582246,-0.923420099434967,0.0711431765514215
"42",0.84,-1.10807110123165,-1.21067179745058,-0.737127240566295,0.0650002745557158
"43",0.86,-1.04242255856377,-1.19890194373111,-0.697327818605425,0.0589071141891895
"44",0.88,-0.913409398100287,-1.19873527391907,-0.663662745158917,0.0527063346117012
"45",0.9,-0.856060859106057,-1.15122125078621,-0.662520703547446,0.0461045697959292
"46",0.92,-0.8264702720597,-1.10050377448889,-0.654216956662926,0.0387393543989454
"47",0.94,-0.784893850048209,-0.984773644406546,-0.658167768544917,0.0304900342070643
"48",0.96,-0.729841646108045,-0.934059722168329,-0.691603927016788,0.0213490481445453
"49",0.98,-0.855457783059412,-0.975556972471585,-0.812780351016983,0.0120349533345572
