,tau,estCoef,lowerCI,upperCI,CL
0,0.02,-1.255303978919983,-1.9850454577900045,-0.5255625000499614,0.02014554664492607
1,0.04,-1.4474906921386719,-1.7489604617386085,-1.1460209225387352,0.025042487308382988
2,0.06,-1.4500669240951538,-1.6793128859805804,-1.2208209622097272,0.02783985435962677
3,0.08,-1.3307838439941406,-1.4887642982057534,-1.1728033897825278,0.035685308277606964
4,0.1,-1.3114591836929321,-1.4664635124346208,-1.1564548549512434,0.04138995707035065
5,0.12,-1.287265419960022,-1.4216588024338637,-1.1528720374861803,0.04505869373679161
6,0.14,-1.2444204092025757,-1.4108545616536408,-1.0779862567515106,0.048232246190309525
7,0.16,-1.2126624584197998,-1.4258521607736512,-0.9994727560659483,0.05190151929855347
8,0.18,-1.2483760118484497,-1.5547253169973756,-0.9420267066995238,0.0616522841155529
9,0.2,-1.1948803663253784,-1.4541135526013877,-0.9356471800493691,0.06103096157312393
10,0.22,-1.2700740098953247,-1.468190630580258,-1.0719573892103915,0.06197604537010193
11,0.24,-1.269496202468872,-1.4164338806574797,-1.1225585242802645,0.06971682608127594
12,0.26,-1.3099266290664673,-1.5495366908818435,-1.070316567251091,0.0806427001953125
13,0.28,-1.3300732374191284,-1.5308129213392851,-1.1293335534989717,0.07599447667598724
14,0.3,-1.3319872617721558,-1.4932067378063636,-1.170767785737948,0.07321356236934662
15,0.32,-1.3277897834777832,-1.5007801816000543,-1.154799385355512,0.07070542871952057
16,0.34,-1.2870709896087646,-1.500168576927921,-1.0739734022896084,0.07850506901741028
17,0.36,-1.2570044994354248,-1.402300073746229,-1.1117089251246206,0.07482010126113892
18,0.38,-1.2238184213638306,-1.4845630724955814,-0.9630737702320797,0.08759672939777374
19,0.4,-1.2224185466766357,-1.3171116113525339,-1.1277254820007376,0.07649765908718109
20,0.42,-1.2402900457382202,-1.3698062299311766,-1.1107738615452638,0.07728319615125656
21,0.44,-1.2012444734573364,-1.338140982939089,-1.064347963975584,0.08437374979257584
22,0.46,-1.1648049354553223,-1.3726617387733673,-0.9569481321372773,0.08691372722387314
23,0.48,-1.156603217124939,-1.2972102901251152,-1.0159961441247627,0.0776623860001564
24,0.5,-1.1901065111160278,-1.3613924335927194,-1.0188205886393362,0.07469938695430756
25,0.52,-1.1944079399108887,-1.3478974988520909,-1.0409183809696865,0.07611528784036636
26,0.54,-1.2019710540771484,-1.4162337560927165,-0.9877083520615804,0.08580539375543594
27,0.56,-1.183004379272461,-1.318791848479655,-1.0472169100652668,0.07957904785871506
28,0.58,-1.133378505706787,-1.32091422854909,-0.9458427828644842,0.08931391686201096
29,0.6,-1.1026043891906738,-1.2895111323182533,-0.9156976460630943,0.08147378265857697
30,0.62,-1.1111067533493042,-1.3298653214973823,-0.8923481852012259,0.08194727450609207
31,0.64,-1.0868117809295654,-1.2242726971732851,-0.9493508646858457,0.07791613787412643
32,0.66,-1.1187312602996826,-1.249584993377224,-0.9878775272221411,0.0703100711107254
33,0.68,-1.1239330768585205,-1.3021142514904473,-0.9457519022265937,0.07916898280382156
34,0.7,-1.1291635036468506,-1.2473528973947512,-1.01097410989895,0.06886036694049835
35,0.72,-1.1213487386703491,-1.3187640838807124,-0.9239333934599858,0.06486790627241135
36,0.74,-1.1128603219985962,-1.266009926932651,-0.9597107170645413,0.07217324525117874
37,0.76,-1.0879324674606323,-1.401666247928104,-0.7741986869931607,0.07374939322471619
38,0.78,-1.0964608192443848,-1.2113942612756978,-0.9815273772130717,0.061528757214546204
39,0.8,-1.0550962686538696,-1.3222698763427267,-0.7879226609650125,0.07158172875642776
40,0.82,-1.0669015645980835,-1.3293851718679786,-0.8044179573281884,0.05977112054824829
41,0.84,-1.0181148052215576,-1.3610734430266136,-0.6751561674165016,0.05811995267868042
42,0.86,-0.9445133209228516,-1.234460689697169,-0.6545659521485341,0.05390072241425514
43,0.88,-0.8672675490379333,-1.2339512262159862,-0.5005838718598805,0.046905517578125
44,0.9,-0.8526403903961182,-1.219069241535038,-0.4862115392571984,0.04421176761388779
45,0.92,-0.8128038048744202,-1.1400851089440411,-0.4855225008047992,0.042907118797302246
46,0.94,-0.7856151461601257,-1.0039837296689273,-0.5672465626513241,0.0282193161547184
47,0.96,-0.7365910410881042,-1.1629722094639625,-0.3102098727122461,0.02142997644841671
48,0.98,-0.6517793536186218,-1.091018589946221,-0.21254011729102268,0.013599596917629242
