,tau,estCoef,lowerCI,upperCI,CL
0,0.02,-1.3398703616692273,-1.7309867846633238,-0.9487539386751309,0.020261876579482384
1,0.04,-1.535538217509071,-1.7519935909154383,-1.3190828441027038,0.03638103247965863
2,0.06,-1.5519782920626142,-1.8087421348335309,-1.2952144492916975,0.0514076354690495
3,0.08,-1.41108763019065,-1.6586440366492017,-1.1635312237320985,0.06042840718057837
4,0.1,-1.3817405884169602,-1.628166942420641,-1.1353142344132794,0.07007833583462192
5,0.12,-1.356640460397955,-1.5869930707501676,-1.1262878500457423,0.08087965167588576
6,0.14,-1.309312819055208,-1.5460595306024336,-1.0725661075079822,0.09052005069814764
7,0.16,-1.2557699327284126,-1.4960998358502713,-1.015440029606554,0.0988353510079
8,0.18,-1.3117798373122014,-1.5723397923323628,-1.05121988229204,0.10535977424162951
9,0.2,-1.2561408633099518,-1.5002816051504195,-1.012000121469484,0.11225458551643229
10,0.22,-1.3350154431844885,-1.5547993874783117,-1.1152314988906653,0.11959791032129713
11,0.24,-1.3281552299462263,-1.542664678969317,-1.1136457809231355,0.12466323663910145
12,0.26,-1.37587710487594,-1.5647825190969855,-1.1869716906548944,0.13022900953897482
13,0.28,-1.3955443235653036,-1.5755243279923556,-1.2155643191382515,0.1335066704063558
14,0.3,-1.3931150568244703,-1.5649345162510802,-1.2212955973978605,0.1370297053234429
15,0.32,-1.394989086899841,-1.5615723923161227,-1.2284057814835592,0.13905581712293116
16,0.34,-1.3616612486908934,-1.5252778191784293,-1.1980446782033576,0.14110884884012084
17,0.36,-1.3062452913299936,-1.4630160591405197,-1.1494745235194674,0.14250317478927285
18,0.38,-1.2814958763174076,-1.4304718883009624,-1.1325198643338528,0.14306442636031602
19,0.4,-1.2724979250592696,-1.4156853135916097,-1.1293105365269296,0.14347733831214948
20,0.42,-1.2940009239257506,-1.4346649733306682,-1.153336874520833,0.14353118431704603
21,0.44,-1.2513232844078743,-1.389193909643771,-1.1134526591719776,0.1436789482231454
22,0.46,-1.2169880203374532,-1.348076432843837,-1.0858996078310694,0.14377705235871727
23,0.48,-1.203224483519989,-1.3228932327102212,-1.0835557343297568,0.14379970671226633
24,0.5,-1.235982118289229,-1.3508237751047971,-1.1211404614736609,0.14198018336388668
25,0.52,-1.2454703986945788,-1.3578797677138463,-1.1330610296753112,0.14022582536741862
26,0.54,-1.256048788628732,-1.365737238005881,-1.1463603392515829,0.13771496601366745
27,0.56,-1.2176127091888702,-1.327357399745795,-1.1078680186319454,0.1353332837039903
28,0.58,-1.187644279275446,-1.2969785891910885,-1.0783099693598035,0.13276148463206439
29,0.6,-1.141853295835915,-1.2504584031997499,-1.0332481884720803,0.1307007229140667
30,0.62,-1.1427298608897445,-1.2503896035894906,-1.0350701181899984,0.12708660571971234
31,0.64,-1.1245733551141939,-1.2302022787650713,-1.0189444314633165,0.1232832698518727
32,0.66,-1.151096186792529,-1.2558832891134317,-1.046309084471626,0.11911099208082525
33,0.68,-1.1696333835834594,-1.2739814846890836,-1.0652852824778352,0.11510595982135874
34,0.7,-1.1676410464111484,-1.2715207156598616,-1.0637613771624352,0.11084989214857158
35,0.72,-1.1612581303500917,-1.2650908274224222,-1.0574254332777613,0.10643495375408243
36,0.74,-1.1607696419151239,-1.2665116076600602,-1.0550276761701876,0.10162016063053314
37,0.76,-1.1359902797707946,-1.2443645007088486,-1.0276160588327405,0.09625643299515395
38,0.78,-1.1361855859161096,-1.2455651113335307,-1.0268060604986886,0.0909778581141254
39,0.8,-1.1020081131355255,-1.2190385326027582,-0.9849776936682929,0.08522012191859497
40,0.82,-1.1091931038469056,-1.2310004983131824,-0.9873857093806288,0.07910986562402267
41,0.84,-1.0648037950453215,-1.198160089884449,-0.931447500206194,0.07280801915786336
42,0.86,-0.9904607553844471,-1.1344693521422418,-0.8464521586266525,0.06604837944650027
43,0.88,-0.9126946586948179,-1.0660834598853597,-0.7593058575042761,0.058623377942417405
44,0.9,-0.8924016353086301,-1.0406076220035343,-0.744195648613726,0.051117289956179604
45,0.92,-0.8572090037428097,-1.0129316788529408,-0.7014863286326787,0.04290827465331357
46,0.94,-0.8311338180550933,-0.9942003626198981,-0.6680672734902886,0.03375643773683439
47,0.96,-0.7796306727732798,-0.9392331448955984,-0.6200282006509612,0.023578426806622123
48,0.98,-0.6953723821360072,-0.8881217444745395,-0.5026230197974748,0.012844319642500823
