,blst,flh,sup,cag,fag,age,inX,outY
534,0.0,0.0,0.0,940.6,785.6,3,0.488549618,2.954910093
441,0.0,95.7,5.3,948.9,857.2,28,0.7672,3.303951789
978,183.9,143.2,9.2,879.6,698.5,28,1.24871134,3.36695073
510,22.0,132.0,8.5,822.0,750.0,7,0.419811321,3.663561415
194,0.0,100.5,7.5,1006.4,905.9,3,0.850539291,2.521720464
1014,206.5,160.9,5.5,866.9,735.6,28,1.35530303,3.505857431
254,0.0,100.4,8.7,1007.8,903.6,3,0.749647059,2.605648103
215,0.0,125.2,9.9,1088.1,802.6,14,0.850761955,3.123245397
140,262.2,0.0,8.6,1046.9,611.8,56,0.560165975,4.17284736
968,0.0,165.7,10.0,961.0,804.9,28,1.337787676,2.587011709
527,19.0,141.0,10.9,942.0,801.0,7,0.428969359,3.576550043
531,0.0,0.0,0.0,838.4,719.7,28,0.5,3.171784017
711,203.5,0.0,0.0,965.4,631.0,90,0.666557484,4.00003363
92,189.0,0.0,9.5,944.7,755.8,3,0.51760876,3.18221164
504,26.0,123.0,3.9,822.0,699.0,3,0.409368635,3.38608353
145,117.2,0.0,32.2,852.1,840.5,56,0.293816631,4.238444639
535,0.0,0.0,0.0,940.6,785.6,90,0.488549618,3.888754133
704,166.8,0.0,0.0,977.6,694.1,3,0.813349321,2.275213753
158,177.0,0.0,11.1,884.9,707.9,56,0.423690205,4.272490478
848,97.0,76.0,8.0,835.0,821.0,28,0.76984127,3.508555679
996,238.7,0.0,6.3,1001.8,683.9,28,1.31061599,3.290637983
619,0.0,0.0,0.0,968.0,863.0,180,0.779527559,3.318901929
638,0.0,0.0,0.0,1038.0,758.0,28,0.496,3.643097032
889,111.0,86.0,5.0,895.0,733.0,28,0.744274809,3.518090911
173,212.5,0.0,14.3,852.1,880.4,91,0.488393977,4.220976947
315,0.0,99.9,12.4,1006.0,899.8,14,0.580222399,3.507357356
847,129.0,100.0,9.0,825.0,805.0,28,0.614285714,3.966889657
397,116.0,119.0,5.7,833.0,880.0,28,1.268965517,3.372797694
414,0.0,125.2,9.9,1079.0,798.9,3,0.8754598,2.529720506
19,0.0,0.0,0.0,932.0,594.0,180,0.48,3.75232339
72,106.3,0.0,16.5,852.1,887.1,3,0.361176471,3.508555679
148,0.0,0.0,28.2,852.1,893.7,56,0.266892528,4.074141598
294,42.2,124.3,10.8,1080.8,796.2,3,0.937240971,2.001479874
34,190.0,0.0,0.0,932.0,670.0,365,1.2,3.983226513
344,0.0,174.7,10.2,1053.5,776.4,3,0.724379972,2.866192721
536,0.0,0.0,0.0,940.6,785.6,28,0.488549618,3.678828886
604,0.0,0.0,0.0,968.0,781.0,365,0.581120944,3.660736917
288,0.0,167.0,7.6,1055.6,777.8,100,0.934950386,3.814850853
739,0.0,0.0,0.0,1090.0,769.0,28,0.628378378,3.226049825
863,121.0,0.0,7.0,908.0,829.0,28,0.614583333,3.74075984
178,200.9,0.0,11.2,1004.6,803.7,91,0.505413902,4.341204366
122,117.2,0.0,32.2,852.1,840.5,28,0.293816631,4.203198702
185,0.0,96.7,4.5,967.1,870.3,14,0.851169065,3.196630014
313,0.0,95.6,8.9,955.1,859.2,100,0.579979709,3.952012404
618,0.0,0.0,0.0,968.0,863.0,90,0.779527559,3.293611963
183,189.0,0.0,9.5,944.7,755.8,91,0.51760876,4.216561929
759,0.0,0.0,0.0,974.0,775.0,28,0.58,3.308350623
633,0.0,0.0,0.0,1088.0,808.0,7,0.665454545,2.653241797
465,93.4,159.9,9.7,1007.2,746.6,100,0.99136939,3.930648222
991,142.8,111.2,22.1,913.9,651.2,28,0.541464989,3.643358709
208,0.0,121.6,5.7,1057.6,779.3,100,0.850070721,3.679081379
943,0.0,111.9,7.9,992.0,815.9,28,1.216358839,2.499795105
628,0.0,0.0,0.0,1125.0,845.0,28,0.9,2.505525779
632,0.0,0.0,0.0,1063.0,783.0,28,0.566153846,3.42001892
723,0.0,0.0,0.0,1012.0,830.0,28,0.619354839,3.326114366
826,0.0,0.0,0.0,936.0,721.0,3,0.4,3.194173011
796,0.0,0.0,0.0,1125.0,613.0,90,0.4,3.854817288
