"","tau","estCoef","lowerCI","upperCI","CL"
"1",0.02,-1.33126451915058,-1.67083914717237,-1.22022824855969,0.0149194437648186
"2",0.04,-1.40781974305213,-1.66971030370617,-1.28685549289287,0.0241510839885032
"3",0.06,-1.50729323663109,-1.63969688686289,-1.37870651678406,0.033226523841746
"4",0.08,-1.51666218328248,-1.57747144536915,-1.29940251983016,0.0400801106043537
"5",0.1,-1.48761331494917,-1.57044202514806,-1.17845346862758,0.0465565476608813
"6",0.12,-1.3453720458914,-1.50055608654397,-1.189387100081,0.0531613535923833
"7",0.14,-1.30859729812581,-1.44850127147029,-1.16151768533063,0.0585754429327003
"8",0.16,-1.25289682855797,-1.44840062064898,-1.15254012440372,0.063326277701628
"9",0.18,-1.27034315314747,-1.45962921893466,-1.16716249245243,0.0669156278699108
"10",0.2,-1.24637126380894,-1.39217710226253,-1.13492448899191,0.0707337251489651
"11",0.22,-1.26128183193543,-1.4069844650628,-1.12807528344697,0.0743600585783783
"12",0.24,-1.26823216575242,-1.39832104784645,-1.11773375744281,0.078517728911314
"13",0.26,-1.27846815359095,-1.34445459765602,-1.01894099268479,0.0826162089468125
"14",0.28,-1.23887630178888,-1.36229072101597,-1.04709892396617,0.0853659350589825
"15",0.3,-1.18882350545283,-1.35318072780168,-1.06799893779804,0.0880931838988561
"16",0.32,-1.18927109077364,-1.35365929396725,-1.062369360364,0.0919242349678038
"17",0.34,-1.18962340774419,-1.34415284734807,-1.00810035246939,0.0931257412311448
"18",0.36,-1.20436086971338,-1.3412614516321,-0.986222095921645,0.0947632538139427
"19",0.38,-1.20821721127961,-1.3204311545587,-0.981362691544422,0.095733444714205
"20",0.4,-1.20689894229273,-1.32869725643603,-0.97719849797527,0.0975721585343514
"21",0.42,-1.18163986393072,-1.31371220488603,-0.972745345261439,0.0988864055085817
"22",0.44,-1.16735203991688,-1.31627196527825,-0.957513874418218,0.0993062322558071
"23",0.46,-1.13486901759046,-1.28497007599778,-0.962559474478788,0.0998543019591812
"24",0.48,-1.13272776799878,-1.24668546787722,-0.964726818103795,0.100125964861993
"25",0.5,-1.10756857692049,-1.23995878414131,-0.984984541859075,0.100053916976894
"26",0.52,-1.09191327349302,-1.23594359292179,-0.981581628833303,0.0987205436948048
"27",0.54,-1.11468571330674,-1.20230207510087,-0.97249037909086,0.0983151769766643
"28",0.56,-1.10176325895525,-1.17275473105412,-0.988058164753656,0.097066763128193
"29",0.58,-1.10264071740198,-1.21334143429435,-0.994980733923208,0.0966069796081867
"30",0.6,-1.10954811523235,-1.23935136273315,-0.98425226524626,0.0951393351730281
"31",0.62,-1.09995501476559,-1.28720951096082,-0.979680413938988,0.0947603393670671
"32",0.64,-1.11734674654866,-1.27401596191554,-0.979722321920309,0.0935857483492509
"33",0.66,-1.13600524148719,-1.27615357786126,-1.02490958155954,0.0905329437930113
"34",0.68,-1.14349400323386,-1.2717627946973,-0.995634043698366,0.0881326123895199
"35",0.7,-1.14780193490439,-1.29116049258206,-0.931502126274594,0.0852071634444446
"36",0.72,-1.13273608554798,-1.27381545004851,-0.95483431194369,0.0815055617402492
"37",0.74,-1.13440656060859,-1.26526657304142,-0.947501574523562,0.0777814707738806
"38",0.76,-1.06681071625221,-1.28130564516009,-0.889422537204437,0.075385876343617
"39",0.78,-1.03007392840092,-1.20723545912535,-0.810271559441537,0.0726903820063503
"40",0.8,-1.00941612324622,-1.18687120339847,-0.740952542272016,0.0690188091255956
"41",0.82,-0.983000563305274,-1.17422786817599,-0.714370572598647,0.0651011930490464
"42",0.84,-0.936234388667191,-1.12195592822592,-0.681706638431603,0.0607820166168306
"43",0.86,-0.876055326277775,-1.04667362248683,-0.646011065021329,0.0572706019376821
"44",0.88,-0.844384651600711,-0.953732208236205,-0.620667761457511,0.0519295717992344
"45",0.9,-0.78470455352722,-0.923629961436206,-0.617122823411892,0.0460612637247361
"46",0.92,-0.753232461697229,-0.916439091782141,-0.635854392281802,0.0387149298671882
"47",0.94,-0.743755202971977,-0.925301679187711,-0.63495727942425,0.0309846105933633
"48",0.96,-0.75663752862255,-0.954969213943197,-0.670890312922691,0.0222424975537073
"49",0.98,-0.804307160509013,-0.967453908900218,-0.703043087134024,0.0135369730181578
