,tau,estCoef,lowerCI,upperCI,CL
0,0.02,-1.3029569387435913,-1.5087893988285006,-1.097124478658682,0.023246219381690025
1,0.04,-1.4484864473342896,-1.7035543783742093,-1.1934185162943698,0.028495987877249718
2,0.06,-1.4281302690505981,-1.6159545513154123,-1.240305986785784,0.040740855038166046
3,0.08,-1.2702940702438354,-1.53437550462101,-1.006212635866661,0.04304422065615654
4,0.1,-1.2871946096420288,-1.7290537015521954,-0.8453355177318622,0.048383090645074844
5,0.12,-1.2393059730529785,-1.5706403156784112,-0.9079716304275458,0.058232687413692474
6,0.14,-1.2346807718276978,-1.4013059355985773,-1.0680556080568182,0.06771629303693771
7,0.16,-1.2201285362243652,-1.5407281747251143,-0.8995288977236162,0.06293746083974838
8,0.18,-1.248942255973816,-1.715018320469117,-0.7828661914785149,0.0753813087940216
9,0.2,-1.2107669115066528,-1.6020182216201557,-0.8195156013931499,0.06957065314054489
10,0.22,-1.2376549243927002,-1.455757555374539,-1.0195522934108614,0.0718923881649971
11,0.24,-1.2683401107788086,-1.369403881058568,-1.1672763404990492,0.07172682136297226
12,0.26,-1.278843641281128,-1.405579831364591,-1.1521074511976648,0.07750725001096725
13,0.28,-1.283112645149231,-1.3867699536132572,-1.1794553366852047,0.07589481770992279
14,0.3,-1.3488688468933105,-1.4817052078517265,-1.2160324859348945,0.08720798045396805
15,0.32,-1.327581524848938,-1.505147387018277,-1.150015662679599,0.08356453478336334
16,0.34,-1.2833043336868286,-1.3910256186583154,-1.1755830487153418,0.08200404047966003
17,0.36,-1.2126491069793701,-1.3211118982680454,-1.1041863156906948,0.08148778229951859
18,0.38,-1.1845709085464478,-1.3046427057097014,-1.064499111383194,0.08580189198255539
19,0.4,-1.2107490301132202,-1.3540343059359072,-1.0674637542905332,0.08037509024143219
20,0.42,-1.234753966331482,-1.3413009214849316,-1.1282070111780322,0.0822620540857315
21,0.44,-1.2360265254974365,-1.3394771140057224,-1.1325759369891506,0.08673195540904999
22,0.46,-1.2088391780853271,-1.3053239457593049,-1.1123544104113494,0.084004245698452
23,0.48,-1.199562668800354,-1.3122831616092399,-1.0868421759914682,0.08459236472845078
24,0.5,-1.205282211303711,-1.4220901191089492,-0.9884743034984727,0.0917060449719429
25,0.52,-1.2114697694778442,-1.302804083674039,-1.1201354552816494,0.08333489298820496
26,0.54,-1.1810548305511475,-1.3040055815550495,-1.0581040795472454,0.10108687728643417
27,0.56,-1.1768299341201782,-1.2961519913232515,-1.057507876917105,0.07583407312631607
28,0.58,-1.1775938272476196,-1.2918502061636086,-1.0633374483316307,0.07575251907110214
29,0.6,-1.133798360824585,-1.250047113494572,-1.0175496081545978,0.0837533101439476
30,0.62,-1.1353455781936646,-1.2303322454806722,-1.0403589109066569,0.07459580898284912
31,0.64,-1.1287308931350708,-1.2346740683501685,-1.0227877179199731,0.08230042457580566
32,0.66,-1.1285004615783691,-1.2185062715430492,-1.038494651613689,0.07154444605112076
33,0.68,-1.126123309135437,-1.3623637429286366,-0.8898828753422375,0.09948550909757614
34,0.7,-1.1400490999221802,-1.2289064556777514,-1.051191744166609,0.06333939731121063
35,0.72,-1.135221004486084,-1.276846461442603,-0.993595547529565,0.07153435051441193
36,0.74,-1.137208104133606,-1.3390154371010001,-0.9354007711662118,0.0940808579325676
37,0.76,-1.0974355936050415,-1.3275565756179257,-0.8673146115921574,0.0681755468249321
38,0.78,-1.0627801418304443,-1.24525553914778,-0.8803047445131087,0.06525509059429169
39,0.8,-1.0503425598144531,-1.288595200748881,-0.8120899188800252,0.06034034490585327
40,0.82,-0.9927430748939514,-1.3619403691703187,-0.6235457806175841,0.08566654473543167
41,0.84,-0.8583444952964783,-1.2644109441237168,-0.4522780464692398,0.0637812465429306
42,0.86,-0.838689386844635,-1.0569480440961723,-0.6204307295930976,0.06270238012075424
43,0.88,-0.8219920992851257,-1.189538487986821,-0.4544457105834304,0.056564267724752426
44,0.9,-0.7781983613967896,-1.054764287368649,-0.5016324354249302,0.05000273510813713
45,0.92,-0.7430833578109741,-1.015761102169927,-0.4704056134520212,0.04095558822154999
46,0.94,-0.6946741938591003,-1.2192799372498664,-0.1700684504683342,0.031290289014577866
47,0.96,-0.6473273038864136,-0.9602465466203466,-0.33440806115248056,0.022127706557512283
48,0.98,-0.6182817816734314,-0.7698044960030643,-0.46675906734379846,0.01401450578123331
