,tau,estCoef,lowerCI,upperCI,CL
0,0.02,-1.3799062758298533,-1.7103129573376896,-1.049499594322017,0.023028472201312274
1,0.04,-1.5305472776253453,-1.8186789937712353,-1.2424155614794552,0.03943315557553954
2,0.06,-1.5054860925382343,-1.7678464240242948,-1.2431257610521738,0.05279350351707757
3,0.08,-1.3220895314545373,-1.5749412636464415,-1.0692377992626332,0.06525235227715745
4,0.1,-1.3439143038611405,-1.5696010977332415,-1.1182275099890395,0.07657320090309808
5,0.12,-1.3012443989841813,-1.5149432254153012,-1.0875455725530614,0.08787906874431049
6,0.14,-1.2857832720790867,-1.4957350663273419,-1.0758314778308316,0.09675964448747316
7,0.16,-1.2805846468854725,-1.4944045791808054,-1.0667647145901396,0.10540165585552803
8,0.18,-1.3052844944776965,-1.5325447589368566,-1.0780242300185363,0.11366318683139816
9,0.2,-1.2627124200316757,-1.4827587663904989,-1.0426660736728526,0.12042841661259188
10,0.22,-1.2978444932379176,-1.5117670253939872,-1.083921961081848,0.12600640559523152
11,0.24,-1.3251276914238588,-1.5250140876312739,-1.1252412952164437,0.13168252643125833
12,0.26,-1.3411709009369588,-1.5318443421181542,-1.1504974597557633,0.13538252348817933
13,0.28,-1.3548145380489132,-1.5342909692379816,-1.1753381068598447,0.1383580160324459
14,0.3,-1.4130802327390484,-1.5826301545463797,-1.243530310931717,0.13998026838502117
15,0.32,-1.3950988898978025,-1.5630390263781593,-1.2271587534174457,0.14100896861940684
16,0.34,-1.3599954695536667,-1.5300796402073493,-1.189911298899984,0.14247236351795328
17,0.36,-1.2771517706668192,-1.4393678683962432,-1.1149356729373952,0.14323605110571558
18,0.38,-1.2406779155380008,-1.3936669938969368,-1.0876888371790647,0.1427043630472066
19,0.4,-1.2612733836351708,-1.4070149135721701,-1.1155318536981715,0.1421495536445999
20,0.42,-1.2918095080543708,-1.4339326302137494,-1.1496863858949922,0.1418422624653923
21,0.44,-1.291031564835123,-1.429776588861097,-1.152286540809149,0.14153003752134255
22,0.46,-1.2722849892642216,-1.4053977082368454,-1.1391722702915978,0.14136000384766748
23,0.48,-1.2521963098792526,-1.3814465767715116,-1.1229460429869935,0.14105158731866335
24,0.5,-1.2663343012312822,-1.3906766669002613,-1.1419919355623032,0.13874898386369408
25,0.52,-1.2628312972257731,-1.3830822715278293,-1.142580322923717,0.13655786018929209
26,0.54,-1.2322530453702711,-1.3481616463049855,-1.1163444444355568,0.1344895700856046
27,0.56,-1.2266864773912403,-1.3413921019971429,-1.1119808527853376,0.13149456384749922
28,0.58,-1.2278608347029376,-1.3404577391264743,-1.115263930279401,0.12872419069089022
29,0.6,-1.1875890297205842,-1.2987501425193637,-1.0764279169218047,0.1259630573049762
30,0.62,-1.1807121212609673,-1.2889728893308665,-1.072451353191068,0.12305255010085946
31,0.64,-1.1819724059271266,-1.2887339514679013,-1.075210860386352,0.11932350708701414
32,0.66,-1.1775544899668375,-1.2838150509440418,-1.0712939289896333,0.11573049545637694
33,0.68,-1.175262704262991,-1.2800657600240957,-1.0704596485018865,0.11175465076181888
34,0.7,-1.1929983287867572,-1.2971675540589307,-1.0888291035145836,0.10832307338539188
35,0.72,-1.1872324568119836,-1.2918174229210497,-1.0826474907029175,0.10454326771176087
36,0.74,-1.1864732368292152,-1.2925134401796035,-1.080433033478827,0.09989505787204309
37,0.76,-1.1478181433683403,-1.258730240631084,-1.0369060461055966,0.09568055312390655
38,0.78,-1.1098877757451078,-1.2235402831368942,-0.9962352683533213,0.09042112682153598
39,0.8,-1.1047537164135406,-1.2226687831101597,-0.9868386497169216,0.08478350432900514
40,0.82,-1.042516655125155,-1.169269218150034,-0.9157640921002761,0.07993709559587235
41,0.84,-0.899574627174843,-1.0403155161411342,-0.7588337382085519,0.07595394940190987
42,0.86,-0.884709997425631,-1.026451045610794,-0.7429689492404677,0.06905847143409374
43,0.88,-0.8673609032009608,-1.012098013202183,-0.7226237931997385,0.06131544863573652
44,0.9,-0.8212054159439504,-0.9656847669493102,-0.6767260649385906,0.0534732012906026
45,0.92,-0.7871424155241584,-0.9359855211083018,-0.638299309940015,0.044546529156755776
46,0.94,-0.7381102618044224,-0.8883427882545063,-0.5878777353543385,0.03502331282498613
47,0.96,-0.6911983912840469,-0.8658957868158118,-0.516500995752282,0.025062188746430233
48,0.98,-0.6616209874591732,-0.846360031137178,-0.47688194378116844,0.014289761942065988
