run,method,ci_area,acl,ci_area_difference_from_supplement,acl_difference_from_supplement
supplement_figures_5_6,DPLQR,0.2891,0.0675,0,0
supplement_figures_5_6,LQR,0.3408,0.1052,0,0
supplement_figures_5_6,PLAQR,0.3137,0.0786,0,0
supplement_figure_6,DNQR,,0.0626,,0
initial_user_run,DPLQR,0.403194134774,0.066840535048,0.114094134774,-0.000659464952
initial_user_run,LQR,0.315168555934,0.100762471194,-0.025631444066,-0.004437528806
initial_user_run,PLAQR,0.309762046278,0.071060365428,-0.003937953722,-0.007539634572
codex_rerun,DPLQR,0.440810128298,0.061440725699,0.151710128298,-0.006059274301
codex_rerun,LQR,0.318442662091,0.099817736679,-0.022357337909,-0.005382263321
codex_rerun,PLAQR,0.328682800937,0.075505254475,0.014982800937,-0.003094745525
