source_row,blst,flh,sup,cag,fag,age,inX,outY
572,147.2,0.0,0.0,1055.0,744.3,7,0.841032609,2.571848418
1008,188.0,146.4,11.3,828.7,709.7,28,1.268414482,3.564165985
951,144.7,0.0,8.0,999.7,822.2,28,1.166339227,2.944964971
225,42.1,163.8,5.7,1058.7,780.1,14,0.725,2.88032124
862,164.0,128.0,6.0,869.0,656.0,28,1.692857143,3.561897768
565,0.0,0.0,0.0,1091.4,769.3,7,0.627789047,2.697326068
537,0.0,0.0,0.0,936.2,712.2,28,0.4,3.782824828
625,0.0,0.0,0.0,968.0,812.0,90,0.628664495,3.494080155
645,305.3,0.0,0.0,963.4,630.0,7,1.0,2.972463459
587,158.8,0.0,0.0,1040.6,734.3,28,0.779596977,3.292497757
1025,116.0,90.3,8.9,870.1,768.3,28,0.649782923,3.790532869
800,0.0,0.0,0.0,1111.0,784.0,7,0.734126984,2.618125328
418,0.0,118.3,5.8,1043.6,754.3,3,0.767303103,2.483238436
922,99.0,77.0,6.0,919.0,749.0,28,0.741176471,3.52046058
302,0.0,96.2,9.4,961.2,865.0,56,0.578856749,3.808438449
110,200.9,0.0,11.2,1004.6,803.7,7,0.505413902,3.63758593
1005,97.1,75.6,8.3,835.5,821.4,28,0.768742562,3.508555679
295,42.2,124.3,10.8,1080.8,796.2,14,0.937240971,3.157425663
195,0.0,100.5,7.5,1006.4,905.9,14,0.850539291,3.218475542
151,94.7,0.0,11.4,946.8,852.1,56,0.366849179,4.300002528
175,189.0,0.0,11.6,944.7,755.8,91,0.454771098,4.373237853
146,106.3,0.0,16.5,852.1,887.1,56,0.361176471,4.163559368
769,0.0,0.0,0.0,978.0,825.0,360,0.580060423,3.719408424
403,119.0,0.0,9.0,1061.0,657.0,28,0.449438202,4.077537187
647,236.0,0.0,0.0,935.4,781.2,90,1.222929936,3.769998267
731,0.0,0.0,0.0,1056.0,809.0,3,0.550143266,2.76443036
185,0.0,96.7,4.5,967.1,870.3,14,0.851169065,3.196630014
436,13.6,172.4,4.1,1006.3,856.4,28,0.909512761,3.517200835
327,0.0,98.8,14.2,987.8,889.0,56,0.57986524,4.022311105
77,106.3,0.0,16.5,852.1,887.1,3,0.361176471,3.508555679
963,236.8,0.0,11.9,1069.3,674.8,28,1.158666667,3.622472293
2,142.5,0.0,0.0,932.0,594.0,270,0.685714286,3.695606542
579,135.7,0.0,0.0,1076.2,759.3,28,0.912530713,3.119276263
531,0.0,0.0,0.0,838.4,719.7,28,0.5,3.171784017
847,129.0,100.0,9.0,825.0,805.0,28,0.614285714,3.966889657
904,183.0,0.0,9.0,877.0,868.0,28,1.24516129,3.169265124
644,0.0,0.0,0.0,1050.0,770.0,28,0.531428571,3.534853543
240,0.0,118.2,6.1,1028.1,757.6,14,0.849804092,3.105482942
420,128.5,132.1,8.1,1005.8,746.6,14,1.061212121,3.499230901
84,282.8,0.0,10.3,942.7,659.9,3,0.5678097,3.342861594
1013,0.0,141.6,11.0,801.4,778.4,28,0.543130093,3.710396063
470,0.0,118.3,5.8,1043.6,754.3,100,0.767303103,3.692622207
759,0.0,0.0,0.0,974.0,775.0,28,0.58,3.308350623
190,0.0,94.6,4.6,947.0,852.2,14,0.846449957,3.097385732
534,0.0,0.0,0.0,940.6,785.6,3,0.488549618,2.954910093
816,0.0,0.0,0.0,1125.0,613.0,7,0.36,3.747619713
798,0.0,0.0,0.0,1125.0,613.0,270,0.4,4.0102378
27,38.0,0.0,0.0,932.0,670.0,180,0.666666667,3.953548503
888,145.0,0.0,8.0,1000.0,822.0,28,1.163398693,2.944964971
740,0.0,0.0,0.0,1040.0,734.0,7,0.626262626,3.432695832
540,0.0,0.0,0.0,936.2,712.2,3,0.4,3.194582931
35,237.5,0.0,0.0,932.0,594.0,270,0.96,3.648317612
261,0.0,100.4,10.4,1003.8,903.8,28,0.749764817,3.621670476
826,0.0,0.0,0.0,936.0,721.0,3,0.4,3.194173011
756,0.0,0.0,0.0,1125.0,613.0,270,0.32037037,4.306359484
962,0.0,133.6,11.1,979.5,811.5,28,1.248618785,2.580216667
97,93.8,0.0,23.4,852.1,992.6,7,0.3376,3.822098057
427,0.0,125.2,9.9,1079.0,798.9,14,0.8754598,2.966303276
159,189.0,0.0,22.0,944.7,755.8,56,0.374198512,4.374498092
32,132.4,0.0,0.0,978.4,825.5,180,0.966767372,3.730980395
220,0.0,163.3,4.5,1058.6,780.1,14,1.062612884,3.237893626
854,121.0,94.0,9.0,904.0,696.0,28,0.655052265,3.73623979
747,0.0,0.0,0.0,1125.0,613.0,3,0.4,3.260401366
426,93.4,159.9,9.7,1007.2,746.6,14,0.99136939,3.38608353
870,139.0,109.0,6.0,892.0,780.0,28,1.295302013,3.165052818
