tau,estCoef,lowerCI,upperCI,CL
0.02,-1.371276070654858,-1.635809651500992,-1.106742489808724,0.026536490193465437
0.04,-1.5009657221646648,-1.7837181491195446,-1.218213295209785,0.041905542287171305
0.06,-1.552661122654456,-1.8027286567812144,-1.3025935885276976,0.05801447825257078
0.08,-1.4932579615604027,-1.7189319393535551,-1.2675839837672502,0.07002961892025723
0.1,-1.4461401007256427,-1.668023977025118,-1.2242562244261674,0.08090988705723513
0.12,-1.4087987482993185,-1.640734984740406,-1.176862511858231,0.0910767288342032
0.14,-1.3498485388564632,-1.592391152538919,-1.1073059251740074,0.10399493225421559
0.16,-1.3546824871739318,-1.603466444661856,-1.1058985296860075,0.11378904208622816
0.18,-1.3771951571090995,-1.6082873547938257,-1.1461029594243732,0.12266563130976772
0.2,-1.3679379116617554,-1.5891710080293915,-1.1467048152941193,0.12846531103147252
0.22,-1.3844321181119312,-1.6029290125421494,-1.165935223681713,0.13478675594951978
0.24,-1.3513087526163758,-1.5735102719443606,-1.1291072332883911,0.13932571263486224
0.26,-1.4088918172160447,-1.6147088234519955,-1.203074810980094,0.14292058204474434
0.28,-1.439441440362657,-1.638114756388187,-1.240768124337127,0.14441785205984983
0.3,-1.450581747889828,-1.6389355330139272,-1.2622279627657287,0.14646994928391255
0.32,-1.4167036257706513,-1.6004804969504491,-1.2329267545908535,0.149033303313144
0.34,-1.3717512548134891,-1.5418202550335403,-1.201682254593438,0.15151862128768723
0.36,-1.3607574062454404,-1.516702989773496,-1.2048118227173847,0.15424713707208929
0.38,-1.3479011071575542,-1.496252934465435,-1.1995492798496734,0.15538681500020493
0.4,-1.3191779904875602,-1.462653198936642,-1.1757027820384784,0.1549453875637915
0.42,-1.3225596049655906,-1.4607291556944935,-1.1843900542366876,0.1556526679699991
0.44,-1.3610588211702748,-1.492288665737802,-1.2298289766027475,0.15609208536553182
0.46,-1.35464389308936,-1.4780367533254086,-1.2312510328533115,0.1553909350174084
0.48,-1.3654255297241917,-1.4862595265603955,-1.244591532887988,0.15423114178505798
0.5,-1.3926963774910064,-1.5092291158805948,-1.276163639101418,0.15363225345012965
0.52,-1.3458093880500428,-1.4594481394966494,-1.2321706366034362,0.1508367601342058
0.54,-1.3284402340538009,-1.4398591584900977,-1.217021309617504,0.14812407887057516
0.56,-1.3266594777784348,-1.4366039392477177,-1.216715016309152,0.14553984756507904
0.58,-1.316560352933493,-1.4253808818038083,-1.2077398240631778,0.14270759509851383
0.6,-1.2524628761639178,-1.3612216369275125,-1.1437041154003231,0.13859683860886435
0.62,-1.2352194641549659,-1.343384974437207,-1.1270539538727247,0.13504337303694866
0.64,-1.254060767486635,-1.3593407710989371,-1.148780763874333,0.13142062794900408
0.66,-1.254732431606044,-1.3590142523627309,-1.150450610849357,0.12727854181157502
0.68,-1.2544133471644159,-1.358978879622848,-1.1498478147059839,0.12337510594758094
0.7,-1.249631734453942,-1.3535004397338788,-1.1457630291740053,0.11862066274065297
0.72,-1.243725910642297,-1.3472601052520379,-1.1401917160325563,0.11386142256598744
0.74,-1.2232412597531237,-1.3274298169629501,-1.1190527025432973,0.10866617214860831
0.76,-1.2228227213234106,-1.3290404251995929,-1.1166050174472284,0.10322517907099159
0.78,-1.1923999539976649,-1.3017172048881616,-1.0830827031071681,0.09704305784992916
0.8,-1.1292383570607853,-1.2478321867867743,-1.0106445273347964,0.09041028971665789
0.82,-1.1065424589806412,-1.2297924313710717,-0.9832924865902106,0.0843622475908157
0.84,-1.0676680797836298,-1.1997642721674764,-0.9355718873997831,0.07737039494043571
0.86,-0.9873821565927301,-1.1316886231886973,-0.8430756899967629,0.06994352987415585
0.88,-0.9240111906386801,-1.0806049041040366,-0.7674174771733235,0.061729676016606
0.9,-0.8686763462437739,-1.0275716978600546,-0.7097809946274931,0.05357940394289943
0.92,-0.8511584173970732,-1.0050280966274872,-0.6972887381666593,0.04523000574039098
0.94,-0.7980502045047615,-0.9613664339034241,-0.6347339751060989,0.035502384608752414
0.96,-0.7661855217563698,-0.9489522684637602,-0.5834187750489793,0.02501984038389415
0.98,-0.7174131008213749,-0.9288605822355822,-0.5059656194071676,0.014131385391646205
