case,n,tau,rule,epoch_budget,theta1_bias_sd,theta2_bias_sd,relative_mse
1,1000,0.5,patience15,10,-0.7010 (0.6969),1.0430 (0.7782),0.034777373041837
1,1000,0.5,terminal,10,-0.6960 (0.7039),1.0441 (0.7766),0.02979608102586661
1,1000,0.5,validation_best,10,-0.7010 (0.6969),1.0430 (0.7782),0.034777373041837
1,1000,0.5,patience15,25,-0.5671 (0.5075),0.9350 (0.6255),0.0350244915874218
1,1000,0.5,terminal,25,-0.5259 (0.5657),0.9076 (0.6643),0.028067620616465585
1,1000,0.5,validation_best,25,-0.5671 (0.5075),0.9350 (0.6255),0.0350244915874218
1,1000,0.5,patience15,50,-0.3934 (0.2619),0.7470 (0.3596),0.024886245069931798
1,1000,0.5,terminal,50,-0.2772 (0.3392),0.6266 (0.4414),0.011898765844226559
1,1000,0.5,validation_best,50,-0.3087 (0.3817),0.6586 (0.4845),0.021147281528576055
1,1000,0.5,patience15,100,-0.3378 (0.1832),0.6750 (0.2577),0.024518501573418852
1,1000,0.5,terminal,100,-0.0981 (0.1170),0.3154 (0.1694),0.011841218628285022
1,1000,0.5,validation_best,100,-0.2364 (0.3266),0.5477 (0.4378),0.017999553646812026
1,1000,0.5,patience15,200,-0.3378 (0.1832),0.6750 (0.2577),0.024518501573418852
1,1000,0.5,terminal,200,-0.1136 (0.0281),0.1891 (0.1546),0.020875540495967154
1,1000,0.5,validation_best,200,-0.2364 (0.3266),0.5477 (0.4378),0.017999553646812026
1,1000,0.5,patience15,500,-0.3378 (0.1832),0.6750 (0.2577),0.024518501573418852
1,1000,0.5,terminal,500,-0.0847 (0.0992),0.0744 (0.2298),0.04599378737787729
1,1000,0.5,validation_best,500,-0.2364 (0.3266),0.5477 (0.4378),0.017999553646812026
1,1000,0.5,patience15,1000,-0.3378 (0.1832),0.6750 (0.2577),0.024518501573418852
1,1000,0.5,terminal,1000,-0.0853 (0.0816),0.0337 (0.2057),0.06818734964334212
1,1000,0.5,validation_best,1000,-0.2364 (0.3266),0.5477 (0.4378),0.017999553646812026
2,1000,0.5,patience15,10,-1.2016 (0.0895),1.1483 (0.0855),0.028397395495736187
2,1000,0.5,terminal,10,-1.2016 (0.0895),1.1483 (0.0855),0.028397395495736187
2,1000,0.5,validation_best,10,-1.2016 (0.0895),1.1483 (0.0855),0.028397395495736187
2,1000,0.5,patience15,25,-0.9792 (0.0593),0.9801 (0.0776),0.024856316363792732
2,1000,0.5,terminal,25,-0.9690 (0.0738),0.9768 (0.0823),0.017571480144042924
2,1000,0.5,validation_best,25,-0.9792 (0.0593),0.9801 (0.0776),0.024856316363792732
2,1000,0.5,patience15,50,-0.6011 (0.0318),0.6865 (0.0434),0.015339051057201358
2,1000,0.5,terminal,50,-0.5568 (0.0513),0.6505 (0.0560),0.015402682217774147
2,1000,0.5,validation_best,50,-0.6011 (0.0318),0.6865 (0.0434),0.015339051057201358
2,1000,0.5,patience15,100,-0.3390 (0.1134),0.4770 (0.1262),0.01380494561588972
2,1000,0.5,terminal,100,-0.1657 (0.0068),0.2938 (0.0380),0.012681778211995152
2,1000,0.5,validation_best,100,-0.2512 (0.0107),0.3898 (0.0029),0.015529778887787237
2,1000,0.5,patience15,200,-0.3390 (0.1134),0.4770 (0.1262),0.01380494561588972
2,1000,0.5,terminal,200,-0.0761 (0.0537),0.1936 (0.0123),0.016800554926500365
2,1000,0.5,validation_best,200,-0.2009 (0.0818),0.3149 (0.1030),0.015674007466885666
2,1000,0.5,patience15,500,-0.3390 (0.1134),0.4770 (0.1262),0.01380494561588972
2,1000,0.5,terminal,500,-0.0355 (0.0809),0.1096 (0.0867),0.032635987099421664
2,1000,0.5,validation_best,500,-0.2009 (0.0818),0.3149 (0.1030),0.015674007466885666
2,1000,0.5,patience15,1000,-0.3390 (0.1134),0.4770 (0.1262),0.01380494561588972
2,1000,0.5,terminal,1000,-0.0078 (0.0395),0.1029 (0.0664),0.055267501385082844
2,1000,0.5,validation_best,1000,-0.2009 (0.0818),0.3149 (0.1030),0.015674007466885666
3,1000,0.5,patience15,10,-0.4933 (0.1369),1.0932 (0.0790),0.14492534928482442
3,1000,0.5,terminal,10,-0.4933 (0.1369),1.0932 (0.0790),0.14492534928482442
3,1000,0.5,validation_best,10,-0.4933 (0.1369),1.0932 (0.0790),0.14492534928482442
3,1000,0.5,patience15,25,-0.2594 (0.0814),0.8589 (0.0312),0.1327132735910047
3,1000,0.5,terminal,25,-0.2424 (0.1055),0.8425 (0.0544),0.12607366287308336
3,1000,0.5,validation_best,25,-0.2594 (0.0814),0.8589 (0.0312),0.1327132735910047
3,1000,0.5,patience15,50,-0.0368 (0.1351),0.5513 (0.0815),0.08403288748023044
3,1000,0.5,terminal,50,-0.0183 (0.1089),0.5143 (0.0292),0.08008261885714904
3,1000,0.5,validation_best,50,-0.0368 (0.1351),0.5513 (0.0815),0.08403288748023044
3,1000,0.5,patience15,100,0.0645 (0.1611),0.3297 (0.1494),0.08051779821484079
3,1000,0.5,terminal,100,0.0529 (0.1789),0.2412 (0.0497),0.07345150502460593
3,1000,0.5,validation_best,100,0.0645 (0.1611),0.3297 (0.1494),0.08051779821484079
3,1000,0.5,patience15,200,0.0645 (0.1611),0.3297 (0.1494),0.08051779821484079
3,1000,0.5,terminal,200,0.0779 (0.2230),0.1300 (0.0069),0.13175851901832958
3,1000,0.5,validation_best,200,0.0645 (0.1611),0.3297 (0.1494),0.08051779821484079
3,1000,0.5,patience15,500,0.0645 (0.1611),0.3297 (0.1494),0.08051779821484079
