case,rep,split,max_abs_difference,file_sha256
1,1,train,0.0,44c735c189d9853ba4933fc8c4f30421637e4e9895cb94e7480006aa4f3cc0ee
1,1,test,0.0,06036ac5ea0fc82a5f1e0c8cf3f6ff8f30d72020e6b70ca848ba176f9d9586de
1,2,train,0.0,ebab345eba8f7bc0ac098b844bf0ba9b0dbc6c7f25a3656b19de156ba994bd45
1,2,test,0.0,b6f3bffe09d827d3f72c1aaf0442e243d3ea53aab6b22af255484b2b8ba61c6f
2,1,train,0.0,1a0d482a203df74a5801171ef0d35392d96031359bb5c2f5b1d43a96cc9389a3
2,1,test,0.0,615e199770c65d68587402073168b96587ef9755e1637426a9f82bd0437ab976
2,2,train,0.0,bbf5588483f020e0eed98b23fa5df78f945a9c61551e95d88cabfc7438ab50dd
2,2,test,0.0,482096aa17a2c4fe9f2fd498c8bffcd8e94f85fc4b11aee4a96f601d2f218fe8
3,1,train,0.0,714d0ce6dc253669ac84592b403825f6c703d84199e9e58390ca8253ff3b5f69
3,1,test,0.0,a8b19992549508cc587d9d339d4bd3b683d692e80085dc9858f885830f72e2e3
3,2,train,0.0,34148c6a95aba6e9b819dcc795fe8da9603d321079cda7e8a2a490441333d704
3,2,test,0.0,6d860f81e5cd45bb63aaf41c9912d3a229fd87ae2f0d0a11ac4e2b598a1a4f95
