case,n,tau,rule,epoch_budget,theta1_bias_sd,theta2_bias_sd,relative_mse
1,1000,0.5,patience15,10,-0.6111 (0.2746),1.1000 (0.4268),0.04944551643071571
1,1000,0.5,terminal,10,-0.6073 (0.2787),1.0988 (0.4255),0.04522482468312222
1,1000,0.5,validation_best,10,-0.6111 (0.2746),1.1000 (0.4268),0.04944551643071571
1,1000,0.5,patience15,25,-0.4860 (0.2112),0.9738 (0.3487),0.039737236380509224
1,1000,0.5,terminal,25,-0.4525 (0.2273),0.9444 (0.3652),0.03645993677211865
1,1000,0.5,validation_best,25,-0.4860 (0.2112),0.9738 (0.3487),0.039737236380509224
1,1000,0.5,patience15,50,-0.3308 (0.1727),0.7549 (0.2199),0.02676000086865472
1,1000,0.5,terminal,50,-0.2205 (0.1565),0.6343 (0.2527),0.025233083453158767
1,1000,0.5,validation_best,50,-0.2785 (0.1732),0.7115 (0.2871),0.02609777552953354
1,1000,0.5,patience15,100,-0.3049 (0.1685),0.7086 (0.2219),0.026454103396936705
1,1000,0.5,terminal,100,-0.0477 (0.0865),0.2819 (0.1529),0.015693033806459138
1,1000,0.5,validation_best,100,-0.1750 (0.1499),0.5143 (0.3078),0.02147694912009528
1,1000,0.5,patience15,200,-0.3049 (0.1685),0.7086 (0.2219),0.026454103396936705
1,1000,0.5,terminal,200,-0.0034 (0.0864),0.1184 (0.1600),0.022595881363130906
1,1000,0.5,validation_best,200,-0.1750 (0.1499),0.5143 (0.3078),0.02147694912009528
1,1000,0.5,patience15,500,-0.3049 (0.1685),0.7086 (0.2219),0.026454103396936705
1,1000,0.5,terminal,500,0.0180 (0.0919),0.0262 (0.1420),0.04673185965538883
1,1000,0.5,validation_best,500,-0.1750 (0.1499),0.5143 (0.3078),0.02147694912009528
1,1000,0.5,patience15,1000,-0.3049 (0.1685),0.7086 (0.2219),0.026454103396936705
1,1000,0.5,terminal,1000,0.0116 (0.0942),0.0137 (0.1399),0.07848713814361576
1,1000,0.5,validation_best,1000,-0.1750 (0.1499),0.5143 (0.3078),0.02147694912009528
2,1000,0.5,patience15,10,-0.8000 (0.4032),1.0674 (0.3838),0.050163983378406406
2,1000,0.5,terminal,10,-0.7997 (0.4035),1.0667 (0.3825),0.04571473187583598
2,1000,0.5,validation_best,10,-0.8000 (0.4032),1.0674 (0.3838),0.050163983378406406
2,1000,0.5,patience15,25,-0.6508 (0.3286),0.9056 (0.3225),0.029192712122059074
2,1000,0.5,terminal,25,-0.6443 (0.3234),0.9000 (0.3238),0.03128134321859613
2,1000,0.5,validation_best,25,-0.6508 (0.3286),0.9056 (0.3225),0.029192712122059074
2,1000,0.5,patience15,50,-0.3995 (0.2110),0.6231 (0.2455),0.01871746060080687
2,1000,0.5,terminal,50,-0.3639 (0.1988),0.5940 (0.2435),0.01920459518319334
2,1000,0.5,validation_best,50,-0.3995 (0.2110),0.6231 (0.2455),0.01871746060080687
2,1000,0.5,patience15,100,-0.2516 (0.1614),0.4383 (0.1953),0.015681935337574626
2,1000,0.5,terminal,100,-0.1145 (0.1079),0.2669 (0.1699),0.015480657312404122
2,1000,0.5,validation_best,100,-0.2339 (0.1504),0.4097 (0.1886),0.015484266693797233
2,1000,0.5,patience15,200,-0.2516 (0.1614),0.4383 (0.1953),0.015681935337574626
2,1000,0.5,terminal,200,-0.0452 (0.1048),0.1406 (0.1238),0.019378581563023974
2,1000,0.5,validation_best,200,-0.2153 (0.1645),0.3672 (0.1715),0.014381147255149274
2,1000,0.5,patience15,500,-0.2516 (0.1614),0.4383 (0.1953),0.015681935337574626
2,1000,0.5,terminal,500,-0.0391 (0.1051),0.0666 (0.1710),0.03556808390118614
2,1000,0.5,validation_best,500,-0.2153 (0.1645),0.3672 (0.1715),0.014381147255149274
2,1000,0.5,patience15,1000,-0.2516 (0.1614),0.4383 (0.1953),0.015681935337574626
2,1000,0.5,terminal,1000,-0.0357 (0.0674),0.0621 (0.2223),0.05858264978003129
2,1000,0.5,validation_best,1000,-0.2153 (0.1645),0.3672 (0.1715),0.014381147255149274
3,1000,0.5,patience15,10,-0.6945 (0.3802),1.0774 (0.3114),0.15770138036722983
3,1000,0.5,terminal,10,-0.6813 (0.3730),1.0635 (0.3054),0.13689898245659607
3,1000,0.5,validation_best,10,-0.6945 (0.3802),1.0774 (0.3114),0.15770138036722983
3,1000,0.5,patience15,25,-0.4796 (0.2985),0.8484 (0.2333),0.12039947656026902
3,1000,0.5,terminal,25,-0.4534 (0.3052),0.8174 (0.2522),0.10801550869051164
3,1000,0.5,validation_best,25,-0.4796 (0.2985),0.8484 (0.2333),0.12039947656026902
3,1000,0.5,patience15,50,-0.2900 (0.2167),0.6083 (0.1831),0.09104514572932103
3,1000,0.5,terminal,50,-0.2104 (0.2128),0.4981 (0.1800),0.08069678033211716
