case,rep,split,verified_against_first_pass,max_abs_difference,array_sha256
1,1,train,True,0.0,67b3dd7c90c01e3f10c5f3cedcb07712bbc4f3e00415b12277f10b94bee8f261
1,1,test,True,0.0,1409e1278a7cbd2845370cd76b5008d01ed16e5a7578d497c9ceabec420caba7
1,1,all_train_validation_test_arrays,False,,6cb743b80a582e380f9ba9fc296f620a45e2f25e76f1c32ce00ab8c3bc39a439
1,2,train,True,0.0,a1ea013108232bb6fc8c66b8c05a744455108ff1fdde734f4ad064ff9120a5cb
1,2,test,True,0.0,135bab08426cb14d98a419026ac819bdf3fc45a1d9c662a897f863a2bf9f4963
1,2,all_train_validation_test_arrays,False,,0d7ce2305fad4f0b018dcad118dd142eea09363df638870cccdb303eb4431570
1,3,train,False,,ec1082dc64e3716b06c9465171b31521a6f1a357dd8d0f3a241cb0626e495c9d
1,3,test,False,,c822c2c4375231fb6ec02c62893e472156b2ab47752e28b0b7747142652d042d
1,3,all_train_validation_test_arrays,False,,c7e0797776c404e94e1426fff6345c9708f51a6f478b6d9fd891125bdc7727d6
1,4,train,False,,57ef2b22999c45f166c7fe3b554886016a0b0432041d4e15194293a0239ba780
1,4,test,False,,d1eedef44b45d34ff67ea53a6b62f546624b3cb6105aca1237b7a39284bd3b9a
1,4,all_train_validation_test_arrays,False,,a317c4f181bca9a405ed92f71d788ca2e189345271c95e6bc080f9fee52fd097
1,5,train,False,,66048feddb1d171c42f4e8416d637538d7d7be5129fb5ee5e3eac3927f27d73e
1,5,test,False,,4f7d9e994521ab2eb7f0aee8bca469943e3f986c4d1a3029d025d7528254b16c
1,5,all_train_validation_test_arrays,False,,e7658a2b1df5c2ef7c50fcf65bee993dae91275ef1c7c5ec2da87f5c61a4d7ac
1,6,train,False,,d32a95f17e5d652a9e8328f5f9e29e84aab2922c65031d8b49d809ec7bfe9040
1,6,test,False,,6211704b1e4195e8b94f863f6c1548ac529c924d102638eea8f951db58eb1b8e
1,6,all_train_validation_test_arrays,False,,ca198306e001fb63385b2fb55a59764a963e0bf1e21379c8d97c17b3d3999840
1,7,train,False,,c6404bf74cb10c13407362e3311c51e6b68072b046e2e5d70512137f9ceeaed5
1,7,test,False,,6067ede8b9da33fb00d2ccd32309b6af4d5111a3c757f8df52a6d254deb7533a
1,7,all_train_validation_test_arrays,False,,9c6cd77b7819363770daafe9ab87e43a23a516563a62475792f6208022751c59
1,8,train,False,,deb284a46af2edeb6fd3cb0eb9e0ecb868fee71be58dc6c7958a739bcddb6cda
1,8,test,False,,3131c560b32a01cb6f9b93eeaeb064d8f93bf1dbf0ef89ebdd32887785b1e668
1,8,all_train_validation_test_arrays,False,,4f3de4ba60e38374845a9d666e66fbeb79d588a54442cb2377e394373dca479d
1,9,train,False,,97cc860eb10df2a24cf7de64fb1b53e047921464e2227371db6635ff34d130da
1,9,test,False,,924131e5e3131deb6da028b7f33ff257b1f517a3d1c9760a6c638926a4a99e23
1,9,all_train_validation_test_arrays,False,,d5fcd5e92e6a451893c4883511f584cbbddc9c5b43f98d70dc1c212403521936
1,10,train,False,,d4f078a4d46c697b01a5c431f7e7e97136824c32eec81b51319d757bf22a6748
1,10,test,False,,21db70656dadb412c24286dfba056334005b9d2b0741a291a9c1bb463c035919
1,10,all_train_validation_test_arrays,False,,234de3f36978791d8e9ea3622e3095b831ff2cb85b6052bc7499e951cc951969
