case,rep,origin,network_seed,sha256
1,1,verified_two_repetition_cache,31760905,cdca3b03603283ecf1df9b97a29847f983386b273ce316ce3b00cde7a62a7691
1,2,verified_two_repetition_cache,31760906,5a28308a7537c9af668cdf3b7bc96bbf1c84b0c6c0003b303075f7953cd3b429
1,3,newly_trained,31760907,660a89daca280ac042521392ead3f55a4087d0c58b8c57e56f6b6fc9aecd9bcd
1,4,newly_trained,31760908,4cc074037c364fe45cb108cc8f632f03226421c55e2084087fafb191f42e28e9
1,5,newly_trained,31760909,2ed0a1edb62032286a5ca3668584ac11572be0b10a8e3b539e43774e4f5143e0
1,6,newly_trained,31760910,22e5dceb8d8bfe501154e97438be47e61b8a53deb49bb428315547c13bd621af
1,7,newly_trained,31760911,5e3a2d302a72f58f46b749a570e54b82bd83dc7278d4831d655f1be8c9086f38
1,8,newly_trained,31760912,f81f2716879c93f1947e77df36e6c827dfd936f7c3204528a8c34512a1306d85
1,9,newly_trained,31760913,ef29ed722938624859e4a22e30416ac88871a5bdfaac3731bb881966a2614f54
1,10,newly_trained,31760914,85f4c4f2cead3b36e3d45cb6d43eb85cd76d75aa1e9851fbc3d3f8aef068869f
2,1,verified_two_repetition_cache,41760905,fb90d7f2ed87defc205d332e2197f89a0497b534625c929f8e745dc921b8cc93
2,2,verified_two_repetition_cache,41760906,ef4a873ace346b5b3fa2e82246fcb00b6b6c8a3a7bff544fbdadc758a84ea535
2,3,newly_trained,41760907,cbbc5a95dea865997d9569285ef11d40a927b46f0ac72d1d8972f45dc409507f
2,4,newly_trained,41760908,4444d0dc34944306218636b65f42a5e284f9885f686597b29c7abc8bcad99cae
2,5,newly_trained,41760909,0ca7650c03146b17733451301e4e0ac53988bdfc978a92756b08ca707ae1799c
2,6,newly_trained,41760910,7ca9a0e5063de1fe3096418a7ac5b28902585f27c5f61f98ed7cbe47cbb2d515
2,7,newly_trained,41760911,7601fb6a0b726230921c2d908ff46cb6fb2fc4a57c5c0dfa5140f133d8fcb63a
2,8,newly_trained,41760912,87a316e9707cd676dad1268f87cad2dbc4fde110d727c79b5d41ee2c66cd8fee
2,9,newly_trained,41760913,f173a16f8700da0a4440ced330509847727537bcd1aec9f8cb7edade1913bc1c
2,10,newly_trained,41760914,fa660be8f98ca266c65d1b23ac4ed13241219133963b32d88ace55617bf5fabb
3,1,verified_two_repetition_cache,51760905,2491d32960a5de049df74902b69940bfc8f9f7d5e0f84493aac801cfbddf6b67
3,2,verified_two_repetition_cache,51760906,1204d153a1f73ed58cb9fe47674801e99f8a9d2470735ec14f1b505e2b9b4ae7
3,3,newly_trained,51760907,8e87ec2bec7631f25028a31b361b441f20bce1732d928d42c8a0908c24883316
3,4,newly_trained,51760908,e33736f39524c3ee6f7a700af669c1bffca3fa7214813082ac4f2a262a707b5d
3,5,newly_trained,51760909,c88b7890872d43c5a2fb45f1eed7dd114981462735aaa67c6543391df67ec591
3,6,newly_trained,51760910,01032e9fc65c40151c27c48cb43f056df58db832d6f0f4fef2535d76141d92e7
3,7,newly_trained,51760911,2f820ad24286d2b6d85b3a57ceca8d442630e26c71d0935b690164a53c52b336
3,8,newly_trained,51760912,cdbd086344acf4f150d4bb49d73625634ce894fec409bc5b7a238d74e7dae249
3,9,newly_trained,51760913,c247a670839696b8d7f9a3103e2be9889c009eea05e09f879b8b69df0558ed30
3,10,newly_trained,51760914,2dcc71e9aa04896387a72bb84b80273a257d0328fd76cd9a7a2a8659132256b8
