case,n,rep,tau,method,theta1,theta2,se_theta1,se_theta2,lower_theta1,upper_theta1,lower_theta2,upper_theta2,covered_theta1,covered_theta2,rmse_m,test_check_loss,selected_hyperparameters,epochs_run,density_zero,projection_epochs
1,1000,1,0.5,LQR,0.9874064840167307,-1.0049777802050386,0.12693080888421246,0.12407593412649569,0.7386266700751376,1.2361862979583238,-1.2481621424411344,-0.7617934179689428,True,True,0.0006628775413141481,0.5581192674646785,,,,
1,1000,1,0.5,DPLQR,0.5326901078224182,-0.14275963604450226,0.10805755988428331,0.10891972338219817,0.3209011821919428,0.7444790334528937,-0.3562383710796759,0.07071909899067136,False,False,0.02769325316861822,0.603336476684447,"{""mode"": ""fixed"", ""depth"": 2, ""width"": 32, ""epochs"": 100, ""batch_size"": 128, ""patience"": 15, ""lr"": 0.005}",70.0,0.3971575407724341,"[17, 28]"
1,1000,2,0.5,LQR,0.9553260963679975,-0.966188141805219,0.11046117500219363,0.10657034629027484,0.7388261716737219,1.171826021062273,-1.1750621823541194,-0.7573141012563185,True,True,0.0010153726437012783,0.5621536164523628,,,,
1,1000,2,0.5,DPLQR,0.7917856574058533,-0.5072567462921143,0.13399494667494893,0.13584540943536774,0.5291603878125883,1.0544109269991182,-0.7735088562505327,-0.24100463633369584,True,False,0.021343749978219487,0.6143376106064095,"{""mode"": ""fixed"", ""depth"": 2, ""width"": 32, ""epochs"": 100, ""batch_size"": 128, ""patience"": 15, ""lr"": 0.005}",24.0,0.3142860503382788,"[19, 42]"
2,1000,1,0.5,LQR,1.0647006564805395,-0.8864249669421724,0.17529934145437762,0.1730880870555784,0.72112026071637,1.408281052244709,-1.2256713837240396,-0.5471785501603053,True,True,0.05107833701286005,0.7864673189030035,,,,
2,1000,1,0.5,DPLQR,0.5808635950088501,-0.4337492883205414,0.08902605077514898,0.08963427564419461,0.40637574180372393,0.7553514482139763,-0.6094292403634985,-0.2580693362775842,False,False,0.016774960826438243,0.6228191112373682,"{""mode"": ""fixed"", ""depth"": 2, ""width"": 32, ""epochs"": 100, ""batch_size"": 128, ""patience"": 15, ""lr"": 0.005}",77.0,0.4710881721324311,"[19, 29]"
2,1000,2,0.5,LQR,0.953529642738502,-1.1285147478327247,0.16722798072991288,0.15978051720176611,0.6257688233005146,1.2812904621764893,-1.4416788069793687,-0.8153506886860805,True,True,0.04029048544150175,0.7630037907541002,,,,
2,1000,2,0.5,DPLQR,0.7411836385726929,-0.6122812628746033,0.10214897814503447,0.10073782604576553,0.5409753203508563,0.9413919567945295,-0.8097237738051647,-0.41483875194404185,False,False,0.010834930405341196,0.6246598539039512,"{""mode"": ""fixed"", ""depth"": 2, ""width"": 32, ""epochs"": 100, ""batch_size"": 128, ""patience"": 15, ""lr"": 0.005}",91.0,0.41062096019932237,"[19, 36]"
3,1000,1,0.5,LQR,1.1631318734008502,-1.0647459327465594,0.141933833567583,0.1373132455337871,0.8849466714206854,1.441317075381015,-1.3338749485930874,-0.7956169169000312,True,True,0.047070664077071965,0.6121122140551786,,,,
3,1000,1,0.5,DPLQR,0.9506075382232666,-0.5646342039108276,0.0887130942720611,0.08415095739518355,0.7767330684929203,1.1244820079536129,-0.7295670496699519,-0.3997013581517034,True,False,0.07038481810830996,0.6307338477130346,"{""mode"": ""fixed"", ""depth"": 2, ""width"": 32, ""epochs"": 100, ""batch_size"": 128, ""patience"": 15, ""lr"": 0.005}",77.0,0.4771921219303292,"[20, 21]"
3,1000,2,0.5,LQR,1.2328688235183058,-1.1489160475879174,0.13041055611061447,0.13198163829272452,0.9772688303376615,1.4884688166989501,-1.4075953052622499,-0.8902367899135849,True,True,0.053313574859875604,0.5914968180170274,,,,
3,1000,2,0.5,DPLQR,1.178457498550415,-0.775907039642334,0.0685297052060981,0.07170487280169204,1.0441417444753158,1.3127732526255143,-0.9164460078496761,-0.6353680714349919,False,False,0.09065077832137163,0.611547210738597,"{""mode"": ""fixed"", ""depth"": 2, ""width"": 32, ""epochs"": 100, ""batch_size"": 128, ""patience"": 15, ""lr"": 0.005}",100.0,0.5991845297780038,"[18, 33]"
