"case","n","rep","tau","method","theta1","theta2","se_theta1","se_theta2","lower_theta1","upper_theta1","lower_theta2","upper_theta2","covered_theta1","covered_theta2","rmse_m","test_check_loss"
1,1000,1,0.5,"LQR",0.987406484016731,-1.00497778020504,0.126930808884212,0.124075934126496,0.738626670075138,1.23618629795832,-1.24816214244113,-0.761793417968943,TRUE,TRUE,0.000662877541314148,0.558119267464679
1,1000,2,0.5,"LQR",0.955326096367997,-0.966188141805219,0.110461175002194,0.106570346290275,0.738826171673722,1.17182602106227,-1.17506218235412,-0.757314101256318,TRUE,TRUE,0.00101537264370128,0.562153616452363
1,1000,1,0.5,"PLAQR",1.02489115212852,-1.04550197848077,0.103789132147437,0.1498276691439,0.856364026405983,1.26320994839727,-1.28819222079459,-0.700878549975336,TRUE,TRUE,0.00299105128997568,0.572851031303092
1,1000,2,0.5,"PLAQR",0.96644313166905,-0.944649849510013,0.0922384272303707,0.077524175954461,0.764267183979236,1.12583517470353,-1.04932419795079,-0.745435012347014,TRUE,TRUE,0.00200984474795955,0.566864477968602
1,1000,1,0.5,"DPLQR",0.532690107822418,-0.142759636044502,0.108057559884283,0.108919723382198,0.320901182191943,0.744479033452894,-0.356238371079676,0.0707190989906714,FALSE,FALSE,0.0276932531686182,0.603336476684447
1,1000,2,0.5,"DPLQR",0.791785657405853,-0.507256746292114,0.133994946674949,0.135845409435368,0.529160387812588,1.05441092699912,-0.773508856250533,-0.241004636333696,TRUE,FALSE,0.0213437499782195,0.614337610606409
2,1000,1,0.5,"LQR",1.06470065648054,-0.886424966942172,0.175299341454378,0.173088087055578,0.72112026071637,1.40828105224471,-1.22567138372404,-0.547178550160305,TRUE,TRUE,0.05107833701286,0.786467318903003
2,1000,2,0.5,"LQR",0.953529642738502,-1.12851474783272,0.167227980729913,0.159780517201766,0.625768823300515,1.28129046217649,-1.44167880697937,-0.815350688686081,TRUE,TRUE,0.0402904854415018,0.7630037907541
2,1000,1,0.5,"PLAQR",0.958483915203302,-0.897622483517805,0.121432615948066,0.110631302175841,0.760384289269382,1.23639139688277,-1.18719650298832,-0.753529767333484,TRUE,TRUE,0.00460328732483094,0.577816260541301
2,1000,2,0.5,"PLAQR",1.05425028018958,-1.13520789832245,0.125987134252389,0.112978458141004,0.820589651287749,1.31445014258794,-1.34250399954787,-0.899636581577401,TRUE,TRUE,0.00422529551843278,0.600140818598711
2,1000,1,0.5,"DPLQR",0.58086359500885,-0.433749288320541,0.089026050775149,0.0896342756441946,0.406375741803724,0.755351448213976,-0.609429240363499,-0.258069336277584,FALSE,FALSE,0.0167749608264382,0.622819111237368
2,1000,2,0.5,"DPLQR",0.741183638572693,-0.612281262874603,0.102148978145034,0.100737826045766,0.540975320350856,0.941391956794529,-0.809723773805165,-0.414838751944042,FALSE,FALSE,0.0108349304053412,0.624659853903951
3,1000,1,0.5,"LQR",1.16313187340085,-1.06474593274656,0.141933833567583,0.137313245533787,0.884946671420685,1.44131707538101,-1.33387494859309,-0.795616916900031,TRUE,TRUE,0.047070664077072,0.612112214055179
3,1000,2,0.5,"LQR",1.23286882351831,-1.14891604758792,0.130410556110614,0.131981638292725,0.977268830337662,1.48846881669895,-1.40759530526225,-0.890236789913585,TRUE,TRUE,0.0533135748598756,0.591496818017027
3,1000,1,0.5,"PLAQR",1.10399404431697,-0.983709593034628,0.118132184689445,0.152144352918315,0.848241281609354,1.31131093642205,-1.24764223505447,-0.651247330712375,TRUE,TRUE,0.0542424816718631,0.622354068760313
3,1000,2,0.5,"PLAQR",1.26316789734115,-1.22661643288094,0.14007388749137,0.142742666595378,0.91540145157744,1.46448100089264,-1.45879453634658,-0.89925356517828,TRUE,TRUE,0.0533765837954748,0.584086224830184
3,1000,1,0.5,"DPLQR",0.950607538223267,-0.564634203910828,0.0887130942720611,0.0841509573951836,0.77673306849292,1.12448200795361,-0.729567049669952,-0.399701358151703,TRUE,FALSE,0.07038481810831,0.630733847713035
3,1000,2,0.5,"DPLQR",1.17845749855042,-0.775907039642334,0.0685297052060981,0.071704872801692,1.04414174447532,1.31277325262551,-0.916446007849676,-0.635368071434992,FALSE,FALSE,0.0906507783213716,0.611547210738597
