case,case_name,replicate,n,n_train,n_validation,n_test,n_eval,tau,epoch,data_seed,init_seed,training_seed,test_seed,eval_seed,theta_error_l2,m_l2_error,q_l2_error,linear_error_mse,nonlinear_error_mse,cross_error_moment,cancellation_fraction,q_mse,decomposition_residual,max_float32_prediction_gap,optimizer_steps,learning_rate,model_instance,fit_calls,theta_hat_1,theta_true_1,theta_error_1,abs_theta_error_1,theta_hat_2,theta_true_2,theta_error_2,abs_theta_error_2,train_check_loss,validation_check_loss,test_check_loss,stopping_validation_check_loss,state_sha256
2,additive,7,1000,800,200,10000,10000,0.5,1,41260911,41760911,1041760911,2041260911,3041260911,1.306549357103435,5.0985159577160415,5.0054676383638705,0.3162340501955734,25.99486497108512,-0.628196371286356,0.04775143529947298,25.054706278707982,0.0,6.311664468849898e-08,7,0.005,1,1,-0.11227227747440338,1.0,-1.1122722774744034,1.1122722774744034,-0.31449171900749207,-1.0,0.6855082809925079,0.6855082809925079,2.3742481076897044,2.5421599181049284,2.3873063583409913,2.5272388458251953,a0760274dae8a467f5eb2539f1cf432307f65bde775d64f36f1beb112c4bc5dd
2,additive,7,1000,800,200,10000,10000,0.5,2,41260911,41760911,1041760911,2041260911,3041260911,1.2959768333610358,4.4775670858582455,4.339192204585256,0.32716601979966475,20.0486070083611,-0.7735920199136562,0.07593253211492856,18.82858898833345,-3.552713678800501e-15,9.51594756326557e-08,14,0.005,1,1,-0.07735636830329895,1.0,-1.077356368303299,1.077356368303299,-0.27968117594718933,-1.0,0.7203188240528107,0.7203188240528107,2.0566846451065754,2.1964831156355533,2.0605142774423366,2.183859348297119,c2ba0f08731a4121daa849a4e0d1b71e0449c28af63a54e3ff5b34fb646c986d
2,additive,7,1000,800,200,10000,10000,0.5,3,41260911,41760911,1041760911,2041260911,3041260911,1.2872887458853604,2.8984105785640093,2.750011485720645,0.34520021757347824,8.400783881931755,-0.591710463954883,0.13531020802755783,7.5625631715954675,8.881784197001252e-16,2.757135622033502e-07,21,0.005,1,1,-0.04286346957087517,1.0,-1.0428634695708752,1.0428634695708752,-0.24531589448451996,-1.0,0.75468410551548,0.75468410551548,1.3418328279486689,1.3971444480719282,1.3129804147546413,1.3962411880493164,82321ecea265dc772e8ad2d605853d2ca5c1fb81fd72f4986bf21c2f48c68607
2,additive,7,1000,800,200,10000,10000,0.5,4,41260911,41760911,1041760911,2041260911,3041260911,1.2803042210246092,2.1161537553103154,2.294576199872568,0.36520111185542586,4.47810671611395,0.21088605452612968,-0.0870834817924619,5.2650799370216355,0.0,5.03692021425195e-07,28,0.005,1,1,-0.013137669302523136,1.0,-1.0131376693025231,1.0131376693025231,-0.21722866594791412,-1.0,0.7827713340520859,0.7827713340520859,1.0833328028131932,1.080586290878967,1.099698515819058,1.0995686054229736,d8aa1f2d3962f8860ac41693cb7e1b75c60b569a22204ca231c4a02679e83ec2
2,additive,7,1000,800,200,10000,10000,0.5,5,41260911,41760911,1041760911,2041260911,3041260911,1.2748618595894265,1.5209652059555183,1.593408987069975,0.37125830928537074,2.313335157727312,-0.0728206334686598,0.05425077157003733,2.5389522000753635,4.440892098500626e-16,4.990526214498914e-07,35,0.005,1,1,-0.000328828115016222,1.0,-1.0003288281150162,1.0003288281150162,-0.20967411994934082,-1.0,0.7903258800506592,0.7903258800506592,0.8663025143736818,0.8498064861619494,0.8666350463164084,0.8636949062347412,231efc2cd9875af2dfff9cc961becbe7d99caae5c478d17b4861733f1ce7b31a
2,additive,7,1000,800,200,10000,10000,0.5,6,41260911,41760911,1041760911,2041260911,3041260911,1.2679493290646837,1.5879665221984345,1.5165404430691782,0.3734484311045992,2.521637675622991,-0.2975955956315655,0.20558669736282728,2.2998949154644595,0.0,2.714472673304158e-07,42,0.005,1,1,0.010690411552786827,1.0,-0.9893095884472132,0.9893095884472132,-0.20692873001098633,-1.0,0.7930712699890137,0.7930712699890137,0.8507809618779762,0.8645479827535831,0.8398676030001531,0.8675386905670166,552bd7448da570fe5792ee2012ff882d21a898e61198b3f81bd696eab7a3a3be
2,additive,7,1000,800,200,10000,10000,0.5,7,41260911,41760911,1041760911,2041260911,3041260911,1.2604612355369684,1.06823099136266,1.2281823831500456,0.37936071343928607,1.1411174509076514,-0.006023099033406046,0.007922637989336775,1.5084319662801255,2.220446049250313e-16,5.055739720205565e-07,49,0.005,1,1,0.025574875995516777,1.0,-0.9744251240044832,0.9744251240044832,-0.20046375691890717,-1.0,0.7995362430810928,0.7995362430810928,0.742263902722072,0.7352093863013845,0.7563818012968538,0.7499334812164307,fece7765af59f6b83ac3be12e73a35287ddba83e0bd80a9781366940d4045632
2,additive,7,1000,800,200,10000,10000,0.5,8,41260911,41760911,1041760911,2041260911,3041260911,1.2517287475095058,0.9241357088999238,1.0895612091847189,0.37868771897262815,0.8540268084639647,-0.022785449438262963,0.036967925551497936,1.1871436285600667,-2.220446049250313e-16,4.913504234593802e-07,56,0.005,1,1,0.03624575212597847,1.0,-0.9637542478740215,0.9637542478740215,-0.20124934613704681,-1.0,0.7987506538629532,0.7987506538629532,0.7009195615486814,0.7048595486633583,0.7177676699489917,0.71934574842453,1f91a4467bac91119ec484b2797a16e106036191d7ed9275355873ca5c701ee4
2,additive,7,1000,800,200,10000,10000,0.5,9,41260911,41760911,1041760911,2041260911,3041260911,1.2420926159263976,0.9603295924757927,1.010184038208026,0.3741808592979125,0.9222329261847221,-0.13797099721617997,0.212850246983166,1.0204717910502745,0.0,4.988172328523888e-07,63,0.005,1,1,0.04477920010685921,1.0,-0.9552207998931408,0.9552207998931408,-0.20605586469173431,-1.0,0.7939441353082657,0.7939441353082657,0.6859065862850116,0.6989182988559611,0.6978861601994591,0.7085677981376648,afef5e04356f2e4e5f36b89a1de51a94b4f5857697c37c945601749891d963f8
2,additive,7,1000,800,200,10000,10000,0.5,10,41260911,41760911,1041760911,2041260911,3041260911,1.2320351307774295,0.7954306768999605,1.0018925215211096,0.37263691141831606,0.6327099617535293,-0.0007791242459592368,0.00154996104678004,1.003788624679927,2.220446049250313e-16,4.986010981866684e-07,70,0.005,1,1,0.056351929903030396,1.0,-0.9436480700969696,0.9436480700969696,-0.2078896015882492,-1.0,0.7921103984117508,0.7921103984117508,0.6763961219396858,0.6682723074928032,0.6951523744230379,0.6796391010284424,3bdb24b7f67c2aba3174b2485a4795d6524d899c5a151dc631c3fed8174b049c
