case,case_name,replicate,n,n_train,n_validation,n_test,n_eval,tau,epoch,data_seed,init_seed,training_seed,test_seed,eval_seed,theta_error_l2,m_l2_error,q_l2_error,linear_error_mse,nonlinear_error_mse,cross_error_moment,cancellation_fraction,q_mse,decomposition_residual,max_float32_prediction_gap,optimizer_steps,learning_rate,model_instance,fit_calls,theta_hat_1,theta_true_1,theta_error_1,abs_theta_error_1,theta_hat_2,theta_true_2,theta_error_2,abs_theta_error_2,train_check_loss,validation_check_loss,test_check_loss,stopping_validation_check_loss,empirical_validation_check_loss,training_check_loss,selected_state_sha256,analysis,rule_id,patience,max_epochs,stop_epoch,selected_epoch,best_validation_epoch,best_validation_loss,stopping_reason,restore_best,min_delta,e_theta,oracle_theta_error_l2,e_q,oracle_q_l2_error,e_m,oracle_m_l2_error,e_test,oracle_test_check_loss,e_theta_1,oracle_abs_theta_error_1,e_theta_2,oracle_abs_theta_error_2,e_validation,oracle_stopping_validation_check_loss,theta_epoch_gap,abs_theta_epoch_gap,theta_regret,theta_squared_regret,q_regret
1,linear,1,1000,800,200,10000,10000,0.5,44,31260905,31760905,1031760905,2031260905,3031260905,1.2351680044129052,0.9116505385744845,0.6211275188238188,0.9223281388175623,0.8311067044831476,-0.6838177243302384,0.7799750608845011,0.3857993946402334,2.220446049250313e-16,4.238161146474795e-07,308,0.005,1,1,0.3930099308490753,1.0,-0.6069900691509247,0.6069900691509247,0.0757337287068367,-1.0,1.0757337287068367,1.0757337287068367,0.5940785670842988,0.5090333223342896,0.612792494066857,0.5090333223342896,0.533728361769588,0.5940785670842988,c6408b86fd64b0827b835adb2da15e3bb1886d73f643ae914a64f144b99e4bfd,patience,patience_5,5,1000,49,44,44,0.5090333223342896,early_stopping,True,0.0,625,0.14982669672677923,69,0.5301850021665642,65,0.5095428565530024,69,0.5963936984195164,574,0.009799778461456299,975,0.09552919864654541,69,0.49363282322883606,-581,581,1.085341307686126,1.5031919600733004,0.09094251665725461
1,linear,1,1000,800,200,10000,10000,0.5,69,31260905,31760905,1031760905,2031260905,3031260905,0.807365013756437,0.7537315819818662,0.5301850021665642,0.4861526162501001,0.5681112976768866,-0.3865838887023136,0.7333721349948179,0.2810961365223596,5.551115123125783e-17,4.783533196217604e-07,483,0.005,1,1,0.6750593185424805,1.0,-0.32494068145751953,0.32494068145751953,-0.2609114944934845,-1.0,0.7390885055065155,0.7390885055065155,0.5497290265719508,0.49363282322883606,0.5963936984195164,0.49363282322883606,0.5140291766801727,0.5497290265719508,858e3df85032e71cd03d6460193b460fad48e6ccec582b0c55a081f3329bd47f,patience,patience_15,15,1000,84,69,69,0.49363282322883606,early_stopping,True,0.0,625,0.14982669672677923,69,0.5301850021665642,65,0.5095428565530024,69,0.5963936984195164,574,0.009799778461456299,975,0.09552919864654541,69,0.49363282322883606,-556,556,0.6575383170296578,0.6293902263858734,0.0
1,linear,1,1000,800,200,10000,10000,0.5,69,31260905,31760905,1031760905,2031260905,3031260905,0.807365013756437,0.7537315819818662,0.5301850021665642,0.4861526162501001,0.5681112976768866,-0.3865838887023136,0.7333721349948179,0.2810961365223596,5.551115123125783e-17,4.783533196217604e-07,483,0.005,1,1,0.6750593185424805,1.0,-0.32494068145751953,0.32494068145751953,-0.2609114944934845,-1.0,0.7390885055065155,0.7390885055065155,0.5497290265719508,0.49363282322883606,0.5963936984195164,0.49363282322883606,0.5140291766801727,0.5497290265719508,858e3df85032e71cd03d6460193b460fad48e6ccec582b0c55a081f3329bd47f,patience,patience_30,30,1000,99,69,69,0.49363282322883606,early_stopping,True,0.0,625,0.14982669672677923,69,0.5301850021665642,65,0.5095428565530024,69,0.5963936984195164,574,0.009799778461456299,975,0.09552919864654541,69,0.49363282322883606,-556,556,0.6575383170296578,0.6293902263858734,0.0
1,linear,1,1000,800,200,10000,10000,0.5,69,31260905,31760905,1031760905,2031260905,3031260905,0.807365013756437,0.7537315819818662,0.5301850021665642,0.4861526162501001,0.5681112976768866,-0.3865838887023136,0.7333721349948179,0.2810961365223596,5.551115123125783e-17,4.783533196217604e-07,483,0.005,1,1,0.6750593185424805,1.0,-0.32494068145751953,0.32494068145751953,-0.2609114944934845,-1.0,0.7390885055065155,0.7390885055065155,0.5497290265719508,0.49363282322883606,0.5963936984195164,0.49363282322883606,0.5140291766801727,0.5497290265719508,858e3df85032e71cd03d6460193b460fad48e6ccec582b0c55a081f3329bd47f,patience,patience_50,50,1000,119,69,69,0.49363282322883606,early_stopping,True,0.0,625,0.14982669672677923,69,0.5301850021665642,65,0.5095428565530024,69,0.5963936984195164,574,0.009799778461456299,975,0.09552919864654541,69,0.49363282322883606,-556,556,0.6575383170296578,0.6293902263858734,0.0
1,linear,1,1000,800,200,10000,10000,0.5,69,31260905,31760905,1031760905,2031260905,3031260905,0.807365013756437,0.7537315819818662,0.5301850021665642,0.4861526162501001,0.5681112976768866,-0.3865838887023136,0.7333721349948179,0.2810961365223596,5.551115123125783e-17,4.783533196217604e-07,483,0.005,1,1,0.6750593185424805,1.0,-0.32494068145751953,0.32494068145751953,-0.2609114944934845,-1.0,0.7390885055065155,0.7390885055065155,0.5497290265719508,0.49363282322883606,0.5963936984195164,0.49363282322883606,0.5140291766801727,0.5497290265719508,858e3df85032e71cd03d6460193b460fad48e6ccec582b0c55a081f3329bd47f,patience,patience_100,100,1000,169,69,69,0.49363282322883606,early_stopping,True,0.0,625,0.14982669672677923,69,0.5301850021665642,65,0.5095428565530024,69,0.5963936984195164,574,0.009799778461456299,975,0.09552919864654541,69,0.49363282322883606,-556,556,0.6575383170296578,0.6293902263858734,0.0
1,linear,1,1000,800,200,10000,10000,0.5,69,31260905,31760905,1031760905,2031260905,3031260905,0.807365013756437,0.7537315819818662,0.5301850021665642,0.4861526162501001,0.5681112976768866,-0.3865838887023136,0.7333721349948179,0.2810961365223596,5.551115123125783e-17,4.783533196217604e-07,483,0.005,1,1,0.6750593185424805,1.0,-0.32494068145751953,0.32494068145751953,-0.2609114944934845,-1.0,0.7390885055065155,0.7390885055065155,0.5497290265719508,0.49363282322883606,0.5963936984195164,0.49363282322883606,0.5140291766801727,0.5497290265719508,858e3df85032e71cd03d6460193b460fad48e6ccec582b0c55a081f3329bd47f,patience,patience_200,200,1000,269,69,69,0.49363282322883606,early_stopping,True,0.0,625,0.14982669672677923,69,0.5301850021665642,65,0.5095428565530024,69,0.5963936984195164,574,0.009799778461456299,975,0.09552919864654541,69,0.49363282322883606,-556,556,0.6575383170296578,0.6293902263858734,0.0
1,linear,1,1000,800,200,10000,10000,0.5,24,31260905,31760905,1031760905,2031260905,3031260905,1.6925207553239847,1.1034520236656706,0.7723583810462379,1.4255545282479243,1.2176063685318637,-1.0233117140037111,0.7743090594677234,0.5965374687723656,-3.3306690738754696e-16,4.999672942318512e-07,168,0.005,1,1,0.05055223032832146,1.0,-0.9494477696716785,0.9494477696716785,0.40113362669944763,-1.0,1.4011336266994476,1.4011336266994476,0.6485609226580764,0.5464975833892822,0.6399674162008506,0.5464975833892822,0.5700062836632845,0.6485609226580764,97fe387309f5c7a092ffa613aa8d51a201a0030de4e3f2579a7ef1dcbdf10d9a,max_epochs,max_epochs_25,15,25,25,24,24,0.5464975833892822,max_epochs,True,0.0,625,0.14982669672677923,69,0.5301850021665642,65,0.5095428565530024,69,0.5963936984195164,574,0.009799778461456299,975,0.09552919864654541,69,0.49363282322883606,-601,601,1.5426940585972055,2.8421784681504136,0.24217337887967372
1,linear,1,1000,800,200,10000,10000,0.5,50,31260905,31760905,1031760905,2031260905,3031260905,1.1132866954644995,0.827104083239704,0.5944850550316395,0.7970576563363285,0.6841011645117911,-0.5638731700960742,0.7613946082746175,0.3534124806559714,1.1102230246251565e-16,4.613736681591263e-07,350,0.005,1,1,0.4801531136035919,1.0,-0.5198468863964081,0.5198468863964081,-0.015537465922534466,-1.0,0.9844625340774655,0.9844625340774655,0.5785101513564034,0.5049349665641785,0.6071630348956657,0.5049349665641785,0.529475493910502,0.5785101513564034,ff51c0f4e79df46ceb442c2da6d7fe07e10963adecc978046f056ea768fe118c,max_epochs,max_epochs_50,15,50,50,50,50,0.5049349665641785,max_epochs,True,0.0,625,0.14982669672677923,69,0.5301850021665642,65,0.5095428565530024,69,0.5963936984195164,574,0.009799778461456299,975,0.09552919864654541,69,0.49363282322883606,-575,575,0.9634599987377204,1.216959227246207,0.06430005286507534
1,linear,1,1000,800,200,10000,10000,0.5,69,31260905,31760905,1031760905,2031260905,3031260905,0.807365013756437,0.7537315819818662,0.5301850021665642,0.4861526162501001,0.5681112976768866,-0.3865838887023136,0.7333721349948179,0.2810961365223596,5.551115123125783e-17,4.783533196217604e-07,483,0.005,1,1,0.6750593185424805,1.0,-0.32494068145751953,0.32494068145751953,-0.2609114944934845,-1.0,0.7390885055065155,0.7390885055065155,0.5497290265719508,0.49363282322883606,0.5963936984195164,0.49363282322883606,0.5140291766801727,0.5497290265719508,858e3df85032e71cd03d6460193b460fad48e6ccec582b0c55a081f3329bd47f,max_epochs,max_epochs_100,15,100,84,69,69,0.49363282322883606,early_stopping,True,0.0,625,0.14982669672677923,69,0.5301850021665642,65,0.5095428565530024,69,0.5963936984195164,574,0.009799778461456299,975,0.09552919864654541,69,0.49363282322883606,-556,556,0.6575383170296578,0.6293902263858734,0.0
1,linear,1,1000,800,200,10000,10000,0.5,69,31260905,31760905,1031760905,2031260905,3031260905,0.807365013756437,0.7537315819818662,0.5301850021665642,0.4861526162501001,0.5681112976768866,-0.3865838887023136,0.7333721349948179,0.2810961365223596,5.551115123125783e-17,4.783533196217604e-07,483,0.005,1,1,0.6750593185424805,1.0,-0.32494068145751953,0.32494068145751953,-0.2609114944934845,-1.0,0.7390885055065155,0.7390885055065155,0.5497290265719508,0.49363282322883606,0.5963936984195164,0.49363282322883606,0.5140291766801727,0.5497290265719508,858e3df85032e71cd03d6460193b460fad48e6ccec582b0c55a081f3329bd47f,max_epochs,max_epochs_200,15,200,84,69,69,0.49363282322883606,early_stopping,True,0.0,625,0.14982669672677923,69,0.5301850021665642,65,0.5095428565530024,69,0.5963936984195164,574,0.009799778461456299,975,0.09552919864654541,69,0.49363282322883606,-556,556,0.6575383170296578,0.6293902263858734,0.0
