case,case_name,replicate,n,tau,e_theta,oracle_theta_error_l2,e_q,oracle_q_l2_error,e_m,oracle_m_l2_error,e_test,oracle_test_check_loss,e_theta_1,oracle_abs_theta_error_1,e_theta_2,oracle_abs_theta_error_2,e_validation,oracle_stopping_validation_check_loss
1,linear,1,1000,0.5,625,0.14982669672677923,69,0.5301850021665642,65,0.5095428565530024,69,0.5963936984195164,574,0.009799778461456299,975,0.09552919864654541,69,0.49363282322883606
1,linear,2,1000,0.5,425,0.043580158673886524,31,0.3418036447795832,52,0.33546570431812794,46,0.5784870994490002,129,0.00016826391220092773,425,0.04240792989730835,74,0.6130552887916565
1,linear,3,1000,0.5,314,0.0058137266650347364,87,0.4024085346226859,80,0.40191843281475953,87,0.5940683255942742,168,0.0004347562789916992,466,9.441375732421875e-05,75,0.5768569707870483
1,linear,4,1000,0.5,270,0.06952533578930516,79,0.3561043150359801,101,0.3642975438530292,111,0.5741193490554984,52,0.0010194778442382812,442,5.602836608886719e-06,38,0.5656302571296692
1,linear,5,1000,0.5,234,0.009858550685757202,59,0.4090927981518089,80,0.4277318330830146,70,0.5765990594423357,707,2.110004425048828e-05,251,0.00020968914031982422,55,0.5603667497634888
1,linear,6,1000,0.5,894,0.0813672699276767,54,0.6059045157213087,81,0.6564347848099444,71,0.6082239138887429,874,1.6570091247558594e-05,894,0.08109909296035767,77,0.5265464186668396
1,linear,7,1000,0.5,156,0.006425908717277033,68,0.40597503747989183,65,0.41554839352081646,62,0.58458095004001,160,1.1324882507324219e-05,150,0.00019931793212890625,81,0.5214053988456726
1,linear,8,1000,0.5,341,0.1414735923909305,68,0.5779807010463688,95,0.6175624572685127,68,0.6140637930781301,334,1.704692840576172e-05,998,0.12133926153182983,69,0.6076900959014893
1,linear,9,1000,0.5,100,0.012284976482947818,68,0.41876086405285096,56,0.4098893127945725,68,0.5870850044280255,112,0.00041294097900390625,98,0.0011516809463500977,91,0.5571335554122925
1,linear,10,1000,0.5,174,0.2624809568527495,60,0.3773534670358699,38,0.3418363269097336,43,0.5724989188888574,530,2.5033950805664062e-06,175,0.2564290761947632,40,0.5536599159240723
2,additive,1,1000,0.5,964,0.1527263038795782,73,0.6532146180880776,76,0.651183946438159,73,0.6214614970385849,269,0.09375667572021484,937,0.09038358926773071,82,0.5861098766326904
2,additive,2,1000,0.5,667,0.20437584964376032,82,0.5250037332477333,64,0.48311635529511704,82,0.5955019674450186,491,0.11598056554794312,903,0.14130902290344238,73,0.6922388076782227
