case,case_name,max_epochs,reference_max_epochs,repetitions,same_selected_epoch_count,proportion_same_selected_epoch,exactly_same_coefficients_count,mean_coefficient_difference_l2,max_coefficient_difference_l2,mean_paired_selected_epoch_difference,mcse_paired_selected_epoch_difference,mean_paired_theta_error_l2_difference,mcse_paired_theta_error_l2_difference,mean_paired_test_check_loss_difference,mcse_paired_test_check_loss_difference,mean_paired_q_l2_error_difference,mcse_paired_q_l2_error_difference
1,linear,25,1000,10,1,0.1,1,0.44750995014510125,0.9101169406867953,-30.8,5.697562831792399,0.43371331169062144,0.09425229085560505,0.016660165286446416,0.004298251123394231,0.092982675034225,0.024031077725389496
1,linear,50,1000,10,4,0.4,4,0.16703937008858147,0.39771688139418665,-13.8,3.9406711216351065,0.16399280775050662,0.05204277206016393,0.0026117706653010163,0.0013891748573232891,0.015130059751999414,0.008435419281857
1,linear,100,1000,10,10,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,linear,200,1000,10,10,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,linear,500,1000,10,10,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,linear,1000,1000,10,10,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,additive,25,1000,10,0,0.0,0,0.6171235915865069,1.0046658084392088,-41.7,6.207611814896646,0.602363921817234,0.06660908481688212,0.03861711649789744,0.003765513694669375,0.18886047645063048,0.01712855693389526
2,additive,50,1000,10,2,0.2,2,0.20445707037336058,0.4976000353367743,-18.3,5.57783311172199,0.1948908938911651,0.04874086478300235,0.006915649412057345,0.0018600017186070088,0.035071448402811664,0.009979065950781539
2,additive,100,1000,10,9,0.9,9,0.009352306722008893,0.09352306722008893,-1.8,1.8,0.008293201744254953,0.008293201744254951,0.0004985259590658764,0.0004985259590658763,0.0016198365373875756,0.0016198365373875758
2,additive,200,1000,10,10,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,additive,500,1000,10,10,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,additive,1000,1000,10,10,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,deep,25,1000,10,2,0.2,2,0.32911949970880194,0.5264348268184762,-20.2,4.795368135561184,0.3193934066837613,0.06596151310061321,0.00870848363202693,0.0023833318294844293,0.043968410085438794,0.012335311181607042
3,deep,50,1000,10,6,0.6,6,0.05603421971194147,0.22558586545816706,-5.7,2.691756964429656,0.05308777635177803,0.0238463633802702,-0.0008086814257266539,0.0014115460310801541,-0.005116492481030665,0.006468115708829561
3,deep,100,1000,10,10,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,deep,200,1000,10,10,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,deep,500,1000,10,10,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,deep,1000,1000,10,10,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
