case,case_name,epoch,theta_component,theta_true,mean_theta,bias,sd,rmse,mae,bias_mcse,repetitions,mc_sd_available
1,linear,1,theta_1,1.0,0.2214322030544281,-0.7785677969455719,0.28968761441892565,0.8256481314662055,0.7785677969455719,0.09160726715044398,10,True
1,linear,1,theta_2,-1.0,0.0022902969270944596,1.0022902969270944,0.4441608286006279,1.087261144716889,1.0022902969270944,0.1404559865805642,10,True
1,linear,2,theta_1,1.0,0.2561632178723812,-0.7438367821276188,0.28970735232614747,0.7929883186016138,0.7438367821276188,0.09161350882475058,10,True
1,linear,2,theta_2,-1.0,0.036995526403188705,1.0369955264031887,0.4440387723389576,1.1192913427640214,1.0369955264031887,0.14041738900160786,10,True
1,linear,5,theta_1,1.0,0.3295438900589943,-0.6704561099410057,0.29051842010661766,0.7248946492672894,0.6704561099410057,0.0918699909770569,10,True
1,linear,5,theta_2,-1.0,0.09784632697701454,1.0978463269770145,0.4378089704398047,1.1737868557769453,1.0978463269770145,0.13844735266431127,10,True
1,linear,10,theta_1,1.0,0.3931400433182716,-0.6068599566817283,0.2776709837361011,0.6615663721138083,0.6068599566817283,0.08780727487456498,10,True
1,linear,10,theta_2,-1.0,0.09692242890596389,1.0969224289059638,0.4263809668473638,1.169127653867482,1.0969224289059638,0.1348335006182413,10,True
1,linear,20,theta_1,1.0,0.4961300505325198,-0.5038699494674802,0.24691035885263923,0.5556556296432407,0.5038699494674802,0.07807991118638588,10,True
1,linear,20,theta_2,-1.0,4.3962872587144376e-05,1.0000439628725872,0.3886945066701024,1.065862563955537,1.0000439628725872,0.1229159955073034,10,True
1,linear,30,theta_1,1.0,0.6022641807794571,-0.3977358192205429,0.21542033605256483,0.4471678778239067,0.3977358192205429,0.06812189162449907,10,True
1,linear,30,theta_2,-1.0,-0.12387155457399786,0.8761284454260021,0.34479640555927915,0.9351989938203111,0.8761284454260021,0.10903419706064647,10,True
1,linear,50,theta_1,1.0,0.7816490799188613,-0.2183509200811386,0.16231729238484635,0.2671878316217127,0.2183509200811386,0.051329234756761856,10,True
1,linear,50,theta_2,-1.0,-0.363025629799813,0.636974370200187,0.2645338516071175,0.6846288710486957,0.636974370200187,0.08365294892954848,10,True
1,linear,75,theta_1,1.0,0.9058439433574677,-0.09415605664253235,0.12536953143756666,0.15169420052875876,0.11534422039985656,0.039645326853079435,10,True
1,linear,75,theta_2,-1.0,-0.5805802136659622,0.41941978633403776,0.1898318737754335,0.4564487741680032,0.41941978633403776,0.060030109362795694,10,True
1,linear,100,theta_1,1.0,0.9611291408538818,-0.03887085914611817,0.1002817757316521,0.10277030106145155,0.08032116889953614,0.03171188191182189,10,True
1,linear,100,theta_2,-1.0,-0.7059225052595138,0.29407749474048617,0.1547558834983203,0.32868832964139716,0.29543223679065705,0.048938107316635865,10,True
1,linear,150,theta_1,1.0,1.0067585587501526,0.006758558750152588,0.0572749611892817,0.05475451741810548,0.04837707281112671,0.018111933025587647,10,True
1,linear,150,theta_2,-1.0,-0.8268957555294036,0.1731042444705963,0.14352737751337502,0.22023890832461043,0.1938184082508087,0.04538734195330992,10,True
1,linear,200,theta_1,1.0,1.0199204087257385,0.019920408725738525,0.046950497038825485,0.04879279597208961,0.042785251140594484,0.014847050791967947,10,True
1,linear,200,theta_2,-1.0,-0.8802286565303803,0.11977134346961975,0.13692618271654433,0.17668920815519454,0.15476439595222474,0.043299860869666175,10,True
1,linear,300,theta_1,1.0,1.0259658992290497,0.025965899229049683,0.061781485492475585,0.06410526247871104,0.04478805661201477,0.019537021138487234,10,True
1,linear,300,theta_2,-1.0,-0.9288826882839203,0.07111731171607971,0.15247727078918197,0.16118951058399494,0.13522618412971496,0.04821754671000747,10,True
1,linear,500,theta_1,1.0,1.0327872574329375,0.03278725743293762,0.05892468447949,0.06480671914917795,0.051451081037521364,0.018633621336196164,10,True
1,linear,500,theta_2,-1.0,-0.9464782118797302,0.053521788120269774,0.14968695125351975,0.15175686752699954,0.12189372777938842,0.047335170196771865,10,True
1,linear,750,theta_1,1.0,1.0358881413936616,0.0358881413936615,0.0741483308878555,0.07896921025818135,0.056808048486709596,0.023447761030543843,10,True
1,linear,750,theta_2,-1.0,-0.9554209053516388,0.044579094648361205,0.17611026551403422,0.17291801160419584,0.13729957938194276,0.05569095583613521,10,True
1,linear,1000,theta_1,1.0,1.0464463770389556,0.04644637703895569,0.08840934975074911,0.09587417666431396,0.0771962583065033,0.027957491166680677,10,True
1,linear,1000,theta_2,-1.0,-0.9676885426044464,0.03231145739555359,0.17548096315034373,0.169582551768688,0.1315061032772064,0.055491952955516254,10,True
2,additive,1,theta_1,1.0,0.04355797916650772,-0.9564420208334923,0.42870104091994626,1.0393206740238141,0.9564420208334923,0.13556717245920763,10,True
2,additive,1,theta_2,-1.0,-0.02311194082722068,0.9768880591727793,0.4052764957323556,1.0498258971601662,0.9768880591727793,0.12815968086457535,10,True
2,additive,2,theta_1,1.0,0.07829097500070929,-0.9217090249992907,0.4287023754294479,1.0074495921851918,0.9217090249992907,0.13556759446816605,10,True
2,additive,2,theta_2,-1.0,0.0115981075912714,1.0115981075912714,0.40515927530214535,1.0821595842616119,1.0115981075912714,0.12812261250979842,10,True
2,additive,5,theta_1,1.0,0.151350026903674,-0.848649973096326,0.42135576858625334,0.9380796299809606,0.848649973096326,0.13324439339833863,10,True
2,additive,5,theta_2,-1.0,0.07461662217974663,1.0746166221797466,0.3971961872337716,1.1387665321314766,1.0746166221797466,0.12560446295934127,10,True
2,additive,10,theta_1,1.0,0.19880180357722566,-0.8011981964227743,0.4029243247610624,0.8877115298827929,0.8011981964227743,0.12741585909303366,10,True
2,additive,10,theta_2,-1.0,0.06469775214791298,1.064697752147913,0.38015353697715143,1.1241202533258767,1.064697752147913,0.12021510374168398,10,True
