case,case_name,replicate,n,n_train,n_validation,n_test,n_eval,tau,epoch,data_seed,init_seed,training_seed,test_seed,eval_seed,theta_error_l2,m_l2_error,q_l2_error,linear_error_mse,nonlinear_error_mse,cross_error_moment,cancellation_fraction,q_mse,decomposition_residual,max_float32_prediction_gap,optimizer_steps,learning_rate,model_instance,fit_calls,theta_hat_1,theta_true_1,theta_error_1,abs_theta_error_1,theta_hat_2,theta_true_2,theta_error_2,abs_theta_error_2,train_check_loss,validation_check_loss,test_check_loss
1,linear,1,1000,800,200,10000,10000,0.5,1,31260905,31760905,1031760905,2031260905,3031260905,2.0652168212022795,4.412085103013161,3.6825107135463493,1.4374830438439399,19.466494956230655,-3.6715464223454766,0.3512772949084021,13.560885155383643,1.7763568394002505e-15,1.525588628759067e-07,7,0.005,1,1,-0.39479365944862366,1.0,-1.3947936594486237,1.3947936594486237,0.5230466723442078,-1.0,1.5230466723442078,1.5230466723442078,1.7549695707333735,1.5929259973196563,1.7005381712827614
1,linear,1,1000,800,200,10000,10000,0.5,2,31260905,31760905,1031760905,2031260905,3031260905,2.0679181319974154,3.5782125498316897,2.8508917195361603,1.539807154159451,12.803605051773001,-3.107914304706304,0.43335773386208154,8.127583596519845,0.0,2.0630781705222034e-07,14,0.005,1,1,-0.36003178358078003,1.0,-1.36003178358078,1.36003178358078,0.5577544569969177,-1.0,1.5577544569969177,1.5577544569969177,1.403824576687452,1.2560627721187694,1.3423780147651807
1,linear,1,1000,800,200,10000,10000,0.5,5,31260905,31760905,1031760905,2031260905,3031260905,2.0596330424968636,1.7201492473330866,1.2063305456960127,1.7176337361538958,2.958913433100584,-1.6106568918876203,0.6888231139746575,1.4552333854792396,2.220446049250313e-16,4.3390290116462893e-07,35,0.005,1,1,-0.28684312105178833,1.0,-1.2868431210517883,1.2868431210517883,0.6081427335739136,-1.0,1.6081427335739136,1.6081427335739136,0.7977793140089434,0.6997464449144124,0.7507953732234675
1,linear,1,1000,800,200,10000,10000,0.5,10,31260905,31760905,1031760905,2031260905,3031260905,1.9977050844620814,1.1196423180522033,0.9301947772462987,1.767043860729781,1.2535989203733109,-1.0776902287434003,0.7135502651855076,0.8652623236162914,-1.1102230246251565e-16,5.894690104923939e-07,70,0.005,1,1,-0.1949731558561325,1.0,-1.1949731558561325,1.1949731558561325,0.6008949875831604,-1.0,1.6008949875831604,1.6008949875831604,0.704832899776076,0.6201723326015783,0.6752500079888714
1,linear,1,1000,800,200,10000,10000,0.5,20,31260905,31760905,1031760905,2031260905,3031260905,1.7875471360281836,1.0793917536571742,0.8066511865551972,1.539782801376936,1.1650865578631098,-1.0270916112345692,0.7594389782456175,0.6506861367709076,2.220446049250313e-16,5.43272697939301e-07,140,0.005,1,1,-0.02160884626209736,1.0,-1.0216088462620974,1.0216088462620974,0.4668470025062561,-1.0,1.466847002506256,1.466847002506256,0.6607199345260963,0.5800210841458378,0.6476026603908004
1,linear,1,1000,800,200,10000,10000,0.5,30,31260905,31760905,1031760905,2031260905,3031260905,1.545197368001776,1.1217538527986493,0.7328401429857676,1.2510056337463291,1.258331706268614,-0.9861413324217716,0.7859774903089748,0.5370546751714003,6.661338147750939e-16,2.9669726053782597e-07,210,0.005,1,1,0.1601009964942932,1.0,-0.8398990035057068,0.8398990035057068,0.2969982922077179,-1.0,1.296998292207718,1.296998292207718,0.6375896748076108,0.5582869142674443,0.6311760364540154
1,linear,1,1000,800,200,10000,10000,0.5,50,31260905,31760905,1031760905,2031260905,3031260905,1.1132866954644995,0.827104083239704,0.5944850550316395,0.7970576563363285,0.6841011645117911,-0.5638731700960742,0.7613946082746175,0.3534124806559714,1.1102230246251565e-16,4.613736681591263e-07,350,0.005,1,1,0.4801531136035919,1.0,-0.5198468863964081,0.5198468863964081,-0.015537465922534466,-1.0,0.9844625340774655,0.9844625340774655,0.5785101513564034,0.529475493910502,0.6071630348956657
1,linear,1,1000,800,200,10000,10000,0.5,75,31260905,31760905,1031760905,2031260905,3031260905,0.738840723082326,0.74736955431905,0.5307928825331544,0.422692157211121,0.5585612507230553,-0.3497561618931607,0.7128763254529716,0.28174108414785504,1.1102230246251565e-16,4.923979783910681e-07,525,0.005,1,1,0.7157956957817078,1.0,-0.28420430421829224,0.28420430421829224,-0.3180076777935028,-1.0,0.6819923222064972,0.6819923222064972,0.5433629573917349,0.5157588366781651,0.5975801202138625
1,linear,1,1000,800,200,10000,10000,0.5,100,31260905,31760905,1031760905,2031260905,3031260905,0.5415712721737723,0.5557989869488457,0.671061479720243,0.23096549599044683,0.3089125138933631,-0.04477725015974389,0.16587914062060294,0.4503235095643221,-1.1102230246251565e-16,5.259034914217864e-07,700,0.005,1,1,0.7961266040802002,1.0,-0.2038733959197998,0.2038733959197998,-0.49826791882514954,-1.0,0.5017320811748505,0.5017320811748505,0.5278107648162365,0.5437495922923381,0.6236571834104332
1,linear,1,1000,800,200,10000,10000,0.5,150,31260905,31760905,1031760905,2031260905,3031260905,0.3665020344962011,0.657497267000227,0.7538776807022103,0.1316699527679617,0.4323026561127678,0.002179474290107132,-0.00772900759997035,0.5683315574609438,0.0,5.321011666836739e-07,1050,0.005,1,1,0.9066285490989685,1.0,-0.0933714509010315,0.0933714509010315,-0.6455913186073303,-1.0,0.3544086813926697,0.3544086813926697,0.48692650754358174,0.5630013460890297,0.6427164260875338
1,linear,1,1000,800,200,10000,10000,0.5,200,31260905,31760905,1031760905,2031260905,3031260905,0.2998124374385394,0.8035503699635588,0.7458790369804007,0.09805404010907445,0.6456931970685722,-0.09370584968541833,0.25198305284739186,0.55633553780681,0.0,5.251757873026008e-07,1400,0.005,1,1,0.9453214406967163,1.0,-0.05467855930328369,0.05467855930328369,-0.7052157521247864,-1.0,0.2947842478752136,0.2947842478752136,0.45062869843923536,0.5732961129078684,0.6397931343787536
1,linear,1,1000,800,200,10000,10000,0.5,300,31260905,31760905,1031760905,2031260905,3031260905,0.2555568629418891,0.9681063378056309,0.9327903022191469,0.06163952756885815,0.9372298812994304,-0.06438583047710057,0.1289174138390107,0.8700977479140874,0.0,5.567051939436851e-07,2100,0.005,1,1,0.9289358854293823,1.0,-0.07106411457061768,0.07106411457061768,-0.7545225024223328,-1.0,0.24547749757766724,0.24547749757766724,0.3972155397464037,0.6134090622678469,0.6793617920665842
