case,replicate,reused,elapsed_seconds
1,6,False,37.50016529999266
1,1,False,37.89147319999756
1,4,False,37.80441250000149
1,3,False,37.83658299999661
1,5,False,37.794505700003356
1,2,False,38.04099880000285
1,9,False,37.97383279999485
1,7,False,38.41245160000108
1,10,False,38.28516970000055
2,2,False,38.11621550000564
2,1,False,38.41667210000742
1,8,False,38.6683253999945
2,3,False,36.71681740001077
2,4,False,37.03213300000061
2,6,False,37.16661759999988
2,8,False,36.93963910000457
2,7,False,37.15303239999048
2,5,False,37.5774448000011
2,9,False,38.39951020000444
3,1,False,37.818006200002856
2,10,False,38.39429170000949
3,4,False,37.82790340000065
3,3,False,38.04273600000306
3,2,False,38.33613789999799
3,6,False,37.23911490000319
3,5,False,37.66707879999012
3,7,False,37.14633699999831
3,8,False,37.28969239999424
3,9,False,37.321264699989115
3,10,False,39.13793280000391
