case,case_name,replicate,n,n_train,n_validation,n_test,n_eval,tau,epoch,data_seed,init_seed,training_seed,test_seed,eval_seed,theta_error_l2,m_l2_error,q_l2_error,linear_error_mse,nonlinear_error_mse,cross_error_moment,cancellation_fraction,q_mse,decomposition_residual,max_float32_prediction_gap,optimizer_steps,learning_rate,model_instance,fit_calls,theta_hat_1,theta_true_1,theta_error_1,abs_theta_error_1,theta_hat_2,theta_true_2,theta_error_2,abs_theta_error_2,train_check_loss,validation_check_loss,test_check_loss
3,deep,10,1000,800,200,10000,10000,0.5,1,51260914,51760914,1051760914,2051260914,3051260914,0.7597889427725141,2.0023543743707606,1.8815835743962734,0.1462750191704972,4.009423040561719,-0.3076706561471799,0.14807170863948932,3.5403567474378566,0.0,9.318852423056967e-08,7,0.005,1,1,0.4265225827693939,1.0,-0.5734774172306061,0.5734774172306061,-0.5015996694564819,-1.0,0.49840033054351807,0.49840033054351807,0.9332005275293941,0.9024510174546677,0.945679703477777
3,deep,10,1000,800,200,10000,10000,0.5,2,51260914,51760914,1051760914,2051260914,3051260914,0.7573789517150222,1.3773352228403337,1.3053868754555138,0.17087383528032202,1.897052316076632,-0.18194562837272243,0.17596917399911152,1.704034894611509,-2.220446049250313e-16,1.7183210765381318e-07,14,0.005,1,1,0.45949679613113403,1.0,-0.540503203868866,0.540503203868866,-0.469453901052475,-1.0,0.530546098947525,0.530546098947525,0.7496818905118622,0.7446704594928221,0.7763896783913293
3,deep,10,1000,800,200,10000,10000,0.5,5,51260914,51760914,1051760914,2051260914,3051260914,0.7343074071667023,0.8666637578635453,0.8160558555322258,0.18469543921393267,0.751106069194162,-0.13492717452983086,0.2883670806629868,0.665947159348433,0.0,2.9020341063557e-07,35,0.005,1,1,0.5029711723327637,1.0,-0.49702882766723633,0.49702882766723633,-0.45947274565696716,-1.0,0.5405272543430328,0.5405272543430328,0.61753342596972,0.5917737545852552,0.6467560043421974
3,deep,10,1000,800,200,10000,10000,0.5,10,51260914,51760914,1051760914,2051260914,3051260914,0.6717340173494017,0.6256815407528749,0.6388877771195727,0.17063169844955642,0.39147739043889135,-0.07696574856782948,0.27384630524308623,0.4081775917527888,-5.551115123125783e-17,2.8792898909557607e-07,70,0.005,1,1,0.5637252330780029,1.0,-0.43627476692199707,0.43627476692199707,-0.4892251789569855,-1.0,0.5107748210430145,0.5107748210430145,0.5688015406311152,0.5617094238177764,0.6140222230222989
3,deep,10,1000,800,200,10000,10000,0.5,20,51260914,51760914,1051760914,2051260914,3051260914,0.5285422876383608,0.5891084816417528,0.6001170786814659,0.12504239429991934,0.3470488031422514,-0.05597534465849699,0.2371378452374289,0.3601405081251768,0.0,3.2604591559959317e-07,140,0.005,1,1,0.6832826137542725,1.0,-0.31671738624572754,0.31671738624572754,-0.5768604874610901,-1.0,0.4231395125389099,0.4231395125389099,0.5420179317353234,0.5681540876671906,0.6071383176193534
3,deep,10,1000,800,200,10000,10000,0.5,30,51260914,51760914,1051760914,2051260914,3051260914,0.3850441018259018,0.6097109374206791,0.598338958452584,0.08163924973004456,0.37174742721040327,-0.0476885838691624,0.21036605747206938,0.358009509202123,-5.551115123125783e-17,3.3135805299622234e-07,210,0.005,1,1,0.7961971759796143,1.0,-0.20380282402038574,0.20380282402038574,-0.6733145713806152,-1.0,0.32668542861938477,0.32668542861938477,0.521411968988609,0.5742885317684632,0.6069574801726811
3,deep,10,1000,800,200,10000,10000,0.5,50,51260914,51760914,1051760914,2051260914,3051260914,0.22122483071606552,0.6344995186223574,0.6246828578665569,0.05147291311629864,0.40258963913200335,-0.031916939667986574,0.14058388876135702,0.3902286729123289,0.0,3.3266989429847627e-07,350,0.005,1,1,0.9547218084335327,1.0,-0.045278191566467285,0.045278191566467285,-0.7834582924842834,-1.0,0.21654170751571655,0.21654170751571655,0.4944815358811235,0.586667364800128,0.6133274762032166
3,deep,10,1000,800,200,10000,10000,0.5,75,51260914,51760914,1051760914,2051260914,3051260914,0.12453436137829865,0.6560767869303702,0.6545675809099619,0.02515540897238519,0.43043675034887835,-0.013566720671472004,0.05955642736118885,0.4284587179783195,0.0,3.4061563081166923e-07,525,0.005,1,1,1.0420695543289185,1.0,0.04206955432891846,0.04206955432891846,-0.8827866911888123,-1.0,0.11721330881118774,0.11721330881118774,0.4629196733341236,0.6071279212464848,0.6202347126445502
3,deep,10,1000,800,200,10000,10000,0.5,100,51260914,51760914,1051760914,2051260914,3051260914,0.1298686853592298,0.7687089039229937,0.761202298731599,0.015725936992929693,0.5909133789704905,-0.013605188184574957,0.044854290932226155,0.5794289395942703,1.1102230246251565e-16,3.51584825253326e-07,700,0.005,1,1,1.123559832572937,1.0,0.12355983257293701,0.12355983257293701,-0.9600144624710083,-1.0,0.0399855375289917,0.0399855375289917,0.4202358776641666,0.6247954504735046,0.6449277718333019
3,deep,10,1000,800,200,10000,10000,0.5,150,51260914,51760914,1051760914,2051260914,3051260914,0.18442343842704778,0.8732835187367934,0.8820533789994114,0.01567483821126846,0.7626241040973155,-0.00014038945215236488,0.00036075971460514344,0.7780181634042793,1.1102230246251565e-16,4.7411317005696674e-07,1050,0.005,1,1,1.1843379735946655,1.0,0.18433797359466553,0.18433797359466553,-1.005613923072815,-1.0,-0.005613923072814941,0.005613923072814941,0.374203445599874,0.629779469620108,0.671540401771179
3,deep,10,1000,800,200,10000,10000,0.5,200,51260914,51760914,1051760914,2051260914,3051260914,0.19097019883507133,1.011990601549928,1.0196091010749802,0.015004202031582025,1.0241249776253851,0.0002367696689809792,-0.0004557078631150376,1.039602718994929,0.0,4.524231460578676e-07,1400,0.005,1,1,1.19044029712677,1.0,0.19044029712677002,0.19044029712677002,-1.0142165422439575,-1.0,-0.01421654224395752,0.01421654224395752,0.3250533676410067,0.6572651242483413,0.6992682492547825
3,deep,10,1000,800,200,10000,10000,0.5,300,51260914,51760914,1051760914,2051260914,3051260914,0.2082827321558423,1.1097118204272736,1.1117204339680813,0.007685118626428968,1.2314603243960136,-0.0016115598601318594,0.002601082656126383,1.2359223233021788,-2.220446049250313e-16,5.035063672664819e-07,2100,0.005,1,1,1.1862313747406006,1.0,0.18623137474060059,0.18623137474060059,-1.0932714939117432,-1.0,-0.09327149391174316,0.09327149391174316,0.2699223057700007,0.6837005418212376,0.7240678142795947
