case,n,q_studentized,probability,empirical_t_quantile,standard_normal_quantile,difference
1,500,20,0.025,-6.428454345033942,-1.9599639845400545,-4.468490360493888
1,500,20,0.5,-4.019571579544952,0.0,-4.019571579544952
1,500,20,0.975,-1.8179097977293952,1.959963984540054,-3.7778737822694493
1,1000,20,0.025,-6.795115412367165,-1.9599639845400545,-4.83515142782711
1,1000,20,0.5,-2.638560263266994,0.0,-2.638560263266994
1,1000,20,0.975,-0.518793342039152,1.959963984540054,-2.478757326579206
1,2000,20,0.025,-5.127975092670328,-1.9599639845400545,-3.168011108130273
1,2000,20,0.5,-0.963316597530479,0.0,-0.963316597530479
1,2000,20,0.975,1.1234649495649318,1.959963984540054,-0.8364990349751222
1,4000,20,0.025,-2.2796591542038653,-1.9599639845400545,-0.31969516966381084
1,4000,20,0.5,-0.6540249186932493,0.0,-0.6540249186932493
1,4000,20,0.975,1.2634504312567283,1.959963984540054,-0.6965135532833258
2,500,20,0.025,-7.019889309791292,-1.9599639845400545,-5.059925325251237
2,500,20,0.5,-3.3538792981514467,0.0,-3.3538792981514467
2,500,20,0.975,-0.8979154015811872,1.959963984540054,-2.8578793861212413
2,1000,20,0.025,-4.551120026246344,-1.9599639845400545,-2.5911560417062893
2,1000,20,0.5,-2.6343251553078604,0.0,-2.6343251553078604
2,1000,20,0.975,-0.2732786727894608,1.959963984540054,-2.233242657329515
2,2000,20,0.025,-3.0535204469754897,-1.9599639845400545,-1.0935564624354353
2,2000,20,0.5,-1.4008515969230138,0.0,-1.4008515969230138
2,2000,20,0.975,0.20037883357010783,1.959963984540054,-1.7595851509699463
2,4000,20,0.025,-2.4916971471121574,-1.9599639845400545,-0.5317331625721029
2,4000,20,0.5,-0.5406423352289852,0.0,-0.5406423352289852
2,4000,20,0.975,1.958976566670454,1.959963984540054,-0.0009874178696001046
3,500,20,0.025,-7.476470567634148,-1.9599639845400545,-5.516506583094094
3,500,20,0.5,-4.24478473446582,0.0,-4.24478473446582
3,500,20,0.975,-1.1723472537237067,1.959963984540054,-3.132311238263761
3,1000,20,0.025,-5.619597252030858,-1.9599639845400545,-3.6596332674908036
3,1000,20,0.5,-2.3978166711572078,0.0,-2.3978166711572078
3,1000,20,0.975,1.1520256223963727,1.959963984540054,-0.8079383621436813
3,2000,20,0.025,-5.634369611161975,-1.9599639845400545,-3.6744056266219203
3,2000,20,0.5,-1.587028242437487,0.0,-1.587028242437487
3,2000,20,0.975,0.9790574121137067,1.959963984540054,-0.9809065724263474
3,4000,20,0.025,-3.1005923293348583,-1.9599639845400545,-1.1406283447948038
3,4000,20,0.5,-1.3294428184308429,0.0,-1.3294428184308429
3,4000,20,0.975,1.3899329155886397,1.959963984540054,-0.5700310689514143
