case,n,n_train,n_val,rep,tau,method,setting_seed,fit_seed,data_sha256,theta1,theta2,se_theta1,se_theta2,lower_theta1,upper_theta1,lower_theta2,upper_theta2,covered_theta1,covered_theta2,t_theta1,root_n_error_theta1,root_n_train_error_theta1,fit_seconds,inference_seconds,density_seconds,projection_seconds,total_seconds,inference_wall_seconds,epochs_run,best_epoch,best_validation_loss,density_zero,projection_epochs,projection_best_epochs,selected_hyperparameters
1,500,400,100,1,0.5,DPLQR,30760905,31260905,88e6c5c61336c7006c1ddd4e2f95675db2a2e6ca3e77882e92cbcfcc2a97bd49,-0.32966864109039307,0.6232683062553406,0.2611536335983668,0.26126753488255733,-0.8415203573749613,0.1821830751941752,0.111193347555966,1.1353432649547153,False,False,-5.0915188227299035,-29.73229469027889,-26.59337282180786,0.4143203999992693,0.9079366999940248,0.28012409999792,0.6278125999961048,1.322257099993294,0.9204076999958488,26,11,0.7107342481613159,0.23074960542898218,"[18, 29]","[3, 14]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
1,500,400,100,2,0.5,DPLQR,30760906,31260906,e8cf2855d474bff2d0f53a2f0e1e3ae2039c1d92428f5a3696e2ca9ada384eed,0.7560596466064453,0.19553591310977936,0.15450049250161585,0.16407375050177458,0.45324424570957755,1.058875047503313,-0.12604272868210947,0.5171145549016682,True,False,-1.5788969306424925,-5.454672126433098,-4.878807067871094,0.8441823000030126,0.796214299989515,0.2634195999999065,0.5327946999896085,1.6403965999925276,0.8113687000004575,57,42,0.555666983127594,0.3756703594099274,"[21, 25]","[6, 10]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
1,500,400,100,3,0.5,DPLQR,30760907,31260907,f67c2558b93368d8d9c4915dcff934c9342882f2773963960cbac4ac8248da2a,0.3872692584991455,-0.5630572438240051,0.14838493094823152,0.15161765145519257,0.0964401379921489,0.6780983790061421,-0.8602223800967295,-0.2658921075512808,False,False,-4.1293326592214665,-13.701075898997622,-12.25461483001709,0.9959845000048517,0.7620396999991499,0.23964859999978216,0.5223910999993677,1.7580242000040016,0.7741977000041516,76,61,0.5309567451477051,0.4096743033313107,"[19, 29]","[4, 14]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
1,500,400,100,4,0.5,DPLQR,30760908,31260908,43e8c5368d29916b44fd3feabe07714774695c0432f5c784fd45707ad011c11a,0.36265668272972107,-0.43904274702072144,0.1342068047886849,0.13448896584784492,0.099616178863701,0.6256971865957411,-0.7026362764005348,-0.17544921764090804,False,False,-4.748964244203614,-14.251429824215595,-12.746866345405579,1.1843152000001282,1.3204421999980696,0.3263527000017348,0.9940894999963348,2.504757399998198,1.3360476000016206,86,71,0.5643153190612793,0.4596098229012526,"[32, 44]","[17, 29]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
1,500,400,100,5,0.5,DPLQR,30760909,31260909,1be90eee2b31e6850d4b10ca97052a80093417c14191fcab259d5ca5ba85d6fc,0.2868328392505646,0.35141512751579285,0.1597357852757037,0.16662035916079423,-0.02624354693203812,0.5999092254331673,0.02484522446950771,0.677985030562078,False,False,-4.464667447676237,-15.946902507562575,-14.263343214988708,0.44089760000497336,0.5316763000009814,0.2292719000033685,0.3024043999976129,0.9725739000059548,0.5382600000011735,82,67,0.5787043571472168,0.3878825819019289,"[24, 52]","[9, 37]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
1,500,400,100,6,0.5,DPLQR,30760910,31260910,5db0331ede72c33b35554237abce97ab5697a391c650d92ef8986a5438795d97,0.049804240465164185,0.16545048356056213,0.1501405725179658,0.15263466506343043,-0.24446587428827304,0.3440743552186014,-0.13370796275609553,0.4646089298772198,False,False,-6.3287074479560514,-21.247023102519368,-19.003915190696716,0.48023860000103014,0.5552167999994708,0.2464680999983102,0.3087487000011606,1.035455400000501,0.5624806000050739,96,81,0.6692842245101929,0.4110212042632841,"[30, 43]","[15, 28]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
1,500,400,100,7,0.5,DPLQR,30760911,31260911,005dacc9decbdb57e4a4026e87174c375a8b6ddd81893116d1b6a03f53b68ba2,-0.2702036201953888,-0.3365148603916168,0.19485531173092216,0.17852455142652146,-0.6521130133843214,0.11170577299354373,-0.6864165515437677,0.013386830760533985,False,False,-6.518701537628222,-28.40261640023214,-25.404072403907776,0.40854579999722773,0.8369202000030782,0.24868309999874327,0.5882371000043349,1.245466000000306,0.8502528999961214,34,19,0.609310507774353,0.32005060382482564,"[32, 30]","[17, 15]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
1,500,400,100,8,0.5,DPLQR,30760912,31260912,e548d4a76522f168c3a20472c539a7df5603c812f67cc247dcbff81a76ec86dd,0.5788668394088745,-0.003253618720918894,0.13149516791660806,0.12301118325537679,0.3211410461512759,0.8365926326664731,-0.24435110759711395,0.23784387015527617,False,False,-3.202651224858702,-9.416823746610921,-8.42266321182251,1.2805497000008472,0.7550678999905358,0.23855139999795938,0.5165164999925764,2.035617599991383,0.7673541000040132,100,89,0.6663545370101929,0.4656909505148711,"[19, 34]","[4, 19]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
1,500,400,100,9,0.5,DPLQR,30760913,31260913,86ae65d51906203182a0968d9a2d2a36214c1532fea105a3147a4e8a971453bd,0.4113263487815857,-0.20430029928684235,0.1643775837857768,0.16641260003823147,0.08915220469574803,0.7335004928674234,-0.5304630019354448,0.12186240336176013,False,False,-3.5812282773641235,-13.163143006873764,-11.773473024368286,0.9480234000002383,0.7877095999938319,0.22870780000084778,0.5590017999929842,1.7357329999940703,0.7990337000010186,76,61,0.6203066110610962,0.3552756001870273,"[20, 36]","[5, 21]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
1,500,400,100,10,0.5,DPLQR,30760914,31260914,84b71535e005024dda865d64c6184a69362a6fef7c43a4eb64057c57a2f83e82,0.3090077042579651,-0.2543715834617615,0.14527690082550943,0.14138787694533192,0.024270210854369367,0.5937451976615609,-0.5314867301251931,0.022743563201670147,False,False,-4.756381033843629,-15.451057452078286,-13.819845914840698,0.8147484000000986,0.6722473999907379,0.23634709999896586,0.43590029999177204,1.4869957999908365,0.6839451999985613,67,52,0.6890255212783813,0.39979236399442153,"[18, 25]","[3, 10]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
1,500,400,100,11,0.5,DPLQR,30760915,31260915,feb76a4e5a5dc72bbc963afa4cfc3451509813491b25aee07ab8627c3819c0ea,0.5205436944961548,-0.3165039122104645,0.12262903931532712,0.12634645157766788,0.2801951939793673,0.7608921950129423,-0.5641384068771275,-0.06886941754380152,False,False,-3.9098104998684358,-10.720968913475046,-9.589126110076904,1.0915827000062563,0.76061170000321,0.21884800000407267,0.5417636999991373,1.8521944000094663,0.7731601999985287,90,75,0.5933944582939148,0.478900093340177,"[24, 34]","[9, 19]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
1,500,400,100,12,0.5,DPLQR,30760916,31260916,a6b2caa48c87265143033c06d0aa258525b186eb99e6dd17b80ca18f7f0cbe80,0.4152245819568634,-0.05961956828832626,0.15357677086555882,0.14378158171709793,0.11421964219840786,0.716229521715319,-0.3414262900940409,0.22218715351738838,False,False,-3.8077074726037137,-13.075975863153106,-11.695508360862732,1.2313071999960812,1.0454266000015195,0.23213609999947948,0.8132905000020401,2.2767337999976007,1.0568258999992395,100,97,0.5241239666938782,0.422536995458632,"[35, 41]","[20, 26]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
1,500,400,100,13,0.5,DPLQR,30760917,31260917,2a8016c82cc370bc67f98c5fe4c18f11ec37e2303ff3b4032d63c9a468bdf7ca,0.6863046884536743,-0.4440977871417999,0.15066425073842518,0.14238022730805353,0.3910081832486487,0.9816011936586999,-0.7231579047762111,-0.16503766950738874,False,False,-2.082081913983337,-7.014440408405589,-6.273906230926514,0.7206478000007337,0.6787143999972614,0.23418549999769311,0.44452889999956824,1.399362199997995,0.6892329000038444,58,43,0.5558375716209412,0.38811731890903656,"[21, 24]","[6, 9]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
1,500,400,100,14,0.5,DPLQR,30760918,31260918,09acd1ed9c90c1d03a2e1fbc5362358ff8064e22034b0eceb40948feedd0a0e5,-0.41470712423324585,0.5323750376701355,0.2790532574986772,0.23652804792056667,-0.9616414586992349,0.1322272102327432,0.06878858241226082,0.9959614929280102,False,False,-5.069667119868514,-31.63381298038778,-28.294142484664917,0.3431875000023865,0.8674867000008817,0.2381517999965581,0.6293349000043236,1.2106742000032682,0.8785903000025428,28,13,0.5808206796646118,0.2266752335806189,"[40, 26]","[25, 11]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
1,500,400,100,15,0.5,DPLQR,30760919,31260919,6c7d37dc3fc6d017f59dcf039df192af0ba4d6d3ad0de5500e049495e4578fca,0.2331850528717041,-0.15239106118679047,0.15416832536230538,0.15120893368366162,-0.06897931239526739,0.5353494181386755,-0.4487551253474727,0.14397300297389176,False,False,-4.973881277663437,-17.146503479417767,-15.336298942565918,1.2579075999965426,0.7083581999977469,0.21977899999910733,0.4885791999986395,1.9662657999942894,0.7228080999993836,100,97,0.6548852324485779,0.38105711041838575,"[20, 26]","[5, 11]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
1,500,400,100,16,0.5,DPLQR,30760920,31260920,275c328e941853f3017f3c1e76fe9602f5c61fd6dd8e688819340e56177bcbd9,0.5598458051681519,-0.03736070543527603,0.15942569114806074,0.14848949836896463,0.24737719230754673,0.872314418028757,-0.32839477432086583,0.25367336345031377,False,False,-2.760873681413563,-9.842147002256992,-8.803083896636963,0.6881338999955915,0.7506465000042226,0.21817590000136988,0.5324706000028527,1.438780399999814,0.7606843000030494,58,43,0.5811739563941956,0.37717374792625136,"[21, 33]","[6, 18]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
1,500,400,100,17,0.5,DPLQR,30760921,31260921,cecd2e64d507919d92d9b6dda44e2007753066ce5b772cca22c3b9243d4604fb,0.15318767726421356,-0.10141553729772568,0.22149636358809136,0.2084681202598771,-0.2809372180750345,0.5873125726034616,-0.5100055449318496,0.3071744703363982,False,False,-3.8231432291618663,-18.935299178217093,-16.93624645471573,0.5194503999955487,1.0695325000051525,0.22094089999882272,0.8485916000063298,1.5889829000007012,1.0833061000012094,42,27,0.6148967742919922,0.29930394158133,"[35, 51]","[20, 36]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
1,500,400,100,18,0.5,DPLQR,30760922,31260922,350a5d4f9c51a033c69e28cdb3b4718cb22ded580e3a839fa43b274bddb41198,0.48098060488700867,0.06499119102954865,0.13901905583509752,0.1456836695917783,0.20850826228545466,0.7534529474885627,-0.22054355450596985,0.35052593656506714,False,False,-3.7334406567157594,-11.605626491134709,-10.380387902259827,0.4789336000030744,0.40231360000325367,0.22836310000275262,0.17395050000050105,0.8812472000063281,0.40883000000030734,100,85,0.6466712355613708,0.41140093660720567,"[18, 27]","[3, 12]","{""batch_size"": 128, ""depth"": 2, ""epochs"": 100, ""lr"": 0.005, ""mode"": ""fixed"", ""patience"": 15, ""width"": 32}"
