case,n,measured_repetitions,estimated_seconds_per_replication,method,q20_full_seconds,q20_remaining_seconds_if_reused,q200_full_seconds,q200_remaining_seconds_if_reused
1,500,20,1.49345354499892,measured case/n mean,29.869070899978396,0.0,298.69070899978396,268.82163809980557
1,1000,20,2.2661211500002536,measured case/n mean,45.322423000005074,0.0,453.22423000005074,407.90180700004566
1,2000,20,3.6527217199989535,measured case/n mean,73.05443439997907,0.0,730.5443439997907,657.4899095998117
1,4000,20,5.806418875001327,measured case/n mean,116.12837750002655,0.0,1161.2837750002655,1045.155397500239
2,500,20,1.5546542000007322,measured case/n mean,31.093084000014642,0.0,310.9308400001464,279.8377560001318
2,1000,20,2.63097843500218,measured case/n mean,52.6195687000436,0.0,526.195687000436,473.57611830039235
2,2000,20,3.9614943949989536,measured case/n mean,79.22988789997908,0.0,792.2988789997908,713.0689910998117
2,4000,20,5.856388050003443,measured case/n mean,117.12776100006886,0.0,1171.2776100006886,1054.1498490006197
3,500,20,1.292987985002037,measured case/n mean,25.85975970004074,0.0,258.5975970004074,232.73783730036664
3,1000,20,2.0431502199990064,measured case/n mean,40.86300439998013,0.0,408.6300439998013,367.76703959982115
3,2000,20,3.114406450002207,measured case/n mean,62.28812900004414,0.0,622.8812900004414,560.5931610003972
3,4000,20,5.189472044999638,measured case/n mean,103.78944089999277,0.0,1037.8944089999277,934.1049680999348
