component,n,epochs,Q,true_theta,mean_theta_hat,bias,absolute_bias,MC_SD,RMSE
theta_2,500,200,200,-1,-0.67535493761301035,0.32464506238698965,0.32464506238698965,0.18544516497818805,0.37364739554822379
theta_2,500,500,200,-1,-0.78448116078972818,0.21551883921027182,0.21551883921027182,0.19756620382405934,0.29203700608574507
theta_2,500,1000,200,-1,-0.81709045529365543,0.18290954470634457,0.18290954470634457,0.2177555396258859,0.28396529577970303
theta_2,1000,200,200,-1,-0.84360108286142355,0.15639891713857645,0.15639891713857645,0.13080283074347837,0.20367733037815927
theta_2,1000,500,200,-1,-0.89341877311468121,0.10658122688531879,0.10658122688531879,0.14040952336860688,0.1759994829700251
theta_2,1000,1000,200,-1,-0.91599826455116273,0.084001735448837267,0.084001735448837267,0.15792894481317407,0.17853048874119518
theta_2,2000,200,200,-1,-0.95027523219585419,0.049724767804145809,0.049724767804145809,0.084870684680474623,0.098181314340958503
theta_2,2000,500,200,-1,-0.9679297670722008,0.032070232927799203,0.032070232927799203,0.091900021088129724,0.097117895604579452
theta_2,2000,1000,200,-1,-0.9809704920649529,0.019029507935047096,0.019029507935047096,0.099298696242311982,0.10086154912698819
theta_2,4000,200,200,-1,-0.98738824605941777,0.012611753940582227,0.012611753940582227,0.056913785223282755,0.058155304067277827
theta_2,4000,500,200,-1,-0.99918610572814937,0.00081389427185063479,0.00081389427185063479,0.060155717921095191,0.060010659640559801
theta_2,4000,1000,200,-1,-1.0042534041404725,-0.0042534041404724832,0.0042534041404724832,0.064119061694538543,0.064099838135577902
