n,epochs,Q_available,mean_fhat0,SD_fhat0,median_fhat0,min_fhat0,max_fhat0,true_f0,mean_fhat0_over_true_f0
500,200,200,0.95678809005005983,0.14058419581978157,0.95488972738924272,0.62749462823133773,1.3256726347972299,0.36755259694786135,2.6031324441595052
500,500,200,0.96894285866137397,0.22786610534022239,0.96080466611811788,0.50135783569702608,1.6195959234122725,0.36755259694786135,2.6362019115289286
500,1000,200,0.7586626909941806,0.20003709209792617,0.74060365980419984,0.27381686446770459,1.3143582772141515,0.36755259694786135,2.0640928598901986
1000,200,200,0.7519829726638243,0.1030843572479211,0.74050908513168134,0.46385336365868246,1.0952250230265312,0.36755259694786135,2.0459193565989029
1000,500,200,0.5487257412986597,0.10050493102009503,0.54657935354539711,0.27219081653484878,0.83403851054484679,0.36755259694786135,1.4929176010596883
1000,1000,200,0.40620203231711038,0.069546939112735295,0.41143809379837037,0.21855607262851839,0.59845994363086885,0.36755259694786135,1.1051534819511331
2000,200,200,0.55724646109362286,0.053310328182155087,0.56607132015746364,0.42144224805349229,0.7473851397257546,0.36755259694786135,1.5160999152800714
2000,500,200,0.42098532009721068,0.044982190553366719,0.42435490558917754,0.28546079477020253,0.54061709217174436,0.36755259694786135,1.1453743589163892
2000,1000,200,0.33662913822014018,0.037752496709230504,0.33988677149778179,0.2445493327903456,0.42509284596951674,0.36755259694786135,0.91586657532960436
4000,200,200,0.46942605198964032,0.029637982124399661,0.47063399461719291,0.36185322058650438,0.56341204628761066,0.36755259694786135,1.2771670119806828
4000,500,200,0.37358055780250948,0.027096701573097112,0.37559022100770378,0.29334728196208137,0.44031882817618068,0.36755259694786135,1.0164002673486843
4000,1000,200,0.28219078984740736,0.026641617998077155,0.28378557257367742,0.19394585452925969,0.3429770052019025,0.36755259694786135,0.76775621282696893
