n,epochs,coefficient,n_train,Q_completed,Q_requested,complete,bias,root_n_train_scaled_bias,empirical_sd,root_n_train_scaled_sd,mean_estimated_se,mean_T,sd_T,skewness_T,excess_kurtosis_T,T_q025,T_q50,T_q975,coverage_95,mean_training_loss
500,200,1,400,200,200,True,-0.23290356382727623,-4.658071276545525,0.1811089224802377,3.6221784496047538,0.2101937774429154,-1.1970143832500209,0.9496842270898307,-0.44407949638722066,0.3450513978201557,-3.1762233391944017,-1.2121657194170545,0.5357219473043529,0.8,0.3507189402461936
500,200,2,400,200,200,True,0.3246450623869896,6.492901247739792,0.18544516497818805,3.708903299563761,0.18829589597868618,1.8269240486800788,1.1828888404755054,0.4968714984547748,0.5114764237891518,-0.10961240670702907,1.6641477353571426,4.4579621157712275,0.585,0.3507189402461936
500,500,1,400,200,200,True,-0.1721418569982052,-3.442837139964104,0.2020179426047507,4.040358852095014,0.2682615060871805,-0.8206854866971934,1.1415012404325298,-1.1047739644737118,2.9052161629903495,-3.645743120818201,-0.6774456348950861,1.0280595412879898,0.875,0.2715883428928846
500,500,2,400,200,200,True,0.21551883921027185,4.310376784205437,0.19756620382405934,3.9513240764811868,0.411876579857704,0.589470688688211,0.5892512574243178,0.5750801001853784,1.132893945521162,-0.37036745737570503,0.5240579245029927,1.8212363944263583,0.985,0.2715883428928846
500,1000,1,400,200,200,True,-0.15132237177342175,-3.026447435468435,0.23764844887231584,4.752968977446317,0.6618367518051668,-0.5143550157791263,0.9838702731379627,-0.7890113345909726,3.389763009413981,-3.0596182872789597,-0.49683238519863365,1.3705950604745551,0.95,0.29455470425069274
500,1000,2,400,200,200,True,0.1829095447063446,3.658190894126892,0.2177555396258859,4.355110792517718,0.799548876904807,0.279861510862235,0.3638374114219125,0.7786213022235644,1.4149434148707396,-0.36266611302744917,0.2512682950682923,1.1068582905153563,1.0,0.29455470425069274
1000,200,1,800,200,200,True,-0.0925031265616417,-2.6163835229077717,0.13055568509500876,3.6926724101254464,0.14818145365539967,-0.6605540335664208,0.9686136165400521,-0.07846679373513016,-0.10103605059924847,-2.5850413349077845,-0.6434948077010348,1.3185470789330327,0.915,0.3877452163593443
1000,200,2,800,200,200,True,0.1563989171385765,4.423629395156816,0.13080283074347837,3.699662744684391,0.1442616082520821,1.1079169967125286,0.9535330219164938,0.12231732846235623,-0.14412780451451823,-0.5545846610165224,1.0901517946446573,2.9906963102480484,0.81,0.3877452163593443
1000,500,1,800,200,200,True,-0.06617164924740791,-1.8716168762055936,0.14875133025939755,4.207322973477588,0.23051234470487286,-0.3311382420150315,0.7288005099286666,-0.6541529705392198,1.7937030471995037,-1.5369327074393526,-0.2501644201015698,0.9711947065942017,0.99,0.4057351565024829
1000,500,2,800,200,200,True,0.10658122688531875,3.0145723311116344,0.14040952336860688,3.9713810446845175,0.3398276688356651,0.3275856372589972,0.4426924818340054,0.12811751822426476,0.2284406677841786,-0.5957548648069771,0.31349639460404327,1.2796996026011538,1.0,0.4057351565024829
