case,tau,n_total,n_fit,n_val,replication,seed,data_seed,fit_seed,data_sha256,initialization_sha256,epoch,optimizer_updates,theta_hat_1,theta_hat_2,theta0_1,theta0_2,error_theta1,error_theta2,squared_error_theta1,squared_error_theta2,train_check_loss,validation_check_loss,train_check_loss_clipped,validation_check_loss_clipped,elapsed_time
6,0.5,1000,800,200,1,81260905,81260905,81760905,468e14bb830a1ab822489250426f03d6a1160671aee7dee05f999d782f166d6e,0321746c6402b77403f6187ee8771de24b153ba601314ac44cd4c430f453a8be,200,1400,0.9875099658966064,-0.7733705639839172,1.0,-1.0,-0.012490034103393555,0.22662943601608276,0.00015600095190393404,0.05136090126896775,0.22075836837291718,0.43831392407417297,0.22605414628982545,0.4377232205867767,1.968650399998296
6,0.5,1000,800,200,1,81260905,81260905,81760905,468e14bb830a1ab822489250426f03d6a1160671aee7dee05f999d782f166d6e,0321746c6402b77403f6187ee8771de24b153ba601314ac44cd4c430f453a8be,500,3500,1.0299493074417114,-0.8088752627372742,1.0,-1.0,0.029949307441711426,0.19112473726272583,0.0008969610162381514,0.03652866519374598,0.16183602511882783,0.5159488987922668,0.20589301168918608,0.5030418348312378,4.760327199997846
6,0.5,1000,800,200,1,81260905,81260905,81760905,468e14bb830a1ab822489250426f03d6a1160671aee7dee05f999d782f166d6e,0321746c6402b77403f6187ee8771de24b153ba601314ac44cd4c430f453a8be,1000,7000,1.0814495086669922,-0.8510807156562805,1.0,-1.0,0.08144950866699219,0.14891928434371948,0.0066340224620944355,0.022176953249445575,0.14807604134082794,0.5838222408294678,0.23101770520210266,0.5409631896018982,9.522065900004236
6,0.5,1000,800,200,1,81260905,81260905,81760905,468e14bb830a1ab822489250426f03d6a1160671aee7dee05f999d782f166d6e,0321746c6402b77403f6187ee8771de24b153ba601314ac44cd4c430f453a8be,2000,14000,1.0905661582946777,-0.8715238571166992,1.0,-1.0,0.09056615829467773,0.12847614288330078,0.008202229028256625,0.016506119290170318,0.10343633949756623,0.590315101146698,0.2512191051244736,0.533187608718872,18.75528050000139
6,0.5,1000,800,200,2,81260906,81260906,81760906,18fb197fa8f4bf9824d46b4f186b527ad3add3c0849ad9c18e4b3a79ef239792,ca19b6b358de5963957232c95c3f89d44158d8b43befc27ae0be7324d8c182e5,200,1400,1.0241526365280151,-0.8638831973075867,1.0,-1.0,0.024152636528015137,0.13611680269241333,0.0005833498512544111,0.01852778397520538,0.23940425097942353,0.42462356090545655,0.24535699486732482,0.4180742311477661,1.8532525000046007
6,0.5,1000,800,200,2,81260906,81260906,81760906,18fb197fa8f4bf9824d46b4f186b527ad3add3c0849ad9c18e4b3a79ef239792,ca19b6b358de5963957232c95c3f89d44158d8b43befc27ae0be7324d8c182e5,500,3500,1.1213643550872803,-0.8541029691696167,1.0,-1.0,0.12136435508728027,0.1458970308303833,0.014729306685751453,0.021285943605121815,0.17117707133293153,0.4807744836807251,0.23630380868911743,0.4651947224140167,4.618415600001754
6,0.5,1000,800,200,2,81260906,81260906,81760906,18fb197fa8f4bf9824d46b4f186b527ad3add3c0849ad9c18e4b3a79ef239792,ca19b6b358de5963957232c95c3f89d44158d8b43befc27ae0be7324d8c182e5,1000,7000,1.1170622110366821,-0.8771449327468872,1.0,-1.0,0.11706221103668213,0.12285506725311279,0.013703561252796703,0.015093367549766867,0.12352183818817139,0.4960850739479065,0.2811405164003372,0.46563276410102844,9.202730400000291
6,0.5,1000,800,200,2,81260906,81260906,81760906,18fb197fa8f4bf9824d46b4f186b527ad3add3c0849ad9c18e4b3a79ef239792,ca19b6b358de5963957232c95c3f89d44158d8b43befc27ae0be7324d8c182e5,2000,14000,1.10747230052948,-0.8825643062591553,1.0,-1.0,0.10747230052947998,0.11743569374084473,0.011550295381098863,0.013791142164393477,0.09885773539543152,0.5252179503440857,0.32194968819618225,0.47604217171669005,18.4775934000063
6,0.5,1000,800,200,3,81260907,81260907,81760907,561b8f1221d442279c4d391df57c44a5a1d3cec271391c8ec9c9af6caa818b6d,cf91d7417c781e6437f6d83709cd3eb2037cbc0b15dd31759be82ab6242ac36d,200,1400,0.7070006728172302,-0.8928251266479492,1.0,-1.0,-0.2929993271827698,0.10717487335205078,0.08584860572955577,0.011486453478028125,0.20483927965164184,0.38966886162757874,0.21802526831626892,0.37788586139678954,1.881987200002186
6,0.5,1000,800,200,3,81260907,81260907,81760907,561b8f1221d442279c4d391df57c44a5a1d3cec271391c8ec9c9af6caa818b6d,cf91d7417c781e6437f6d83709cd3eb2037cbc0b15dd31759be82ab6242ac36d,500,3500,0.72987961769104,-0.927039384841919,1.0,-1.0,-0.27012038230895996,0.07296061515808105,0.07296502093873869,0.005323251364245607,0.15846240997314454,0.43987977504730225,0.20659786343574524,0.40886367321014405,4.666296999996121
