design,sigma,scale,error_law,n_total,n_fit,n_val,replication,data_seed,fit_seed,epoch,theta_hat_1,theta_hat_2,error_theta1,error_theta2,train_check_loss,val_check_loss,mean_sigma,hetero_ratio,p10_sigma,p90_sigma
mild_s1_t3,mild_prior,1.0,t3,400,320,80,1,500619712,500619729,20,-0.30029919743537903,-0.022807849571108818,-1.300299197435379,0.9771921504288912,0.49160966873168943,0.5549608469009399,0.6668253327005741,2.7664017049911225,0.3492618983190756,0.9661987109983269
mild_s1_t3,mild_prior,1.0,t3,400,320,80,1,500619712,500619729,60,0.020459596067667007,-0.34455472230911255,-0.979540403932333,0.6554452776908875,0.366653311252594,0.5148739814758301,0.6668253327005741,2.7664017049911225,0.3492618983190756,0.9661987109983269
mild_s1_t3,mild_prior,1.0,t3,400,320,80,2,527923346,527923363,20,0.44374674558639526,-0.2754499316215515,-0.5562532544136047,0.7245500683784485,0.45403364300727844,0.46666765213012695,0.6599564548515505,2.9194137541088416,0.334708876076073,0.9771536964387995
mild_s1_t3,mild_prior,1.0,t3,400,320,80,2,527923346,527923363,60,0.6386956572532654,-0.4743072986602783,-0.3613043427467346,0.5256927013397217,0.33900676369667054,0.44180727005004883,0.6599564548515505,2.9194137541088416,0.334708876076073,0.9771536964387995
paper6_s1_t3,paper_case6,1.0,t3,400,320,80,1,966948276,966948293,20,-0.4065345227718353,-0.5207855105400085,-1.4065345227718353,0.47921448945999146,1.096850872039795,1.3108510971069336,2.0075353184618803,4.3869228036898225,0.7364769626449046,3.2308675818191497
paper6_s1_t3,paper_case6,1.0,t3,400,320,80,1,966948276,966948293,60,-0.29850903153419495,-0.6825664639472961,-1.298509031534195,0.31743353605270386,0.9790760755538941,1.3459562063217163,2.0075353184618803,4.3869228036898225,0.7364769626449046,3.2308675818191497
paper6_s1_t3,paper_case6,1.0,t3,400,320,80,2,68946701,68946718,20,0.759263277053833,0.12089744955301285,-0.240736722946167,1.1208974495530128,1.2030068159103393,1.0151631832122803,2.004341383815295,4.154049560541804,0.7883548955155116,3.274865307267191
paper6_s1_t3,paper_case6,1.0,t3,400,320,80,2,68946701,68946718,60,0.7980977296829224,-0.04840241000056267,-0.20190227031707764,0.9515975899994373,1.0621066093444824,1.0584080219268799,2.004341383815295,4.154049560541804,0.7883548955155116,3.274865307267191
paper4_s1_t3,paper_case4,1.0,t3,400,320,80,1,682329531,682329548,20,0.35567015409469604,-0.15868321061134338,-0.644329845905304,0.8413167893886566,1.0100502252578736,1.107246994972229,1.8097083641173575,4.265332545030869,0.6965226894634783,2.9709008957210035
paper4_s1_t3,paper_case4,1.0,t3,400,320,80,1,682329531,682329548,60,0.4971123933792114,-0.4198899269104004,-0.5028876066207886,0.5801100730895996,0.8350128889083862,1.1674134731292725,1.8097083641173575,4.265332545030869,0.6965226894634783,2.9709008957210035
paper4_s1_t3,paper_case4,1.0,t3,400,320,80,2,419184781,419184798,20,0.2885947823524475,-0.25286465883255005,-0.7114052176475525,0.74713534116745,1.1590999126434327,1.0598777532577515,1.917666751291799,3.9261887735845074,0.7660448161326185,3.007636557162495
paper4_s1_t3,paper_case4,1.0,t3,400,320,80,2,419184781,419184798,60,0.5121622085571289,-0.40864822268486023,-0.4878377914428711,0.5913517773151398,0.9826508641242981,1.1599969863891602,1.917666751291799,3.9261887735845074,0.7660448161326185,3.007636557162495
mild_x10_s1_t3,mild_x10,1.0,t3,400,320,80,1,622861427,622861444,20,-0.6007421612739563,0.12682180106639862,-1.6007421612739563,1.1268218010663986,9.58864631652832,10.847185134887695,16.224729945354376,8.732244855824021,3.289350730145686,28.72341599231565
mild_x10_s1_t3,mild_x10,1.0,t3,400,320,80,1,622861427,622861444,60,-0.7349905967712402,0.17023321986198425,-1.7349905967712402,1.1702332198619843,8.588664245605468,11.635107040405273,16.224729945354376,8.732244855824021,3.289350730145686,28.72341599231565
mild_x10_s1_t3,mild_x10,1.0,t3,400,320,80,2,724859852,724859869,20,0.5301382541656494,0.5999594330787659,-0.4698617458343506,1.5999594330787659,8.876536750793457,8.385153770446777,15.61807767062004,8.416690336960002,3.3836014561845427,28.47872568039223
mild_x10_s1_t3,mild_x10,1.0,t3,400,320,80,2,724859852,724859869,60,0.5763686895370483,0.4732349216938019,-0.42363131046295166,1.4732349216938019,7.886753368377685,8.805822372436523,15.61807767062004,8.416690336960002,3.3836014561845427,28.47872568039223
mild_s10_t3,mild_prior,10.0,t3,400,320,80,1,910049313,910049330,20,0.01665068231523037,0.6251052021980286,-0.9833493176847696,1.6251052021980286,3.706975746154785,3.6705424785614014,6.484669216885648,2.9610336020924524,3.2725643589529456,9.690173031869818
