design,sigma,scale,error_law,n_total,n_fit,n_val,replication,data_seed,fit_seed,epoch,theta_hat_1,theta_hat_2,error_theta1,error_theta2,train_check_loss,val_check_loss,mean_sigma,hetero_ratio,p10_sigma,p90_sigma
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,1,792242379,792242396,10,0.3857160210609436,-0.25922659039497375,-0.6142839789390564,0.7407734096050262,0.39911629557609557,0.4588457942008972,0.19386344642638428,4.706829241541833,0.06692606302608145,0.31500955047243184
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,1,792242379,792242396,20,0.43883761763572693,-0.2939662039279938,-0.5611623823642731,0.7060337960720062,0.243556946516037,0.28696444630622864,0.19386344642638428,4.706829241541833,0.06692606302608145,0.31500955047243184
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,1,792242379,792242396,40,0.5914129614830017,-0.42233145236968994,-0.4085870385169983,0.5776685476303101,0.17740400433540343,0.24480848014354706,0.19386344642638428,4.706829241541833,0.06692606302608145,0.31500955047243184
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,1,792242379,792242396,60,0.7275508046150208,-0.5645328760147095,-0.27244919538497925,0.4354671239852905,0.13905945420265198,0.219852015376091,0.19386344642638428,4.706829241541833,0.06692606302608145,0.31500955047243184
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,1,792242379,792242396,80,0.8058515191078186,-0.6657912731170654,-0.1941484808921814,0.33420872688293457,0.11734455972909927,0.2054101973772049,0.19386344642638428,4.706829241541833,0.06692606302608145,0.31500955047243184
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,1,792242379,792242396,100,0.8371914029121399,-0.7252227663993835,-0.1628085970878601,0.27477723360061646,0.1011383518576622,0.20138640701770782,0.19386344642638428,4.706829241541833,0.06692606302608145,0.31500955047243184
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,1,792242379,792242396,150,0.9029989838600159,-0.7795203924179077,-0.09700101613998413,0.22047960758209229,0.07695397734642029,0.19470205903053284,0.19386344642638428,4.706829241541833,0.06692606302608145,0.31500955047243184
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,1,792242379,792242396,200,0.9392990469932556,-0.7974575161933899,-0.060700953006744385,0.2025424838066101,0.060940992832183835,0.20138339698314667,0.19386344642638428,4.706829241541833,0.06692606302608145,0.31500955047243184
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,2,894240804,894240821,10,0.6300315856933594,-0.04835474118590355,-0.3699684143066406,0.9516452588140965,0.38850308656692506,0.3803060054779053,0.1965255375895885,4.487332416239889,0.07137013517412721,0.32026152111828377
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,2,894240804,894240821,20,0.6692525148391724,-0.14167925715446472,-0.33074748516082764,0.8583207428455353,0.25655961632728574,0.28725001215934753,0.1965255375895885,4.487332416239889,0.07137013517412721,0.32026152111828377
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,2,894240804,894240821,40,0.772435188293457,-0.3676564395427704,-0.22756481170654297,0.6323435604572296,0.17551034092903137,0.2085283100605011,0.1965255375895885,4.487332416239889,0.07137013517412721,0.32026152111828377
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,2,894240804,894240821,60,0.86793053150177,-0.5422616600990295,-0.13206946849822998,0.45773833990097046,0.1356821745634079,0.19194546341896057,0.1965255375895885,4.487332416239889,0.07137013517412721,0.32026152111828377
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,2,894240804,894240821,80,0.9220974445343018,-0.6565006375312805,-0.07790255546569824,0.3434993624687195,0.11570748090744018,0.18710801005363464,0.1965255375895885,4.487332416239889,0.07137013517412721,0.32026152111828377
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,2,894240804,894240821,100,0.9463561773300171,-0.724968433380127,-0.05364382266998291,0.27503156661987305,0.10240306705236435,0.1897951364517212,0.1965255375895885,4.487332416239889,0.07137013517412721,0.32026152111828377
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,2,894240804,894240821,150,0.9382126927375793,-0.793735682964325,-0.061787307262420654,0.20626431703567505,0.08400877416133881,0.20167002081871033,0.1965255375895885,4.487332416239889,0.07137013517412721,0.32026152111828377
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,2,894240804,894240821,200,0.932763934135437,-0.8361634016036987,-0.06723606586456299,0.16383659839630127,0.0737906739115715,0.21866264939308167,0.1965255375895885,4.487332416239889,0.07137013517412721,0.32026152111828377
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,3,646727926,646727943,10,0.43982815742492676,-0.4633985459804535,-0.5601718425750732,0.5366014540195465,0.38636682629585267,0.41968607902526855,0.19841191487136423,4.299714231080532,0.07486394080919594,0.3218935516920704
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,3,646727926,646727943,20,0.4816689193248749,-0.4920414388179779,-0.5183310806751251,0.5079585611820221,0.22595842480659484,0.28501826524734497,0.19841191487136423,4.299714231080532,0.07486394080919594,0.3218935516920704
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,3,646727926,646727943,40,0.6159304976463318,-0.61354660987854,-0.3840695023536682,0.38645339012145996,0.15287311673164367,0.22087916731834412,0.19841191487136423,4.299714231080532,0.07486394080919594,0.3218935516920704
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,3,646727926,646727943,60,0.7474849820137024,-0.7451775670051575,-0.2525150179862976,0.25482243299484253,0.11602093577384949,0.19220054149627686,0.19841191487136423,4.299714231080532,0.07486394080919594,0.3218935516920704
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,3,646727926,646727943,80,0.8291902542114258,-0.8454886078834534,-0.17080974578857422,0.15451139211654663,0.09466038644313812,0.17584314942359924,0.19841191487136423,4.299714231080532,0.07486394080919594,0.3218935516920704
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,3,646727926,646727943,100,0.8436287641525269,-0.8867484927177429,-0.15637123584747314,0.11325150728225708,0.0862652450799942,0.16779235005378723,0.19841191487136423,4.299714231080532,0.07486394080919594,0.3218935516920704
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,3,646727926,646727943,150,0.8706578612327576,-0.9407234787940979,-0.12934213876724243,0.0592765212059021,0.06408985704183578,0.1678890585899353,0.19841191487136423,4.299714231080532,0.07486394080919594,0.3218935516920704
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,3,646727926,646727943,200,0.8798528909683228,-0.9690534472465515,-0.12014710903167725,0.030946552753448486,0.05672229081392288,0.17107059061527252,0.19841191487136423,4.299714231080532,0.07486394080919594,0.3218935516920704
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,4,39174735,39174752,10,0.6518508195877075,0.5048119425773621,-0.3481491804122925,1.504811942577362,0.42882962226867677,0.41873103380203247,0.19982237846455775,4.762533439600956,0.06903872432175832,0.32879923320976584
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,4,39174735,39174752,20,0.6426931023597717,0.3526305854320526,-0.35730689764022827,1.3526305854320526,0.30418543219566346,0.3672574758529663,0.19982237846455775,4.762533439600956,0.06903872432175832,0.32879923320976584
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,4,39174735,39174752,40,0.6969622373580933,0.08902817964553833,-0.30303776264190674,1.0890281796455383,0.22969079315662383,0.291949599981308,0.19982237846455775,4.762533439600956,0.06903872432175832,0.32879923320976584
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,4,39174735,39174752,60,0.7777669429779053,-0.13686105608940125,-0.22223305702209473,0.8631389439105988,0.18784691393375397,0.24960379302501678,0.19982237846455775,4.762533439600956,0.06903872432175832,0.32879923320976584
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,4,39174735,39174752,80,0.8337710499763489,-0.3213973939418793,-0.16622895002365112,0.6786026060581207,0.1523969829082489,0.2191409319639206,0.19982237846455775,4.762533439600956,0.06903872432175832,0.32879923320976584
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,4,39174735,39174752,100,0.8785898685455322,-0.4631625711917877,-0.12141013145446777,0.5368374288082123,0.12880328744649888,0.1962621808052063,0.19982237846455775,4.762533439600956,0.06903872432175832,0.32879923320976584
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,4,39174735,39174752,150,0.9192177653312683,-0.6795653104782104,-0.08078223466873169,0.32043468952178955,0.09040588140487671,0.17834655940532684,0.19982237846455775,4.762533439600956,0.06903872432175832,0.32879923320976584
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,4,39174735,39174752,200,0.9305157661437988,-0.7515860199928284,-0.06948423385620117,0.24841398000717163,0.07408255264163018,0.18193110823631287,0.19982237846455775,4.762533439600956,0.06903872432175832,0.32879923320976584
case6_c0.1_t3,paper_case6,0.1,t3,400,320,80,5,141173160,141173177,10,0.16106192767620087,0.08581779152154922,-0.8389380723237991,1.0858177915215492,0.4063703536987305,0.43041592836380005,0.1952664995387906,4.935077952225145,0.06521445226268624,0.32183840552802206
