design,sigma,scale,error_law,n_total,epoch,coef,Q,mean_theta,bias_vs_theta0,rmse_vs_theta0,mean_train_check,mean_val_check,mean_hetero_ratio,theta_tau,bias_vs_theta_tau,rmse_vs_theta_tau
case6_c0.1_t3,paper_case6,0.1,t3,400,10,1,5,0.4536977022886276,-0.5463022977113724,0.5749850204302447,0.4018372368812561,0.42159696817398074,4.638297456137671,1.0,-0.5463022977113724,0.5749850204302447
case6_c0.1_t3,paper_case6,0.1,t3,400,10,2,5,-0.0360700286924839,0.9639299713075161,1.0184080049140702,0.4018372368812561,0.42159696817398074,4.638297456137671,-1.0,0.9639299713075161,1.0184080049140702
case6_c0.1_t3,paper_case6,0.1,t3,400,20,1,5,0.48746118545532224,-0.5125388145446778,0.5390528673038023,0.2632795226573944,0.31661008596420287,4.638297456137671,1.0,-0.5125388145446778,0.5390528673038023
case6_c0.1_t3,paper_case6,0.1,t3,400,20,2,5,-0.11415103571489453,0.8858489642851055,0.9307470538096725,0.2632795226573944,0.31661008596420287,4.638297456137671,-1.0,0.8858489642851055,0.9307470538096725
case6_c0.1_t3,paper_case6,0.1,t3,400,40,1,5,0.6078452706336975,-0.39215472936630247,0.4158112932120303,0.18990478694438934,0.256517568230629,4.638297456137671,1.0,-0.39215472936630247,0.4158112932120303
case6_c0.1_t3,paper_case6,0.1,t3,400,40,2,5,-0.30151652097702025,0.6984834790229797,0.7375654294567717,0.18990478694438934,0.256517568230629,4.638297456137671,-1.0,0.6984834790229797,0.7375654294567717
case6_c0.1_t3,paper_case6,0.1,t3,400,60,1,5,0.7354550719261169,-0.2645449280738831,0.28336449491792004,0.14971787869930267,0.22871707677841185,4.638297456137671,1.0,-0.2645449280738831,0.28336449491792004
case6_c0.1_t3,paper_case6,0.1,t3,400,60,2,5,-0.4715447723865509,0.5284552276134491,0.5669917561741902,0.14971787869930267,0.22871707677841185,4.638297456137671,-1.0,0.5284552276134491,0.5669917561741902
case6_c0.1_t3,paper_case6,0.1,t3,400,80,1,5,0.8147713661193847,-0.18522863388061522,0.2005459328554894,0.12377205669879913,0.2123231291770935,4.638297456137671,1.0,-0.18522863388061522,0.2005459328554894
case6_c0.1_t3,paper_case6,0.1,t3,400,80,2,5,-0.5975987792015076,0.40240122079849244,0.43937409362522223,0.12377205669879913,0.2123231291770935,4.638297456137671,-1.0,0.40240122079849244,0.43937409362522223
