design,sigma,scale,error_law,n_total,n_fit,n_val,replication,data_seed,fit_seed,epoch,theta_hat_1,theta_hat_2,error_theta1,error_theta2,train_check_loss,val_check_loss,mean_sigma,hetero_ratio,p10_sigma,p90_sigma
case6_c1_t3,paper_case6,1.0,t3,400,320,80,1,785790690,785790707,10,-0.3748295307159424,0.07437444478273392,-1.3748295307159424,1.074374444782734,1.098695731163025,1.2767622470855713,1.9520493153903586,4.973327636803237,0.664367526297986,3.3041173795323755
case6_c1_t3,paper_case6,1.0,t3,400,320,80,1,785790690,785790707,20,-0.3045310974121094,0.024169502779841423,-1.3045310974121094,1.0241695027798414,1.0390662670135498,1.2677829265594482,1.9520493153903586,4.973327636803237,0.664367526297986,3.3041173795323755
case6_c1_t3,paper_case6,1.0,t3,400,320,80,1,785790690,785790707,40,-0.12192928045988083,-0.08304813504219055,-1.1219292804598808,0.9169518649578094,0.9563356876373291,1.3326441049575806,1.9520493153903586,4.973327636803237,0.664367526297986,3.3041173795323755
case6_c1_t3,paper_case6,1.0,t3,400,320,80,1,785790690,785790707,60,0.02710556611418724,-0.2070225328207016,-0.9728944338858128,0.7929774671792984,0.8732635498046875,1.305479884147644,1.9520493153903586,4.973327636803237,0.664367526297986,3.3041173795323755
case6_c1_t3,paper_case6,1.0,t3,400,320,80,1,785790690,785790707,80,0.16183732450008392,-0.29521483182907104,-0.8381626754999161,0.704785168170929,0.7973418951034545,1.3249104022979736,1.9520493153903586,4.973327636803237,0.664367526297986,3.3041173795323755
case6_c1_t3,paper_case6,1.0,t3,400,320,80,1,785790690,785790707,100,0.28202053904533386,-0.3517538011074066,-0.7179794609546661,0.6482461988925934,0.7326103568077087,1.320107102394104,1.9520493153903586,4.973327636803237,0.664367526297986,3.3041173795323755
case6_c1_t3,paper_case6,1.0,t3,400,320,80,1,785790690,785790707,150,0.4640381932258606,-0.4343695342540741,-0.5359618067741394,0.5656304657459259,0.5994850277900696,1.3511618375778198,1.9520493153903586,4.973327636803237,0.664367526297986,3.3041173795323755
case6_c1_t3,paper_case6,1.0,t3,400,320,80,1,785790690,785790707,200,0.5983956456184387,-0.49136948585510254,-0.4016043543815613,0.5086305141448975,0.5130818605422973,1.4490902423858643,1.9520493153903586,4.973327636803237,0.664367526297986,3.3041173795323755
case6_c1_t3,paper_case6,1.0,t3,400,320,80,2,887789115,887789132,10,0.7206957936286926,-0.572674036026001,-0.2793042063713074,0.427325963973999,1.1921587824821471,1.0981518030166626,1.9654988830977151,5.154158539950922,0.6367242572257427,3.2817777679739693
case6_c1_t3,paper_case6,1.0,t3,400,320,80,2,887789115,887789132,20,0.7069751620292664,-0.5886856317520142,-0.29302483797073364,0.41131436824798584,1.120273268222809,1.0272009372711182,1.9654988830977151,5.154158539950922,0.6367242572257427,3.2817777679739693
case6_c1_t3,paper_case6,1.0,t3,400,320,80,2,887789115,887789132,40,0.6810203790664673,-0.6347676515579224,-0.3189796209335327,0.36523234844207764,1.0534854531288147,1.022766351699829,1.9654988830977151,5.154158539950922,0.6367242572257427,3.2817777679739693
case6_c1_t3,paper_case6,1.0,t3,400,320,80,2,887789115,887789132,60,0.6955415606498718,-0.675261378288269,-0.3044584393501282,0.32473862171173096,0.9679149985313416,1.0318834781646729,1.9654988830977151,5.154158539950922,0.6367242572257427,3.2817777679739693
case6_c1_t3,paper_case6,1.0,t3,400,320,80,2,887789115,887789132,80,0.7514556050300598,-0.6959877014160156,-0.24854439496994019,0.3040122985839844,0.8695718050003052,1.1362544298171997,1.9654988830977151,5.154158539950922,0.6367242572257427,3.2817777679739693
case6_c1_t3,paper_case6,1.0,t3,400,320,80,2,887789115,887789132,100,0.7834760546684265,-0.7085904479026794,-0.2165239453315735,0.29140955209732056,0.7572651147842407,1.1598525047302246,1.9654988830977151,5.154158539950922,0.6367242572257427,3.2817777679739693
case6_c1_t3,paper_case6,1.0,t3,400,320,80,2,887789115,887789132,150,0.7656337022781372,-0.6733242273330688,-0.2343662977218628,0.32667577266693115,0.6170700311660766,1.2131187915802002,1.9654988830977151,5.154158539950922,0.6367242572257427,3.2817777679739693
case6_c1_t3,paper_case6,1.0,t3,400,320,80,2,887789115,887789132,200,0.7801847457885742,-0.6162396669387817,-0.21981525421142578,0.38376033306121826,0.5229276776313782,1.3260185718536377,1.9654988830977151,5.154158539950922,0.6367242572257427,3.2817777679739693
case6_c1_t3,paper_case6,1.0,t3,400,320,80,3,930724621,930724638,10,-0.5660939812660217,-0.13700643181800842,-1.5660939812660217,0.8629935681819916,1.2278645992279054,1.1039373874664307,2.041954418017907,4.2303113859752415,0.7878583750147684,3.3328862543609263
case6_c1_t3,paper_case6,1.0,t3,400,320,80,3,930724621,930724638,20,-0.5069088935852051,-0.142380028963089,-1.506908893585205,0.857619971036911,1.148388409614563,1.0071115493774414,2.041954418017907,4.2303113859752415,0.7878583750147684,3.3328862543609263
case6_c1_t3,paper_case6,1.0,t3,400,320,80,3,930724621,930724638,40,-0.3738917410373688,-0.21882236003875732,-1.3738917410373688,0.7811776399612427,1.095009183883667,0.9838145971298218,2.041954418017907,4.2303113859752415,0.7878583750147684,3.3328862543609263
case6_c1_t3,paper_case6,1.0,t3,400,320,80,3,930724621,930724638,60,-0.2483167201280594,-0.31876417994499207,-1.2483167201280594,0.6812358200550079,1.0236884832382203,0.9975072145462036,2.041954418017907,4.2303113859752415,0.7878583750147684,3.3328862543609263
case6_c1_t3,paper_case6,1.0,t3,400,320,80,3,930724621,930724638,80,-0.13688847422599792,-0.3916872441768646,-1.136888474225998,0.6083127558231354,0.9502511858940125,1.0113452672958374,2.041954418017907,4.2303113859752415,0.7878583750147684,3.3328862543609263
case6_c1_t3,paper_case6,1.0,t3,400,320,80,3,930724621,930724638,100,-0.040138304233551025,-0.4400942623615265,-1.040138304233551,0.5599057376384735,0.8970157146453858,1.0685865879058838,2.041954418017907,4.2303113859752415,0.7878583750147684,3.3328862543609263
