design,sigma,scale,error_law,n_total,n_fit,n_val,replication,data_seed,fit_seed,epoch,theta_hat_1,theta_hat_2,error_theta1,error_theta2,train_check_loss,val_check_loss,mean_sigma,hetero_ratio,p10_sigma,p90_sigma
case6_full_c20,paper_case6,20.0,t3,400,320,80,1,643398189,643398206,10,0.25159478187561035,0.41408267617225647,-0.7484052181243896,1.4140826761722565,20.885295486450197,20.413795471191406,39.958232594463496,4.599010580877335,14.167018167204926,65.15426645045689
case6_full_c20,paper_case6,20.0,t3,400,320,80,1,643398189,643398206,20,0.19175471365451813,0.364833801984787,-0.8082452863454819,1.364833801984787,20.40966339111328,21.19988250732422,39.958232594463496,4.599010580877335,14.167018167204926,65.15426645045689
case6_full_c20,paper_case6,20.0,t3,400,320,80,1,643398189,643398206,40,0.31354275345802307,0.4784298539161682,-0.6864572465419769,1.4784298539161682,19.71805610656738,20.91128921508789,39.958232594463496,4.599010580877335,14.167018167204926,65.15426645045689
case6_full_c20,paper_case6,20.0,t3,400,320,80,1,643398189,643398206,60,0.37054964900016785,0.524348258972168,-0.6294503509998322,1.524348258972168,19.193524169921876,21.126605987548828,39.958232594463496,4.599010580877335,14.167018167204926,65.15426645045689
case6_full_c20,paper_case6,20.0,t3,400,320,80,1,643398189,643398206,80,0.4891960322856903,0.5521600246429443,-0.5108039677143097,1.5521600246429443,18.41152877807617,21.033275604248047,39.958232594463496,4.599010580877335,14.167018167204926,65.15426645045689
case6_full_c20,paper_case6,20.0,t3,400,320,80,1,643398189,643398206,100,0.6412702202796936,0.5556433796882629,-0.3587297797203064,1.555643379688263,17.60335502624512,20.56690788269043,39.958232594463496,4.599010580877335,14.167018167204926,65.15426645045689
case6_full_c20,paper_case6,20.0,t3,400,320,80,1,643398189,643398206,150,0.9775477051734924,0.5816641449928284,-0.02245229482650757,1.5816641449928284,16.026634407043456,20.75282859802246,39.958232594463496,4.599010580877335,14.167018167204926,65.15426645045689
case6_full_c20,paper_case6,20.0,t3,400,320,80,1,643398189,643398206,200,1.2480098009109497,0.6790894865989685,0.2480098009109497,1.6790894865989685,14.637603187561036,21.559772491455078,39.958232594463496,4.599010580877335,14.167018167204926,65.15426645045689
case6_full_c20,paper_case6,20.0,t3,400,320,80,2,745396614,745396631,10,-0.48651695251464844,-0.2273479402065277,-1.4865169525146484,0.7726520597934723,24.834166717529296,23.19118881225586,41.31378887763471,4.907016042658524,13.940089696007867,68.4042437744094
case6_full_c20,paper_case6,20.0,t3,400,320,80,2,745396614,745396631,20,-0.42673981189727783,-0.21345707774162292,-1.4267398118972778,0.7865429222583771,24.596249771118163,23.786577224731445,41.31378887763471,4.907016042658524,13.940089696007867,68.4042437744094
case6_full_c20,paper_case6,20.0,t3,400,320,80,2,745396614,745396631,40,-0.4812309443950653,-0.3722361922264099,-1.4812309443950653,0.6277638077735901,24.191238784790038,23.951711654663086,41.31378887763471,4.907016042658524,13.940089696007867,68.4042437744094
