design,sigma,scale,error_law,n_total,epoch,coef,Q,mean_theta,bias_vs_theta0,rmse_vs_theta0,mean_train_check,mean_val_check,mean_hetero_ratio,theta_tau,bias_vs_theta_tau,rmse_vs_theta_tau
case6_full_c20,paper_case6,20.0,t3,400,10,1,20,-0.04823508863337338,-1.0482350886333733,1.134516271966984,22.113334102630613,23.245517635345458,4.593951202124587,1.0,-1.0482350886333733,1.134516271966984
case6_full_c20,paper_case6,20.0,t3,400,10,2,20,-0.07470196057111025,0.9252980394288898,1.0375220621309655,22.113334102630613,23.245517635345458,4.593951202124587,-1.0,0.9252980394288898,1.0375220621309655
case6_full_c20,paper_case6,20.0,t3,400,20,1,20,-0.027342177461832762,-1.0273421774618328,1.1158420843023136,21.764148044586182,23.625622367858888,4.593951202124587,1.0,-1.0273421774618328,1.1158420843023136
case6_full_c20,paper_case6,20.0,t3,400,20,2,20,-0.08664649901911617,0.9133535009808839,1.0316250904936348,21.764148044586182,23.625622367858888,4.593951202124587,-1.0,0.9133535009808839,1.0316250904936348
case6_full_c20,paper_case6,20.0,t3,400,40,1,20,0.01236676648259163,-0.9876332335174084,1.0977559974160849,20.81544367790222,24.17763395309448,4.593951202124587,1.0,-0.9876332335174084,1.0977559974160849
case6_full_c20,paper_case6,20.0,t3,400,40,2,20,-0.11763579919934272,0.8823642008006573,1.0148309155892243,20.81544367790222,24.17763395309448,4.593951202124587,-1.0,0.8823642008006573,1.0148309155892243
case6_full_c20,paper_case6,20.0,t3,400,60,1,20,0.022092585638165473,-0.9779074143618345,1.111021630787835,19.746835794448852,24.753151893615723,4.593951202124587,1.0,-0.9779074143618345,1.111021630787835
case6_full_c20,paper_case6,20.0,t3,400,60,2,20,-0.1522600849159062,0.8477399150840939,0.990297311936672,19.746835794448852,24.753151893615723,4.593951202124587,-1.0,0.8477399150840939,0.990297311936672
case6_full_c20,paper_case6,20.0,t3,400,80,1,20,0.027439663372933864,-0.9725603366270661,1.1306425829603186,18.688411960601808,25.225775909423827,4.593951202124587,1.0,-0.9725603366270661,1.1306425829603186
case6_full_c20,paper_case6,20.0,t3,400,80,2,20,-0.18949227929115295,0.810507720708847,0.9645312507365946,18.688411960601808,25.225775909423827,4.593951202124587,-1.0,0.810507720708847,0.9645312507365946
case6_full_c20,paper_case6,20.0,t3,400,100,1,20,0.03654072917997837,-0.9634592708200216,1.1491063199019236,17.649653110504147,25.685395526885987,4.593951202124587,1.0,-0.9634592708200216,1.1491063199019236
case6_full_c20,paper_case6,20.0,t3,400,100,2,20,-0.22823380455374717,0.7717661954462528,0.9402252739250224,17.649653110504147,25.685395526885987,4.593951202124587,-1.0,0.7717661954462528,0.9402252739250224
case6_full_c20,paper_case6,20.0,t3,400,150,1,20,0.05035792365670204,-0.949642076343298,1.2001473157229912,15.487965431213377,26.418284511566164,4.593951202124587,1.0,-0.949642076343298,1.2001473157229912
case6_full_c20,paper_case6,20.0,t3,400,150,2,20,-0.3121822439134121,0.6878177560865879,0.9014528332989595,15.487965431213377,26.418284511566164,4.593951202124587,-1.0,0.6878177560865879,0.9014528332989595
case6_full_c20,paper_case6,20.0,t3,400,200,1,20,0.06723899394273758,-0.9327610060572624,1.2414420373488944,13.900484914779662,27.28468236923218,4.593951202124587,1.0,-0.9327610060572624,1.2414420373488944
case6_full_c20,paper_case6,20.0,t3,400,200,2,20,-0.3669724908657372,0.6330275091342628,0.8944063559500736,13.900484914779662,27.28468236923218,4.593951202124587,-1.0,0.6330275091342628,0.8944063559500736
case6_nox1_c20,case6_no_x1,20.0,t3,400,10,1,20,-0.01897387015633285,-1.018973870156333,1.097954373051696,20.206378660202027,20.773926734924316,4.311037218326054,,,
case6_nox1_c20,case6_no_x1,20.0,t3,400,10,2,20,-0.1337846032343805,0.8662153967656195,0.9249238523003172,20.206378660202027,20.773926734924316,4.311037218326054,,,
case6_nox1_c20,case6_no_x1,20.0,t3,400,20,1,20,0.008573796786367893,-0.9914262032136321,1.0789150428305643,19.907313470840457,20.808945083618163,4.311037218326054,,,
case6_nox1_c20,case6_no_x1,20.0,t3,400,20,2,20,-0.13240005504339933,0.8675999449566006,0.9293183188473242,19.907313470840457,20.808945083618163,4.311037218326054,,,
case6_nox1_c20,case6_no_x1,20.0,t3,400,40,1,20,-0.017726310575380922,-1.0177263105753809,1.1218638280515465,18.985680408477783,21.27250509262085,4.311037218326054,,,
case6_nox1_c20,case6_no_x1,20.0,t3,400,40,2,20,-0.2237749528605491,0.776225047139451,0.8486562340620848,18.985680408477783,21.27250509262085,4.311037218326054,,,
