design,sigma,scale,error_law,n_total,epoch,coef,Q,mean_theta,bias_vs_theta0,rmse_vs_theta0,mean_train_check,mean_val_check,mean_hetero_ratio,theta_tau,bias_vs_theta_tau,rmse_vs_theta_tau
interact_s1_t3,interaction,1.0,t3,400,10,1,3,0.5798980991045634,-0.4201019008954366,0.42025722592575865,5.9347239812215165,5.757761160532634,54.85007449712035,,,
interact_s1_t3,interaction,1.0,t3,400,10,2,3,-0.22009865442911783,0.7799013455708822,0.7817429195028937,5.9347239812215165,5.757761160532634,54.85007449712035,,,
interact_s1_t3,interaction,1.0,t3,400,20,1,3,0.6199010809262594,-0.38009891907374066,0.3804660930397112,5.8241964658101395,5.808667182922363,54.85007449712035,,,
interact_s1_t3,interaction,1.0,t3,400,20,2,3,-0.24330135186513266,0.7566986481348673,0.7574944263028973,5.8241964658101395,5.808667182922363,54.85007449712035,,,
interact_s1_t3,interaction,1.0,t3,400,40,1,3,0.6492536067962646,-0.35074639320373535,0.3591505583992248,5.576394780476888,5.979677518208821,54.85007449712035,,,
interact_s1_t3,interaction,1.0,t3,400,40,2,3,-0.3067820171515147,0.6932179828484853,0.6954001244232669,5.576394780476888,5.979677518208821,54.85007449712035,,,
interact_s1_t3,interaction,1.0,t3,400,60,1,3,0.6848722100257874,-0.31512778997421265,0.33911111120797266,5.274489084879558,6.295382976531982,54.85007449712035,,,
interact_s1_t3,interaction,1.0,t3,400,60,2,3,-0.30868461231390637,0.6913153876860937,0.7000599491132485,5.274489084879558,6.295382976531982,54.85007449712035,,,
interact_s1_t3,interaction,1.0,t3,400,80,1,3,0.706194539864858,-0.293805460135142,0.3639891107295022,4.947942717870077,6.5272321701049805,54.85007449712035,,,
interact_s1_t3,interaction,1.0,t3,400,80,2,3,-0.29476723571618396,0.705232764283816,0.7222532618167511,4.947942717870077,6.5272321701049805,54.85007449712035,,,
interact_s1_t3,interaction,1.0,t3,400,100,1,3,0.7014539241790771,-0.29854607582092285,0.4138870910892111,4.632512092590332,6.735022862752278,54.85007449712035,,,
interact_s1_t3,interaction,1.0,t3,400,100,2,3,-0.27013102918863297,0.729868970811367,0.7580345179565904,4.632512092590332,6.735022862752278,54.85007449712035,,,
mild_s1_t3,mild_prior,1.0,t3,400,10,1,3,0.7679405808448792,-0.23205941915512085,0.23226741334047285,0.5181240479151409,0.5531199971834818,2.9608114402583863,1.0,-0.23205941915512085,0.23226741334047285
mild_s1_t3,mild_prior,1.0,t3,400,10,2,3,0.0785422349969546,1.0785422349969547,1.0785855381855844,0.5181240479151409,0.5531199971834818,2.9608114402583863,-1.0,1.0785422349969547,1.0785855381855844
mild_s1_t3,mild_prior,1.0,t3,400,20,1,3,0.7914032340049744,-0.20859676599502563,0.20923272745601817,0.4171234051386515,0.46484869718551636,2.9608114402583863,1.0,-0.20859676599502563,0.20923272745601817
