n,metric,pairs,mean_change,mc_se,ci_low,ci_high,fraction_improved
500,S,50,-0.02092785544269289,0.00578710456620555,-0.03255747747361711,-0.00929823341176867,0.72
500,E,50,-7.513124541332684e-05,0.005563375861960683,-0.011255153612452053,0.011104891121625398,0.54
500,T,50,-0.0016329114264858934,7.310799692866685e-05,-0.0017798274467498627,-0.001485995406221924,1.0
500,R_theta,50,-0.2396697669284467,0.00041970128297793934,-0.2405131882337105,-0.23882634562318286,1.0
500,root_n_G,50,-0.008204767389039023,0.011022945493038077,-0.030356205692073694,0.01394667091399565,0.52
500,root_n_a,50,-0.3524574587347252,0.04791668210115258,-0.4487496365305953,-0.25616528093885516,0.82
500,final_training_loss,50,-0.0007976415818681326,2.80627323700584e-05,-0.0008540357539251871,-0.0007412474098110782,1.0
1000,S,50,0.0047025021913156325,0.006472733721838831,-0.00830494321262306,0.017709947595254325,0.46
1000,E,50,-0.008185943158741575,0.005204762940796335,-0.018645305879693846,0.002273419562210697,0.52
1000,T,50,-1.9819310210270683e-05,7.468557390028548e-05,-0.0001699055900910702,0.00013026696967052882,0.54
1000,R_theta,50,-0.028386146652241488,0.038791817640879855,-0.10634122278658682,0.049568929482103855,0.54
1000,root_n_G,50,-0.04497058510928079,0.01340933482683463,-0.07191765232366236,-0.018023517894899223,0.68
1000,root_n_a,50,-0.18044960752803177,0.0438402262323063,-0.26854984055461817,-0.09234937450144534,0.78
1000,final_training_loss,50,-0.00036428684519698165,1.569864270710208e-05,-0.0003958344488377135,-0.0003327392415562498,1.0
2000,S,50,-0.009909019939242538,0.0048057688145977575,-0.01956657394442613,-0.00025146593405894584,0.66
2000,E,50,0.002953586634027836,0.004790134145987418,-0.006672548328275695,0.012579721596331368,0.48
2000,T,50,-9.044746844303594e-05,3.159777041616908e-05,-0.0001539455654198642,-2.6949371466207704e-05,0.64
2000,R_theta,50,-0.04443940799827045,0.02109085269462732,-0.086823063303334,-0.0020557526932069026,0.56
2000,root_n_G,50,-0.1345502578153696,0.015140996553025981,-0.1649772295537898,-0.10412328607694943,0.9
2000,root_n_a,50,-0.3192875109457627,0.049917411474716254,-0.4196003049469434,-0.21897471694458198,0.84
2000,final_training_loss,50,-0.0002101304012288585,1.1424922612900011e-05,-0.00023308964279786026,-0.00018717115965985676,1.0
4000,S,50,-0.011811451808072566,0.005690793431421861,-0.02324752936747567,-0.00037537424866946126,0.62
4000,E,50,0.0029670959417689774,0.006406244282253786,-0.009906733930849006,0.015840925814386963,0.56
4000,T,50,-7.802261636010273e-05,2.2236252824719966e-05,-0.00012270803940320508,-3.333719331700039e-05,0.68
4000,R_theta,50,-0.04269102267704633,0.02782444544348588,-0.09860633922712905,0.013224293873036384,0.56
4000,root_n_G,50,-0.3153354136925499,0.04166900081525861,-0.3990724058868117,-0.23159842149828813,0.96
4000,root_n_a,50,-0.27622147683181514,0.050738150291827336,-0.378183607236013,-0.17425934642761726,0.84
4000,final_training_loss,50,-0.00031687611297019804,4.336322523482065e-05,-0.0004040177766041513,-0.00022973444933624472,1.0
