n,stage,metric,epsilon,probability,ci_low,ci_high,completed_reps
500,baseline,S,0.02,1.0,0.9286524008666414,1.0,50
500,baseline,S,0.05,1.0,0.9286524008666414,1.0,50
500,baseline,S,0.1,1.0,0.9286524008666414,1.0,50
500,baseline,E,0.02,0.88,0.7619518261679701,0.9438239984906773,50
500,baseline,E,0.05,0.72,0.5833487630404344,0.8252582933408878,50
500,baseline,E,0.1,0.46,0.3296965219222435,0.5960112860084253,50
500,baseline,T,0.02,0.54,0.40398871399157477,0.6703034780777566,50
500,baseline,T,0.05,0.0,6.938893903907228e-18,0.07134759913335872,50
500,baseline,T,0.1,0.0,6.938893903907228e-18,0.07134759913335872,50
500,baseline,R_score,0.02,1.0,0.9286524008666414,1.0,50
500,baseline,R_score,0.05,1.0,0.9286524008666414,1.0,50
500,baseline,R_score,0.1,1.0,0.9286524008666414,1.0,50
500,baseline,R_theta,0.1,1.0,0.9286524008666414,1.0,50
500,baseline,R_theta,0.25,1.0,0.9286524008666414,1.0,50
500,baseline,R_theta,0.5,1.0,0.9286524008666414,1.0,50
500,polished,S,0.02,1.0,0.9286524008666414,1.0,50
500,polished,S,0.05,1.0,0.9286524008666414,1.0,50
500,polished,S,0.1,1.0,0.9286524008666414,1.0,50
500,polished,E,0.02,0.86,0.7381380628941446,0.9304916657298371,50
500,polished,E,0.05,0.76,0.6258731624205708,0.8570260860300828,50
500,polished,E,0.1,0.52,0.38511744890044614,0.6520286471342196,50
500,polished,T,0.02,0.42,0.2937500335471198,0.5576655823142176,50
500,polished,T,0.05,0.0,6.938893903907228e-18,0.07134759913335872,50
500,polished,T,0.1,0.0,6.938893903907228e-18,0.07134759913335872,50
500,polished,R_score,0.02,1.0,0.9286524008666414,1.0,50
500,polished,R_score,0.05,1.0,0.9286524008666414,1.0,50
500,polished,R_score,0.1,1.0,0.9286524008666414,1.0,50
500,polished,R_theta,0.1,1.0,0.9286524008666414,1.0,50
500,polished,R_theta,0.25,1.0,0.9286524008666414,1.0,50
500,polished,R_theta,0.5,1.0,0.9286524008666414,1.0,50
1000,baseline,S,0.02,0.84,0.7148578393696501,0.916625793219666,50
1000,baseline,S,0.05,0.6,0.4618143774758936,0.7239161026974346,50
1000,baseline,S,0.1,0.26,0.15871527493552393,0.39553157264848837,50
1000,baseline,E,0.02,0.88,0.7619518261679701,0.9438239984906773,50
1000,baseline,E,0.05,0.72,0.5833487630404344,0.8252582933408878,50
1000,baseline,E,0.1,0.5,0.3664451431682858,0.6335548568317142,50
1000,baseline,T,0.02,0.0,6.938893903907228e-18,0.07134759913335872,50
1000,baseline,T,0.05,0.0,6.938893903907228e-18,0.07134759913335872,50
1000,baseline,T,0.1,0.0,6.938893903907228e-18,0.07134759913335872,50
1000,baseline,R_score,0.02,0.88,0.7619518261679701,0.9438239984906773,50
1000,baseline,R_score,0.05,0.68,0.5418970269185592,0.7924178373934316,50
1000,baseline,R_score,0.1,0.48,0.34797135286578046,0.6148825510995539,50
1000,baseline,R_theta,0.1,0.96,0.8653990931249297,0.9889611156723802,50
1000,baseline,R_theta,0.25,0.84,0.7148578393696501,0.916625793219666,50
1000,baseline,R_theta,0.5,0.68,0.5418970269185592,0.7924178373934316,50
1000,polished,S,0.02,0.86,0.7381380628941446,0.9304916657298371,50
1000,polished,S,0.05,0.64,0.501410168761127,0.7586125034815325,50
1000,polished,S,0.1,0.28,0.17474170665911232,0.4166512369595657,50
1000,polished,E,0.02,0.84,0.7148578393696501,0.916625793219666,50
1000,polished,E,0.05,0.66,0.521538260502326,0.7756305077749992,50
1000,polished,E,0.1,0.48,0.34797135286578046,0.6148825510995539,50
1000,polished,T,0.02,0.0,6.938893903907228e-18,0.07134759913335872,50
1000,polished,T,0.05,0.0,6.938893903907228e-18,0.07134759913335872,50
1000,polished,T,0.1,0.0,6.938893903907228e-18,0.07134759913335872,50
1000,polished,R_score,0.02,0.84,0.7148578393696501,0.916625793219666,50
1000,polished,R_score,0.05,0.68,0.5418970269185592,0.7924178373934316,50
1000,polished,R_score,0.1,0.42,0.2937500335471198,0.5576655823142176,50
1000,polished,R_theta,0.1,0.96,0.8653990931249297,0.9889611156723802,50
1000,polished,R_theta,0.25,0.84,0.7148578393696501,0.916625793219666,50
1000,polished,R_theta,0.5,0.68,0.5418970269185592,0.7924178373934316,50
2000,baseline,S,0.02,0.96,0.8653990931249297,0.9889611156723802,50
2000,baseline,S,0.05,0.78,0.6475845041874634,0.8724608402978559,50
2000,baseline,S,0.1,0.38,0.25862789310193596,0.5184955306900703,50
2000,baseline,E,0.02,0.84,0.7148578393696501,0.916625793219666,50
2000,baseline,E,0.05,0.72,0.5833487630404344,0.8252582933408878,50
2000,baseline,E,0.1,0.3,0.19103553500880954,0.437503504644534,50
2000,baseline,T,0.02,0.0,6.938893903907228e-18,0.07134759913335872,50
2000,baseline,T,0.05,0.0,6.938893903907228e-18,0.07134759913335872,50
2000,baseline,T,0.1,0.0,6.938893903907228e-18,0.07134759913335872,50
2000,baseline,R_score,0.02,0.82,0.6920394632569922,0.9022980732976582,50
2000,baseline,R_score,0.05,0.74,0.6044684273515117,0.8412847250644762,50
2000,baseline,R_score,0.1,0.52,0.38511744890044614,0.6520286471342196,50
2000,baseline,R_theta,0.1,0.9,0.7863976856252035,0.9565242350681096,50
2000,baseline,R_theta,0.25,0.78,0.6475845041874634,0.8724608402978559,50
2000,baseline,R_theta,0.5,0.74,0.6044684273515117,0.8412847250644762,50
2000,polished,S,0.02,0.88,0.7619518261679701,0.9438239984906773,50
2000,polished,S,0.05,0.74,0.6044684273515117,0.8412847250644762,50
2000,polished,S,0.1,0.3,0.19103553500880954,0.437503504644534,50
2000,polished,E,0.02,0.86,0.7381380628941446,0.9304916657298371,50
2000,polished,E,0.05,0.72,0.5833487630404344,0.8252582933408878,50
2000,polished,E,0.1,0.38,0.25862789310193596,0.5184955306900703,50
2000,polished,T,0.02,0.0,6.938893903907228e-18,0.07134759913335872,50
2000,polished,T,0.05,0.0,6.938893903907228e-18,0.07134759913335872,50
2000,polished,T,0.1,0.0,6.938893903907228e-18,0.07134759913335872,50
2000,polished,R_score,0.02,0.84,0.7148578393696501,0.916625793219666,50
2000,polished,R_score,0.05,0.66,0.521538260502326,0.7756305077749992,50
2000,polished,R_score,0.1,0.46,0.3296965219222435,0.5960112860084253,50
2000,polished,R_theta,0.1,0.94,0.8378290831116182,0.979385029651026,50
2000,polished,R_theta,0.25,0.82,0.6920394632569922,0.9022980732976582,50
2000,polished,R_theta,0.5,0.66,0.521538260502326,0.7756305077749992,50
4000,baseline,S,0.02,0.92,0.8116175308165717,0.968450485911407,50
4000,baseline,S,0.05,0.7,0.562496495355466,0.8089644649911906,50
4000,baseline,S,0.1,0.32,0.20758216260656845,0.45810297308144077,50
4000,baseline,E,0.02,0.82,0.6920394632569922,0.9022980732976582,50
4000,baseline,E,0.05,0.6,0.4618143774758936,0.7239161026974346,50
4000,baseline,E,0.1,0.2,0.1124375001577611,0.3303710593222542,50
4000,baseline,T,0.02,0.0,6.938893903907228e-18,0.07134759913335872,50
4000,baseline,T,0.05,0.0,6.938893903907228e-18,0.07134759913335872,50
4000,baseline,T,0.1,0.0,6.938893903907228e-18,0.07134759913335872,50
4000,baseline,R_score,0.02,0.9,0.7863976856252035,0.9565242350681096,50
4000,baseline,R_score,0.05,0.72,0.5833487630404344,0.8252582933408878,50
4000,baseline,R_score,0.1,0.44,0.3116219921125717,0.5769397197834315,50
4000,baseline,R_theta,0.1,0.94,0.8378290831116182,0.979385029651026,50
4000,baseline,R_theta,0.25,0.88,0.7619518261679701,0.9438239984906773,50
4000,baseline,R_theta,0.5,0.72,0.5833487630404344,0.8252582933408878,50
4000,polished,S,0.02,0.84,0.7148578393696501,0.916625793219666,50
4000,polished,S,0.05,0.62,0.4815044693099298,0.7413721068980641,50
4000,polished,S,0.1,0.22,0.1275391597021442,0.3524154958125367,50
4000,polished,E,0.02,0.9,0.7863976856252035,0.9565242350681096,50
4000,polished,E,0.05,0.58,0.4423344176857823,0.7062499664528802,50
4000,polished,E,0.1,0.22,0.1275391597021442,0.3524154958125367,50
4000,polished,T,0.02,0.0,6.938893903907228e-18,0.07134759913335872,50
4000,polished,T,0.05,0.0,6.938893903907228e-18,0.07134759913335872,50
4000,polished,T,0.1,0.0,6.938893903907228e-18,0.07134759913335872,50
4000,polished,R_score,0.02,0.88,0.7619518261679701,0.9438239984906773,50
4000,polished,R_score,0.05,0.7,0.562496495355466,0.8089644649911906,50
4000,polished,R_score,0.1,0.38,0.25862789310193596,0.5184955306900703,50
4000,polished,R_theta,0.1,0.94,0.8378290831116182,0.979385029651026,50
4000,polished,R_theta,0.25,0.84,0.7148578393696501,0.916625793219666,50
4000,polished,R_theta,0.5,0.7,0.562496495355466,0.8089644649911906,50
