n,stage,metric,epsilon,probability,ci_low,ci_high,completed_reps
500,baseline,S,0.02,1.0,0.7224672001371107,0.9999999999999999,10
500,baseline,S,0.05,0.9,0.5958499732047615,0.9821237869049271,10
500,baseline,S,0.1,0.6,0.31267376973365824,0.8318196702937638,10
500,baseline,E,0.02,0.9,0.5958499732047615,0.9821237869049271,10
500,baseline,E,0.05,0.7,0.39677814746114537,0.8922087325936989,10
500,baseline,E,0.1,0.5,0.236593090512564,0.7634069094874361,10
500,baseline,T,0.02,0.0,0.0,0.2775327998628892,10
500,baseline,T,0.05,0.0,0.0,0.2775327998628892,10
500,baseline,T,0.1,0.0,0.0,0.2775327998628892,10
500,baseline,R_score,0.02,1.0,0.7224672001371107,0.9999999999999999,10
500,baseline,R_score,0.05,0.9,0.5958499732047615,0.9821237869049271,10
500,baseline,R_score,0.1,0.6,0.31267376973365824,0.8318196702937638,10
500,baseline,R_theta,0.1,1.0,0.7224672001371107,0.9999999999999999,10
500,baseline,R_theta,0.25,1.0,0.7224672001371107,0.9999999999999999,10
500,baseline,R_theta,0.5,0.9,0.5958499732047615,0.9821237869049271,10
500,polished,S,0.02,1.0,0.7224672001371107,0.9999999999999999,10
500,polished,S,0.05,1.0,0.7224672001371107,0.9999999999999999,10
500,polished,S,0.1,0.7,0.39677814746114537,0.8922087325936989,10
500,polished,E,0.02,0.9,0.5958499732047615,0.9821237869049271,10
500,polished,E,0.05,0.8,0.49016247153664183,0.9433178485456247,10
500,polished,E,0.1,0.7,0.39677814746114537,0.8922087325936989,10
500,polished,T,0.02,0.0,0.0,0.2775327998628892,10
500,polished,T,0.05,0.0,0.0,0.2775327998628892,10
500,polished,T,0.1,0.0,0.0,0.2775327998628892,10
500,polished,R_score,0.02,1.0,0.7224672001371107,0.9999999999999999,10
500,polished,R_score,0.05,0.9,0.5958499732047615,0.9821237869049271,10
500,polished,R_score,0.1,0.6,0.31267376973365824,0.8318196702937638,10
500,polished,R_theta,0.1,1.0,0.7224672001371107,0.9999999999999999,10
500,polished,R_theta,0.25,0.9,0.5958499732047615,0.9821237869049271,10
500,polished,R_theta,0.5,0.9,0.5958499732047615,0.9821237869049271,10
1000,baseline,S,0.02,1.0,0.7224672001371107,0.9999999999999999,10
1000,baseline,S,0.05,0.7,0.39677814746114537,0.8922087325936989,10
1000,baseline,S,0.1,0.3,0.10779126740630099,0.6032218525388546,10
1000,baseline,E,0.02,0.6,0.31267376973365824,0.8318196702937638,10
1000,baseline,E,0.05,0.4,0.16818032970623614,0.6873262302663417,10
1000,baseline,E,0.1,0.3,0.10779126740630099,0.6032218525388546,10
1000,baseline,T,0.02,0.0,0.0,0.2775327998628892,10
1000,baseline,T,0.05,0.0,0.0,0.2775327998628892,10
1000,baseline,T,0.1,0.0,0.0,0.2775327998628892,10
1000,baseline,R_score,0.02,0.8,0.49016247153664183,0.9433178485456247,10
1000,baseline,R_score,0.05,0.6,0.31267376973365824,0.8318196702937638,10
1000,baseline,R_score,0.1,0.3,0.10779126740630099,0.6032218525388546,10
1000,baseline,R_theta,0.1,0.9,0.5958499732047615,0.9821237869049271,10
1000,baseline,R_theta,0.25,0.7,0.39677814746114537,0.8922087325936989,10
1000,baseline,R_theta,0.5,0.6,0.31267376973365824,0.8318196702937638,10
1000,polished,S,0.02,0.8,0.49016247153664183,0.9433178485456247,10
1000,polished,S,0.05,0.6,0.31267376973365824,0.8318196702937638,10
1000,polished,S,0.1,0.3,0.10779126740630099,0.6032218525388546,10
1000,polished,E,0.02,0.8,0.49016247153664183,0.9433178485456247,10
1000,polished,E,0.05,0.6,0.31267376973365824,0.8318196702937638,10
1000,polished,E,0.1,0.3,0.10779126740630099,0.6032218525388546,10
1000,polished,T,0.02,0.0,0.0,0.2775327998628892,10
1000,polished,T,0.05,0.0,0.0,0.2775327998628892,10
1000,polished,T,0.1,0.0,0.0,0.2775327998628892,10
1000,polished,R_score,0.02,0.8,0.49016247153664183,0.9433178485456247,10
1000,polished,R_score,0.05,0.6,0.31267376973365824,0.8318196702937638,10
1000,polished,R_score,0.1,0.2,0.05668215145437519,0.5098375284633583,10
1000,polished,R_theta,0.1,0.8,0.49016247153664183,0.9433178485456247,10
1000,polished,R_theta,0.25,0.8,0.49016247153664183,0.9433178485456247,10
1000,polished,R_theta,0.5,0.6,0.31267376973365824,0.8318196702937638,10
2000,baseline,S,0.02,0.9,0.5958499732047615,0.9821237869049271,10
2000,baseline,S,0.05,0.6,0.31267376973365824,0.8318196702937638,10
2000,baseline,S,0.1,0.4,0.16818032970623614,0.6873262302663417,10
2000,baseline,E,0.02,0.9,0.5958499732047615,0.9821237869049271,10
2000,baseline,E,0.05,0.8,0.49016247153664183,0.9433178485456247,10
2000,baseline,E,0.1,0.4,0.16818032970623614,0.6873262302663417,10
2000,baseline,T,0.02,0.0,0.0,0.2775327998628892,10
2000,baseline,T,0.05,0.0,0.0,0.2775327998628892,10
2000,baseline,T,0.1,0.0,0.0,0.2775327998628892,10
2000,baseline,R_score,0.02,0.9,0.5958499732047615,0.9821237869049271,10
2000,baseline,R_score,0.05,0.5,0.236593090512564,0.7634069094874361,10
2000,baseline,R_score,0.1,0.4,0.16818032970623614,0.6873262302663417,10
2000,baseline,R_theta,0.1,1.0,0.7224672001371107,0.9999999999999999,10
2000,baseline,R_theta,0.25,0.6,0.31267376973365824,0.8318196702937638,10
