n,stage,metric,epsilon,probability,ci_low,ci_high,completed_reps
32,baseline,S,0.02,0.5,0.09453120573423074,0.9054687942657693,2
32,baseline,S,0.05,0.5,0.09453120573423074,0.9054687942657693,2
32,baseline,S,0.1,0.5,0.09453120573423074,0.9054687942657693,2
32,baseline,E,0.02,1.0,0.34238022750665303,1.0,2
32,baseline,E,0.05,1.0,0.34238022750665303,1.0,2
32,baseline,E,0.1,0.5,0.09453120573423074,0.9054687942657693,2
32,baseline,T,0.02,1.0,0.34238022750665303,1.0,2
32,baseline,T,0.05,1.0,0.34238022750665303,1.0,2
32,baseline,T,0.1,1.0,0.34238022750665303,1.0,2
32,baseline,R_score,0.02,1.0,0.34238022750665303,1.0,2
32,baseline,R_score,0.05,1.0,0.34238022750665303,1.0,2
32,baseline,R_score,0.1,1.0,0.34238022750665303,1.0,2
32,baseline,R_theta,0.1,1.0,0.34238022750665303,1.0,2
32,baseline,R_theta,0.25,1.0,0.34238022750665303,1.0,2
32,baseline,R_theta,0.5,1.0,0.34238022750665303,1.0,2
32,polished,S,0.02,0.5,0.09453120573423074,0.9054687942657693,2
32,polished,S,0.05,0.5,0.09453120573423074,0.9054687942657693,2
32,polished,S,0.1,0.5,0.09453120573423074,0.9054687942657693,2
32,polished,E,0.02,1.0,0.34238022750665303,1.0,2
32,polished,E,0.05,1.0,0.34238022750665303,1.0,2
32,polished,E,0.1,0.5,0.09453120573423074,0.9054687942657693,2
32,polished,T,0.02,1.0,0.34238022750665303,1.0,2
32,polished,T,0.05,1.0,0.34238022750665303,1.0,2
32,polished,T,0.1,1.0,0.34238022750665303,1.0,2
32,polished,R_score,0.02,1.0,0.34238022750665303,1.0,2
32,polished,R_score,0.05,1.0,0.34238022750665303,1.0,2
32,polished,R_score,0.1,1.0,0.34238022750665303,1.0,2
32,polished,R_theta,0.1,1.0,0.34238022750665303,1.0,2
32,polished,R_theta,0.25,1.0,0.34238022750665303,1.0,2
32,polished,R_theta,0.5,1.0,0.34238022750665303,1.0,2
48,baseline,S,0.02,1.0,0.34238022750665303,1.0,2
48,baseline,S,0.05,1.0,0.34238022750665303,1.0,2
48,baseline,S,0.1,1.0,0.34238022750665303,1.0,2
48,baseline,E,0.02,1.0,0.34238022750665303,1.0,2
48,baseline,E,0.05,1.0,0.34238022750665303,1.0,2
48,baseline,E,0.1,0.5,0.09453120573423074,0.9054687942657693,2
48,baseline,T,0.02,1.0,0.34238022750665303,1.0,2
48,baseline,T,0.05,1.0,0.34238022750665303,1.0,2
48,baseline,T,0.1,1.0,0.34238022750665303,1.0,2
48,baseline,R_score,0.02,1.0,0.34238022750665303,1.0,2
48,baseline,R_score,0.05,1.0,0.34238022750665303,1.0,2
48,baseline,R_score,0.1,1.0,0.34238022750665303,1.0,2
48,baseline,R_theta,0.1,1.0,0.34238022750665303,1.0,2
48,baseline,R_theta,0.25,1.0,0.34238022750665303,1.0,2
48,baseline,R_theta,0.5,1.0,0.34238022750665303,1.0,2
48,polished,S,0.02,1.0,0.34238022750665303,1.0,2
48,polished,S,0.05,1.0,0.34238022750665303,1.0,2
48,polished,S,0.1,1.0,0.34238022750665303,1.0,2
48,polished,E,0.02,1.0,0.34238022750665303,1.0,2
48,polished,E,0.05,1.0,0.34238022750665303,1.0,2
48,polished,E,0.1,0.5,0.09453120573423074,0.9054687942657693,2
48,polished,T,0.02,1.0,0.34238022750665303,1.0,2
48,polished,T,0.05,1.0,0.34238022750665303,1.0,2
48,polished,T,0.1,1.0,0.34238022750665303,1.0,2
48,polished,R_score,0.02,1.0,0.34238022750665303,1.0,2
48,polished,R_score,0.05,1.0,0.34238022750665303,1.0,2
48,polished,R_score,0.1,1.0,0.34238022750665303,1.0,2
48,polished,R_theta,0.1,1.0,0.34238022750665303,1.0,2
48,polished,R_theta,0.25,1.0,0.34238022750665303,1.0,2
48,polished,R_theta,0.5,1.0,0.34238022750665303,1.0,2
